start	end	text
0	5000	ai nuovi compiti che oggi gli dovrebbero essere assegnati.
9260	14960	Credo che dobbiamo essere grati al Dottor Rioz, oltre che di aver reso possibile questo rapporto,
15000	21480	anche di averci ricordato in questo intervento che l'unione monetaria non è soltanto una questione di monete.
23020	28620	E pregherei, ringraziandolo ancora per essere intervenuto, il Ministro Ciampi di prendere la parola.
29740	45620	Grazie. Il mio intervento si abbarrà di alcune delle cose che ho sentito e di ritornare su temi che ho più volte trattato.
47040	57620	Vorrei prima cosa dire che la lettura di questo rapporto, di questi cinque studi, mi ha confermato nella fede, nella fede europea.
58730	65830	Credo che ciascuno di noi, anche quando è convinto di una certa linea di azione,
67330	74910	e deve essere attraversato da dubbi, debba porseli per superarli e per chiarirli.
78290	85630	Ci siamo impegnati su questo cammino europeo, però la domanda devevamo porsela e ce la siamo ripetuta,
85870	95890	ma ne vale la pena questo euro nel quale vogliamo entrare? Che cosa ci porterà? Quali vantaggi, quali svantaggi ci porterà?
95890	111890	E mi sembra che la lettura di questo rapporto ci conforti nel senso di vedere nella creazione dell'euro sostanziali benefici e opportunità per tutti i paesi che vi parteciparanno.
113190	133110	Al fondo della fede europea, certamente, come accennava ora il dottor Iozzo, ci sono sentimenti, obiettivi, stati d'animo più importanti e più elevati del fatto tecnico della creazione di una moneta.
133110	145550	Soprattutto per chi appartiene alla mia generazione e portato, dico scherzando, a volte per motivi anagrafici a credere nell'Europa.
146050	153110	Chi è nato all'indomane della Prima Guerra Mondiale e ha vinto la propria gioventù sconvolta dalla Seconda Guerra Mondiale,
153110	162430	si è posto, fin dalla fine della Seconda Guerra Mondiale, la domanda cosa possiamo fare perché ciò più non possa cadere.
163190	177530	E allora di qui viene la fede europea. Poi dopo il fatto di tradurla in comportamenti, in azioni, in obiettivi che realizzano questo obiettivo, questo generale, questi valori, è un altro discorso.
177530	190370	E quindi, come accennava il dottor Iozzo, ci fu prima il tentativo negli anni 50 della comunità di difesa, che era una maniera di arrivare all'Europa partendo dalla difesa,
190650	201310	vi è stato l'obiettivo, che non è nato oggi, è nato praticamente alla fine degli anni 70, con la creazione dell'Osmè, di creare l'Europa partendo dalla moneta.
201310	216310	E quindi dobbiamo considerare l'Euro da un punto di arrivo, ma un passaggio, una realizzazione importante, un cammino più vero ambizioso che quello di creare veramente un'integrazione europea.
