start	end	text
0	6660	In questi giorni Roma è letteralmente invasa da centinaia di migliaia di ragazzi e ragazze che provengono da tutto il mondo per partecipare al
6660	12120	giubileo dei giovani. Camminando per Roma si incrociano bandiere di ogni nazione, ragazzi
12120	17020	riuniti in prechiera, che cantano, scherzano tra loro, che festeggiano quando
17020	22940	incrociano altri ragazzi che sventolano la stessa bandiera o parlano la stessa lingua. Insomma una festa
23480	29560	straordinaria di fede, di gioia, di speranza che ci riempie il cuore e ci emoziona nel profondo.
29560	34840	Ecco perché voglio dare anche io il mio benvenuto a Roma a tutti i giovani che sono arrivati nella nostra
35560	36380	capitale per
36980	43720	partecipare a qualcosa di unico e che ricorderanno per tutta la vita. Perché il giubileo dei giovani, la giornata mondiale della gioventù,
44640	46540	tutto ciò che accade
46540	54400	attorno a questi eventi non si dimentica facilmente. È un'esperienza che rimane incisa nel cuore e che
54400	55660	può imprimere
55660	62620	nella vita una direzione diversa. Tra poche ore Papa Leone XIV presiederà la grande veglia sulla spianata di Torvergata
63160	69200	nello stesso luogo dove 25 anni fa San Giovanni Paolo II ha radunato oltre 2 milioni di persone
69200	75020	e pronunciato parole che sono rimaste nella storia. Quel giorno di 25 anni fa ha cambiato la vita di tantissimi.
75760	81700	Ha lenito ferite, ha aperto gli occhi, indicato il cammino. Io non ho avuto la fortuna di vivere quella notte, ma sono
82180	88540	testimone di chi in quella notte ha trovato una risposta alle sue domande, ha capito quale dovesse essere la direzione della sua esistenza.
89460	92760	In quella notte di preghiera, di fede, di amore, di grandi emozioni,
92980	94980	milioni di sentinelle del mattino hanno
94980	101760	accompagnato l'alba del nuovo millennio, hanno fatto sentire a Roma un chiasso che Roma non ha più dimenticato.
101960	109380	Quindi cari ragazzi, è arrivato il momento di far risentire a Roma quel chiasso, di vivere una giornata che rimarrà nella storia di questa città.
109560	111720	Ancora benvenuti a tutti, buon giubileo!
