start	end	text
12360	16960	Si attendeva un agguato alla macchina con l'amor di Mirabella, era stata vista transitare,
17060	21800	si erano postati dietro alle auto in sosta, al passaggio successivo in Mirabella erano
21980	27780	stati più lesti ad aprire il fuoco con il mitra e Perfetti n'era rimasto ucciso.
31800	50080	Nel conto di Parisi, sovrappone a quello di Epaminond, proprio nell'indicare la causale
50080	66300	di questo omicidio, le modalità dell'azione omicidiaria. Aggiungendo poi mentre i tre
66300	72640	stavano parlando, il seminara si accorse del passaggio di un'auto a bordo, lì lo sintetizzo,
72820	77240	a bordo della quale vieno i due fratelli Mirabella, l'auto transito senza fermarsi, il seminara
77860	84200	che erano soli e si mise immediatamente al riparo, imitato dal Piterà, che sono le persone
84200	88520	che indica lo stesso Epaminond, consegnando il Perfetti fare altrettanto, probabilmente
88520	96240	il Perfetti non lo ascoltò, l'auto con a bordo i due ritornò e dalla stessa partina
96240	104440	onorafiche di mitra verso il Perfetti che fu colpito a morte. Il seminara che era armato
104440	108340	dal suono scandiglio sparò diversi colpi in direzione dell'auto in fuga. Tale particolari
108340	115440	sono stati raccontati al Parisi dal seminara e dal Piterà, queste sono le fonti di informazione.
122560	128980	Lei nell'interrogatorio ha negato ogni addibito, ha detto di non conoscere né il Perfetti
128980	144820	né il Mazzei e ha indicato l'Epaminond come un calognatore e ha spiegato l'accusa come
144820	152180	una sorta di vendetta per un sfregio a lui fatto nelle celle di sicurezza dei palazzi
154870	169190	L'interrogatore mio non mi risulta che sia questo signor Presidente, poi che io non ho
169190	182310	la fortuna integrale cortesamente. Nego all'addibito e faccio Presidente che nulla vi dice il nome
182310	186730	di Osvaldo Perfetti, prendo atto del fatto che Parisi e Epaminond hanno reso le dichiarazioni
186730	191170	che mi vengono contestate in luoghi diversi, davanti a magistrati diversi e senza possibilità
191170	196450	di contatto tra di loro. Confermo peraltro che le dichiarazioni rese da loro sono false,
196450	208610	dato che io non conoscevo neanche il Perfetti. Conosco da tempo Santo Mazzei che incontrei
208610	214990	in carcere, ma non ho avuto mai rapporti particolari con lui avendo ognuno di noi seguito alla
214990	221290	propria strada. Non è vero che io sia stato in guerra con il Mazzei, nulla avrei avuto
221290	226530	temere trovandomi in cella con il Mazzei che so essere distretto in questo carcere.
226790	230930	Non so dire per quale motivo il Parisi intenda calognarmi, per quanto riguarda Epaminond penso
230930	235350	che ciò sia dovuto al fatto che gli venne accoltellato da mio fratello a Salvatore.
255650	259250	Signor Presidente, vorrei sapere se ci sono ancora altri verbali, in merito sempre al
259250	289230	fatto che mi si condesta. Il Papenonda fa più di una dichiarazione in merito a questa
289670	296970	aggiunge in un successivo interrogatorio quanto a un omicidio in danno di Perfetti Osvaldo
296970	302530	nel confermare le mie precedenti dichiarazioni, nell'ottico di una mia completa e piena dichiarazione
302530	306250	dei fatti, a mie conoscenze di cui ho già parlato, devo però aggiungere che ha sparare
306250	313370	oltre i due Mirabella Fuginetto Di Paolo, che fu proprio lui raccontarmi tale episodio,
313550	316470	risaputero il fatto che Di Paolo fosse l'uomo dei Mirabella.
317030	324730	Dico, penso che qui anche Alena veda la contraddizione. Prima dice che gliela abbia raccontato in mazie,
324770	329110	poi ci ripensa dopo due anni, ma Benziglia l'ha raccontata questo giletto Di Paolo,
329990	336310	poi un'altra cosa ancora, dove il Paris smendisce di questo mazievo su questa vicenda qua. Dico
336310	341270	che si mettono anche loro d'accordo per calunniare le persone e dire le tragedie, che a me non
341270	345870	si mettono d'accordo, mio Presidente, perché sono innocenti e non c'entra assolutamente
345870	346870	niente con questi fatti.
351970	352930	Nessuna domanda.
354110	359470	Solo sottolineare, mi pare, che questa affermazione del Mirabella Gaetano è esattissima. Cioè,
359550	363910	è vero, come lei ha riassunto, che Mazzei sarebbe il veicolo di conoscenza per Epaminonda
363910	368790	di questo episodio. È vero, come lei dice, che per alcuni versi le dichiarazioni di Parisi
368790	373890	si sovrappongono a quelle di Epaminonda, però è anche vero che proprio in relazione alla
373890	381030	fonte di conoscenza il Parisi dirà che Mazzei non era presente all'episodio. Quell'epaminonda
381030	385570	ha una modalità alle Epaminonda. Questa è una mia considerazione.
385630	388850	Sì, le fonti di informazione di Epaminonda e Parisi sono diverse.
389290	391230	Sono diverse, ma tanto meno quel Mazzei...
391230	396330	Parisi sono seminare e pittarà e per Epaminonda, nella prima versione...
396330	397270	E proprio il Mazzei.
398290	402130	Quel Mazzei che, a dire del Parisi, nemmeno sarebbe stato presente.
402130	404210	Perché non si chiama Mazzei?
404350	409450	Gaetano, mi lasci fare anche velocemente il mio lavoro, mi scusi.
409670	417970	Probabilmente il signor Gaetano Mirabella voleva proporre tramite il suo dimensore una domanda al signor Mazzei Santo.
418370	424790	Io non so se l'imputato Mazzei si è già avvalso di una facoltà di rinviare o comunque di non rispondere.
424970	432050	Io la domanda la propongo, signor Presidente. Cioè, è vero o non è vero che ebbe riferire qualcosa alle Epaminonde su questo episodio?
432050	435930	E se eventualmente di quale consistenza e con quale caratterizzazione?
438390	443550	Ecco, ritengo che si debba fare ingresso a questa domanda dopo l'interrogatorio dell'imputato.
453150	462630	Quando sarà il turno del Mazzei, gliela faremo espressamente questa domanda nel calendario.
462790	467770	È tutto verbalizzato, naturalmente. La mia opinione è che nel momento in cui l'imputato...
467770	470970	Quando verrà interrogato, vi rivolgeremo alla stessa domanda.
470970	479190	Se mi consente, voglio compiutamente esprimere. Io credo che nel momento dell'interrogatorio debbano maturare o venga una maturazione alcuni diritti,
479250	486690	tra i quali quelli che viene chiamato dalla Cassazione, il diritto di difendersi provando. È inevitabile in questo momento.
486690	489010	Ma non si sta negando questo, Avvocato Salarò.
489130	495670	Ma siccome vi pare che Mazzei, non so se è percepito dal microfono che registra tutto, ha dato disponibilità a rispondere.
495670	499050	È lei che dispone e decide.
499590	505670	Sì, siccome decido io che c'è un calendario, quel calendario viene rispettato, quando sarà chiamato Mazzei, risponderà a quella domanda,
506430	511010	che lo stesso imputato potrà ripetere in quella occasione.
511270	518090	Mi faccio una considerazione, lei sa la possibilità che alcune decisioni vengano ritrattate o vengano modificate?
518130	522790	E io non so se Mazzei di qui ha un mese o venti giorni, una settimana, sarà dello stesso parere.
522790	529530	Presidente, io chiedo comunque espressamente che venga proposta a Mazzei questa domanda, che tra l'altro è semplicissima.
529530	534090	Va bene, io l'ho già risposta, la domanda avrà rivolta a Mazzei nel momento del suo interrogatorio.
534350	535230	Non ha altro da dire?
537070	538070	Ha altro da aggiungere?
538290	539670	Io faccio riserva formale.
