start	end	text
30160	35580	anche alcuni passaggi sul fatto che, ne farò qualcuno anche nel mio intervento,
35680	42040	ci sono fatto quegli organismi multilaterali per lavorare bene, per recuperare e migliorare
42040	45900	il loro ruolo in un contesto come quello nel quale ci troviamo, chiaramente devono sapere
47360	50900	anche rivedere quello che non funziona. Poi noi sappiamo che qui, ad esempio, c'è tutto
50900	56540	il tema della riforma, delle nazionalite, ma non solamente, c'è un dato di assenza
56540	64400	delle volte, di capacità di incidere in questo scenario diventa un problema maggiore, quindi
64400	66480	secondo me ci sono stati degli spunti molto interessanti.
73520	80540	Non credo che l'Europa sia ambigua nei confronti dell'Ucraina, credo che dobbiamo però lavorare
80540	84500	insieme come occidente se vogliamo portare a casa una pace giusta e duratura e quello
84500	88600	che stiamo cercando di fare, c'è bisogno dell'Europa, c'è anche bisogno degli Stati Uniti.
88720	91300	Il Presidente ha attaccato anche sul clima tramite...
91840	98180	Le ho già detto che sono d'accordo, ma si sa che sono d'accordo sul fatto che un certo
99280	105240	approccio ideologico al Green Deal abbia finito per non rendersi conto che stava minando la
105240	110120	competitività dei nostri sistemi e quindi ci sono dei passaggi che ho assolutamente condiviso.
115260	121720	Guardi, io personalmente continuo a considerare che il riconoscimento della Palestina in assenza
121720	129440	di uno Stato che abbia i requisiti della sovranità non risolve il problema, non produce risultati
129440	134400	tangibili concreti per i palestinesi, dopodiché si dice che però il riconoscimento della Palestina
134400	142340	può essere un efficace strumento di pressione politica e va bene, capisco, però dobbiamo
142340	143400	anche capire su chi.
143540	147480	Nel senso, io penso che la principale pressione politica vada fatta nei confronti di Hamas,
147800	152300	perché è Hamas che ha iniziato questa guerra ed è Hamas che impedisce che la guerra finisca
152300	154200	rifiutandosi di consegnare gli ostaggi.
154660	159680	Quindi, diciamo che seguo il ragionamento, però allora annuncio che la maggioranza presenterà
159680	165640	in aula una mozione per dire che il riconoscimento della Palestina deve essere subordinato a
165640	170740	due condizioni, il rilascio degli ostaggi e ovviamente l'esclusione di Hamas da qualsiasi
170740	176320	dinamica di governo all'interno della Palestina, perché dobbiamo capire quali sono le priorità,
176340	180180	io non sono contrari al riconoscimento della Palestina, però dobbiamo darci le priorità
180180	180480	giuste.
180540	184780	Penso che un'iniziativa del genere possa trovare anche, spero che possa trovare anche
184780	189160	il consenso dell'opposizione, non trova sicuramente il consenso di Hamas, non trova magari il
189160	193540	consenso da parte, diciamo, degli estremisti islamisti, ma dovrebbe trovare consenso nelle
193540	194740	persone di buon senso.
202460	203860	Sottotitoli a cura di QTSS
