start	end	text
0	6840	dei Depliant, dei Quarantini che stiamo distribuendo, insieme a Gianfranco Pini, a Silvia Berlusconi,
7020	11700	Mara Caffagna, Beatrice Lorenzine, Giorgia Meloni, ovviamente a Gianna Roccella e tutte
11700	19780	le candidate del PDL, noi sarremo a Roma per siglare un patto con le donne. Donne per l'Italia,
20060	23900	protagonisti del cambiamento, questo è il patto che noi sigleremo con i nostri leader
23900	29240	nazionali e segnerà l'impegno a far sì che con il nuovo governo Berlusconi le donne
29240	34200	effettivamente siano in prima linea in termini di risposte politiche, non soltanto in termini
34200	39580	di quota rosa, nessuna di noi a questo tavolo rappresenta una quota rosa. Noi siamo tutte
39580	45160	candidate perché rappresentative di un territorio, rappresentative di una militanza politica,
45320	50480	rappresentative di un mondo, penso per esempio a Gianna Roccella, e di un impegno sociale
50480	55000	vero e serio. Il 28 saremo lì per siglare questo patto tutti insieme.
61660	67520	Abbastanza velocemente perché mi pare che il grosso sia stato detto e relativamente
67520	73640	a quello che all'interno del popolo della libertà è definita come priorità assoluta,
73640	81580	cioè il tema della famiglia, articolato nei suoi vari aspetti, Mara ne ha parlato lungamente
81580	88080	citando i tanti punti del programma, Eugenia ha in qualche maniera offerto anche la dimensione
88080	92740	valoriale attorno alla quale ruota questo impegno del popolo della libertà e Barbara
92740	97560	citava la centralità della donna all'interno della famiglia e quindi anche il tentativo
97560	103780	di leggere il rapporto con le donne italiane non come una forma di conflittualità nei
103780	106680	confronti di qualcuno ma come una forma di centralità.
107080	113580	Allora io voglio dire che tra le varie proposte, le tante proposte che nel programma del popolo
113580	117980	della libertà ci sono relativamente al tema della famiglia, assume una grande rilevanza
117980	122700	la questione della demografia e della natalità, che è questione della quale si parla poco
122700	128700	e si sta forse parlando poco anche in questa campagna elettorale, ma che è una delle più
128700	133600	gravi criticità del nostro tempo, noi abbiamo in Italia una condizione demografica gravissima,
133780	139060	la nostra popolazione sta progressivamente invecchiando, nel 2050 secondo quelli che
139060	145840	sono oggi i dati dell'Istat oltre il 35% della nostra popolazione avrà più di 65 anni e
145840	149740	questo vuol dire nel lungo termine che l'Italia è una nazione destinata a scomparire e nel
149970	153030	breve termine che il nostro sistema di protezione sociale non può reggere.
153590	158430	Questo è anche il risultato di una politica che il Governo di centrosinistra non ha voluto
158430	164390	fare e su questo davvero a me piacerebbe che quando Walter Veltroni si presenta come ha
164390	170490	fatto ieri con dodici leggi già pronte anche sul tema della famiglia davvero a me piacerebbe
170490	174970	chiedere a Walter Veltroni se era così facile mettere in piedi queste dodici leggi che
174970	178230	cambieranno il futuro dell'Italia perché non lo si è fatto nei due anni precedenti
178230	183930	in cui il Partito Democratico governava perché poi bisogna fare attenzione ci sono tematiche
183930	189870	sulle quali la demagogia del nuovo non passa nella misura in cui il ministro della famiglia
189870	196110	del Governo Prodi era ed è autorevole esponente del Partito Democratico ci sono questioni
196110	203030	sulle quali la demagogia della novità non passa perché sul tema ad esempio della natalità
203030	210210	sulla questione del sostegno alla maternità dal tema della conciliazione dei tempi di
210210	215270	vita con i tempi di lavoro per le donne passando per il quoziente familiare quindi una fiscalità
215270	223450	di vantaggio per le famiglie numerose fino agli sgravi fiscali perché quella della maternità
223450	228850	e della natalità possa essere una scelta e non come oggi avviene una sorta di bene di
229450	234650	tutto questo noi lo avevamo durante i due anni di Governo Prodi già ricompreso all'interno
234650	239610	di numerose proposte di legge che volevano in qualche maniera offrire una risposta organica
239610	244970	alla questione che abbiamo nel corso dell'ultima finanziaria trasformato in emendamenti sottoscritti
244970	249070	da tutte le parlamentari del centrodestra che abbiamo sottoposto all'attenzione del
249070	253610	Governo e del ministro Bindi per dire vogliamo darvi una mano visto che evidentemente le
253610	258570	vostre priorità sono altre e questi emendamenti sono stati bocciati in commissione bilancio
258570	264170	a dimostrazione del fatto che c'era un'altra priorità da parte del centrosinistra del
264170	271070	resto noi sappiamo che l'allora ministro Bindi non è che non è esattamente persona
271070	275910	pavida cioè una persona molto battagliera solo che l'abbiamo vista battersi per altre
275910	281130	priorità così ha fatto il centrosinistra e questo è quello che oggi pagano le 22 milioni
281130	288110	di famiglie e siano come si suol dire a Roma un po' rosiconi però questo tipo di possiamo
288110	292310	dire di di cultura non ci appartiene per fortuna.
307530	313490	Guardi mi pare che la questione alla quale lei fa riferimento e che si sta ampiamente
313490	321590	questi giorni sulla stampa sia per la verità un po' una così una polemica arte fatta
321590	327910	mi pare che relativamente a quello che in particolare Ciarrapico ha dichiarato vi siano
327910	336670	state fin dall'inizio da parte del dello stesso Ciarrapico delle specifiche che mi sono sembrate
336670	341590	molto chiare e come già ho detto io insisto nel dire che spero che tanto la politica italiana
341590	346270	quanto quella europea che hanno entrambe gravissimi problemi non stiano a fare un'ennesima
346270	350250	campagna elettorale su quello che in Italia è successo 60 anni fa perché davvero la
350250	356790	condizione italiana non consente di parlare di questo mi pare molto più importante affrontare
356790	361930	le questioni che noi stiamo affrontando in questo tavolo e cioè che cosa abbiamo da
361930	367190	proporre per il futuro dell'Italia se mi consente di tornare anche su quello che diceva Beatrice
367190	376350	Lorenzin io credo che poi la differenza di credibilità non sia data dalla risposta che
376350	383230	si può dare anche diciamo così a caldo dalla battuta che può essere più o meno felice più
383230	389230	o meno comprensibile più o meno strumentalizzabile credo che la serietà rispetto a quello che si vuole
389230	393290	costruire per l'Italia lo diano le proposte che si mettono in campo allora mi consenta anche di
393290	401170	dire che io trovo sinceramente meno dannosa la battuta di Silvio Berlusconi rispetto a come
401170	407510	posso dire i toni catastrofici buonisti che ho sentito utilizzare per tanti anni sul tema
407510	412070	del precariato e che hanno portato a risposte zero per questa generazione quindi bisognerebbe
412070	413990	anche cercare di ricordare al centro sinistro
