start	end	text
0	11200	...un convegno che manca un po' la, forse la fine della vita di Viri, è estremamente difficile trovare un'occasione più simplissima di questa.
12180	28600	Infatti, nel potere di preparare queste note, mi soppravvotivmente le occasioni di incontro della mia vita con Viri e queste in un certo senso descrivono quanto è stata presente
28600	51940	nella mia vita non solo professionale ma anche nell'adolescenza. Il primo incontro abbastanza indirecto che ho con Viri, quando a 5 anni, sul treno Roma-Palora, incontro Michele, che all'epoca era governatore della Calitale ma aveva lavorato fino alla guerra a Viri, il mio padre aveva lavorato con lui.
53340	79400	Alla laurea, Viri mi chiede se voglio lavorare e dopo 3 mesi mi viene dato una borsa di studio per Cambridge e lascio Viri, cosa abbastanza sconfogente, ricordo ancora l'atomito funzionario, di cui lo faccio il nome naturalmente, che mi disse se quei genitori fossero vivi non ti avrebbero permesso di fare una sciocchezza simile.
79860	97940	20 anni dopo, intorno dal Washington della Banca Mondiale, il Presidente Nobili mi dita a lavorare per l'Iri, mi fa una proposta, perché non ci siamo arrivati, io gli dissi Presidente mi faccio vedere un altro che cosa è l'Iri, perché io non la conosco.
98760	109440	Ci ho pensato, poi ci siamo rivisti e gli dissi, ma guardi, qui c'è l'Iri, ci sono le finanziarie di settore, questa è la complicazione, o si chiude l'Iri o si chiudono le finanziarie.
109440	117000	Secondo, molte delle attività che esorge l'Iri, all'epoca l'Iri faceva i parentieri, i genotari, eccetera, vanno vendute.
117640	130280	Terzo, i Deperti li erano affrontati in qualche modo, il Presidente Nobili mi mandò da allora il direttore Giuseppe Tureschi ad avere una conversazione simile, alla fine della quale il Presidente Nobili mi disse tra lì, ma le vuole fare la rivoluzione.
131040	138560	E così passarono ancora vari anni, notanti in effetti un paio e dopo entrava il Consiglio dell'amministrazione l'Iri.
139800	153280	Il mio primo e unico, fortunatamente a viso di garanzia, l'ho avuto per attività connessa al Consiglio dell'amministrazione del l'Iri e naturalmente risoltiti poi senza alcuna conseguenza.
153280	165700	Dentro questo l'Iri è una presenza così importante, così significativa sia per le privatizzazioni di affatto sia per la vita precedente.
165780	178760	Il libro è molto molto bello, il libro ne dà conto, è probabilmente la raccolta più puntuale degli atti, degli scritti che servono a ricostruire tutta la storia delle privatizzazioni.
178760	184800	Ed è un resoconto molto attento però anche della tecnica del rivoluzione.
191760	199880	Da questa ricostruzione attenta, guardo i miei suoi occhi, che si è stati enti molto giusti per progerire.
200860	206600	Perché, semplicemente nei primi anni, l'Iri venne distroverata, venne attaccata,
209220	221520	che stavano già lavorando le privatizzazioni, che nel 1992-1993-1994 si getta la base delle relazioni di privatizzazioni che sarebbero spostate parte degli anni successivi.
221900	228520	Ma essendo una istituzione abituata a lavorare con molta attenzione, con grande professionalità,
228520	234540	non ha mai dovuto fare le porsi naraniche di in quel momento veniva la chiesa.
234780	241160	Che fossero porsi naraniche si è visto poi dopo, perché gli attenti di Iri consegna quello che promette.
241460	245980	E le privatizzazioni che sono tutte negli ultimi tre anni sono molto significative.
247880	255740	Io a questo punto, per far due volte Lucio, continuare a parlare delle privatizzazioni oppure fermarmi e parlare al prossimo giro.
255740	267000	Ma io direi che, se vuoi aggiungere un finizio contestativo per l'arca, poi conteniamo gli interventi...
268000	282540	Guarda, volendo essere otre modi schematici, uno può rilevare tre dati che sono sostanzialmente fattuali, per quanto riguarda l'arca.
283480	289540	Il primo è che è in dubbio che le privatizzazioni abbiano contribuito al risalimento della finanza pubblica.
291440	301300	Uno può fare conti come vuole, ma insomma il debito pubblico si è ridotto di più di 10 punti percentuali, fino a 99, quindi scusando quello del 2000,
302920	313360	10 più di 10 punti percentuali per le attività vendute. Il debito pubblico si è ridotto di altrettanti punti, se non di più,
314520	325300	grazie agli interessi risparmiati per i titoli del debito pubblico che sono stati riacquistati con i proventi delle privatizzazioni, grazie ai dividendi pagati dalle società.
328260	340780	Secondo, altro dato che secondo me è assolutamente incontrovertibile, le privatizzazioni hanno contribuito in maniera fondamentale allo sviluppo del mercato dei capitali italiani.
341740	350300	Questo sviluppo è dovuto essenzialmente a tre fattori. Il primo è che il risalimento della finanza pubblica ha spostato risparmio
350500	360500	da le attività del debito pubblico, cioè dai VOLT e dai titoli di Stato, all'Alezio. Quindi la DOMA ha creato domande.
362580	371300	Secondo, il contesto giuridico è cambiato con delle leggi che hanno cambiato il mercato dei capitali. E terzo, l'offerta aumentata.
371300	386360	Qualunque numero, qualunque statistica che guardi, al peso delle offerte di azioni dovute, generate dalle privatizzazioni, indica che questo è un peso prevalente
386360	396300	nei volumi emessi, nei volumi trattati, ancora oggi io credo che le società privatizzate costituiscono gran parte della nostra capitalizzazione borsistica.
397620	408540	Terzo, dato incontrovertibile, le imprese valgono di più. Qualunque indicatore, io qui ne ho uno, per esempio, abbiamo Lemmy.
409000	424680	Per esempio Lemmy, nel 90, nel 92 Lemmy aveva un utile netto di meno 488 miliardi, nel 99 aveva un utile netto che è 3000 miliardi circa.
424680	439480	Un roe negativo del 90 e un roe del 12% nel 99. Quindi le imprese valgono di più. Quindi si è creato valore, si è creato valore per gli azionisti,
439640	448920	si è creato valore per lo stato stesso per quanto riguarda le quote di azioni che ancora trattiene. Io credo poi il resto si possa discutere,
448920	460680	ma questi tre fatti, contributo all'isanamento della finanza pubblica, contributo alla creazione di un mercato di capitali e creazione di valore per lo stato e per gli azionisti,
460960	473920	sono fatti assolutamente incontrovertibili. Varebbe la pena discutere ora, ma questo forse lo facciamo al prossimo, al prossimo giro, perché le privatizzazioni sono diventate più difficili.
476380	490920	Grazie al professor Adrianti, io adesso la parola al professor Giamanzi, al quale chiedo ovviamente un soddizio su questo studio, ma anche di cominciare a rispondere ad alcuni interrogativi che sono stati suonevati nella stessa politazione,
491140	494140	nonostante tutte le vere e tutte quelle...
494940	515040	Grazie a tutti, io chiedo se ci sono altri interventi, se non ci sono altri interventi, allora io farei un piccolo giro finale della nostra presentazione, ovviamente le domande sono state involte a tutti i relatori,
