start	end	text
0	5340	Diciamo cosa è venuto fuori da questa riunione sotto il profilo tecnico per quanto riguarda
5340	12820	la frana e come il governo continuerà ad essere vicino alla popolazione diniscemeca.
12980	17680	Il governo è venuto stamattina a confrontarsi col Consiglio comunale ma anche poi con il
17680	23500	Comitato dei cittadini su due programmi che intendiamo licenziare domani in Consiglio
26030	34290	che ha pochi mesi di distanza dal decreto che, come lei ricorderà, stanziava a 150 milioni
34290	39830	per occuparsi dello specifico della frana diniscemeca in un decreto che prevedeva anche
39830	46750	le risorse per le tre regioni che erano state convolte da Ciproneri, mettono a terra quei
46750	53210	150 milioni. Quindi noi, febbraio scorso, abbiamo parato un decreto poi convertito in legge
53210	57870	dal Parlamento ad aprile per sanziare questi 150 milioni che avevano l'obiettivo della
57870	65690	messa in sicurezza del territorio degli indennizi della demolizione delle case che sono inagibili
65690	70610	e domani portiamo in Consiglio dei ministri due diversi programmi, uno sulla messa in
70610	77030	sicurezza del territorio e sulle opere infrastrutturali fondamentali, ripristino delle infrastrutture
77030	82350	anche soprattutto viarie e un altro per quello che riguarda tanto gli indennizi delle famiglie
82350	88650	che hanno perso la casa secondo una serie di criteri e anche tutto il tema delle demolizioni
88650	93910	che sono necessarie. Quindi mi pare che rispetto a quello che abbiamo visto dopo il 1997 quando
93910	98590	ci sono venuti 7 anni per fare un piano di messa in sicurezza del territorio e indennizi
98590	103950	li stavamo dando ancora nel 2025, aver portato in Consiglio dei ministri e portare in Consiglio
103950	110730	dei ministri in meno di 4 mesi, tutto quello che tecnicamente e concretamente serve per
110730	115130	rispondere ai cittadini sia un grande passo in avanti per il quale devo ringraziare ovviamente
115130	121930	il sindaco ma anche e soprattutto il Commissario straordinario Dottor Ceciliano perché mi pare
121930	126670	che sia stato fatto un lavoro molto importante. Grazie a tutti. Buon lavoro, arrivederci.
