start	end	text
0	4200	Allora signori grazie per essere qui e dunque ho voluto fare questa mattina un
4800	10440	giro di ricognizione prevalentemente in elicottero nelle zone colpite dall'alluvione
10440	15360	dei giorni scorsi all'esito del quale però vorrei fare anche un punto di
16080	22780	situazione con voi chiaramente col presidente col ministro Musumeci con i
22780	29900	sindaci prefetti delle zone maggiormente dei territori maggiormente colpiti poi
29900	35740	sapete che noi tempo due giorni tre giorni abbiamo dichiarato lo stato
35740	39540	d'emergenza dopo aver fatto già una prima riunione con i presidenti delle tre
39540	44520	regioni coinvolte abbiamo a quel punto dichiarato lo stato
44520	48920	d'emergenza e nominato i presidenti delle regioni coinvolte commissari per
48920	54620	l'emergenza chiaramente significa anche che questi commissari verranno messi e
54620	58660	sono in parte già mesi e verranno messi nella condizione di operare con gli
58660	63840	strumenti e con le risorse e quindi con i mezzi che sono necessari a rispondere
63840	68120	ai bisogni che arrivano dai territori abbiamo accompagnato questa dichiarazione
68120	71740	lo stato d'emergenza con un primo stanziamento da 100 milioni di euro per
71740	75080	il quale vi devo dire che sono un po' dispiaciuta per le polemiche soprattutto
75080	79980	qui in sicilia perché nelle riunioni che noi abbiamo fatto anche prima del
79980	83260	consiglio dei ministri con i presidenti delle tre regioni coinvolte abbiamo
83260	88260	ampiamente chiarito che si trattava di un primissimo stanziamento emergenziale
88260	93880	per dare intanto un contributo immediato una tantum ai cittadini alle
93880	98760	aziende colpite per consentirci diciamo così la sospensione dei mutui per
98760	104140	consentirci di dare ai sindaci e alle autorità locali diciamo le prime risorse
104140	109860	necessarie nessuno pensa di poter affrontare seriamente questa questione
110420	114580	con 100 milioni di euro per tre regioni ma questo io l'ho ampiamente chiarito
114580	119280	anche quando si è trattato dell'emilia romagna che viene spesso citata il
119280	126660	decreto che poi affrontava in maniera complessiva le necessità della
126660	130820	insomma del dramma che c'era stato del territorio per il dramma che c'era stato
130820	134260	allora è arrivato dopo qualche settimana perché? perché allo stato
134260	137960	attuale per alcune regioni noi non abbiamo neanche la prima attrazione dei
137960	144560	comuni che sono stati coinvolti e quando si stanziano esatto all'inizio
144560	149700	all'emilia romagna demmo anche di meno però poi chiaramente le risorse sono
149700	153100	arrivate però siccome quando spendiamo i soldi ci dobbiamo ricordare che sono
153100	156320	soldi dei cittadini e non sono soldi nostri è un lavoro che fa fatto con un
156320	161220	margine di serietà quindi ci serve di avere tutte le informazioni su qual è
161220	166480	effettivamente l'entità delle risorse necessarie e come sempre le risorse
166480	170380	arriveranno quindi diciamo colgo anche l'occasione per fare un po' di chiarezza
170380	173980	su alcune polemiche che non capisco se sono perché sapete che sono una persona
173980	178200	sempre franca pretestuose oppure no ma non sono necessarie perché stiamo
178200	182460	cercando di lavorare per dare queste risposte è anche la ragione della
182460	185300	riunione di questa mattina perché chiaramente mentre noi lavoriamo
185300	190160	questo lavoro questa mappatura particolarmente la sicilia è stata
190160	197320	diciamo la regione particolarmente colpita ci piaceva anche tanto
197320	201300	renderci conto di persona quindi il lavoro che abbiamo fatto stamattina e
201300	208940	ascoltare anche dagli amministratori ma anche dai prefetti diciamo che cosa si
208940	213400	ritiene che serva per consentirci di fare un lavoro più organizzato
214260	219240	ho approfittato per recarmi anni scemi che pure sorvolavo e poi ho deciso alla
219240	223200	fine di diciamo scendere per andare a parlare col sindaco perché lì la
223200	229820	situazione è particolarmente complessa oggettivamente quindi vista di persona è
229820	235360	ancora più impattante di immagini che già sono abbastanza significative abbiamo
235360	238920	fatto un punto di situazione con il sindaco con la protezione civile
238920	244000	apre chiudo parentesi voglio ringraziare fabio ciciliano tutta la protezione
244000	248680	civile per un lavoro che è stato fatto oggettivamente straordinario intanto di
248680	252940	prevenzione perché i piani di prevenzione hanno funzionato bene e
252940	256460	questa è la ragione per cui noi oggi parliamo di ricostruire e non piangiamo
256460	260900	delle vittime e quindi credo che vada dato atto al lavoro straordinario della
260900	265700	protezione civile poi ovviamente anche per insomma la velocità con la quale si
265700	270720	cerca di affrontare tutte le questioni dicevo la situazione in iscemi è
270720	275080	particolarmente complessa questa mattina noi ci siamo concentrati
275080	282660	soprattutto sulla necessità di dare risposte a circa 1500 attuali sfollati
282660	286400	poi si capirà quanti sono i definitivi perché come sapete la frana sta
286400	290160	ancora muovendo che la parte più difficile di questo ragionamento ma
290160	294620	sicuramente noi con ministro Musumeci insomma per per le case
294620	298800	diciamo che si trovano proprio sull'orlo del precipizio possiamo
298800	303400	intervenire con casa italia abbiamo le risorse per intervenire anche da subito
303400	309160	ma le emergenze sono chiaramente le persone sfollate sono la viabilità che
309160	313400	lì è particolarmente compromessa perché due strade provinciali su tre sono
313400	317060	sostanzialmente inagibili ad oggi quindi si sta lavorando un piano di
317060	324600	viabilità alternativo anche usando diciamo le antiche rotte diciamo così
324600	331180	delle tracere dell'agricoltura ci sono tre scuole nella zona rossa e tra
331180	335200	elementari asilo vorremmo tentare anche qui di dare risposte immediate per
335200	339940	cercare il prima possibile di restituire diciamo alla cittadinanza una
341780	344540	possibilità dei bambini di andare a scuola c'è il problema della
344540	350020	rete energetica diciamo particolarmente del gas sulla quale pure si sta
351420	358200	lavorando si sta lavorando da tutto si sta lavorando da subito anche qui vale
358200	364820	la pena ricordare che genio civile e genio militare anche anas e privati che
364820	369040	hanno dato la loro disponibilità sulle case per esempio cito lance che ha già
369040	373120	dato la sua disponibilità a dare una mano insomma si stanno tutti quanti
373120	379400	muovendo c'è una situazione legata agli allevamenti e quindi alla necessità di
380240	383520	trovare il modo di abbeverare in particolare gli animali perché chiaramente
383520	387960	parliamo di una zona dove queste attività fanno un pezzo fondamentale di
387960	392200	economia che pure stiamo alla quale pure stiamo cercando di dare risposte dove
392200	395680	è lì la situazione complessa è nel fatto che finché non si ferma la frana
395720	401200	noi non siamo in grado di definire quale sia diciamo la parte di questa attuale
401200	406920	zona rossa che sono 150 metri ma chiaramente molto precauzionali che
406920	413000	effettivamente diciamo va definita definitivamente perimetrata finché
413000	418420	questo non accade il lavoro sulla messa in sicurezza e sulla ricostruzione
418420	425700	diciamo totale non si può iniziare ora io su questo ho stressato molto i miei
425700	429720	rimetterci seduti al tavolo nel minore tempo possibile per poter dare risposte
429720	434320	definitive alla popolazione ci siamo dati appuntamento tra massimo due
434320	439060	settimane sperando che chiaramente le condizioni meteo
439060	443720	permettano diciamo soprattutto alla sabbia all'argilla di asciugarsi e quindi
443720	452080	di sedimentare la situazione ma chiaramente siamo intenzionati io sono
452080	457020	intenzionata a dare risposte immediate voi sapete meglio di me perché in questo
457020	464140	territorio ci vivete che diciamo niscemi non è nuova a questi disastri e diciamo
464140	468680	il sentimento della popolazione rispetto a quello che è accaduto nel 1997 con
468680	475520	indennizi che sono arrivati dopo 14 anni e definitivamente anche dopo 28 anni è
475520	480640	qualcosa che mi rendo conto ha impattato giustamente sui cittadini e sulla
480640	484320	aspettativa che i cittadini hanno dalla politica e come mi piacerebbe che
484320	489300	insieme disegnassimo una storia completamente diversa e quindi il mio
489300	493240	obiettivo è lavorare in velocità e dare risposte in velocità chiaramente per
493240	496900	fare questo serve una filiera non è una cosa che posso fare io da sola che può
496900	500100	fare il governo da solo che può fare il ministro musume ci da solo che può
500100	503880	fare il presidente schifani da solo serve che ci lavoriamo tutti insieme in
503880	507040	buona fede evitando le polemiche perché qui tutti
507040	510800	abbiamo la stessa responsabilità lo stesso obiettivo che a dare risposta ai
510800	515360	nostri cittadini chiaramente voglio fare un ringraziamento e i miei complimenti
515360	518740	anche ai sindaci agli amministratori a quelli che sono presenti a quelli che non
518740	522580	lo sono stamattina per ragioni chiaramente di dimensione dei comuni
522580	529500	coinvolti perché le risposte che voi siete stati in grado di dare nelle prime
529500	533520	ore a partire al sindaco di catania appunto me lo raccontava sono molto
533520	537840	importanti e fanno una parte significativa insomma della percezione
537840	541580	che i cittadini hanno della presenza delle istituzioni in un momento di
541580	544560	difficoltà quindi io mi fermerei qui e sono qui
544560	550080	ovviamente per ascoltare la situazione dal vostro punto di vista e quali sono
550080	556160	secondo voi le principali le principali emergenti emergenze chiaramente alcune
556160	559400	cose noi già le diamo per scontate sentivo ieri si diceva ad esempio le
560260	563880	dal pagamento delle imposte quelle non sono mai misure che arrivano con lo stato
563880	566800	d'emergenza con lo stato d'emergenza noi possiamo sospendere in mutui sulle
566800	571000	imposte serve il decreto famoso del quale stiamo parlando quindi diciamo
571000	576680	misure che sono state messe che sono state previste già nelle nelle
576680	580680	situazioni analoche simili le dobbiamo dare per scontate ma chiaramente rifare
