start	end	text
26740	28200	Sottotitoli creati dalla comunità Amara.org
30920	39440	Viviamo una fase storica accelerata, complessa, ricca di opportunità, ma anche
39440	46200	forse soprattutto densa di pericoli, sospesi tra guerra e pace.
47420	54780	Secondo il Global Peace Index 2024, nel mondo sono in corso 56 conflitti armati,
54780	58180	il numero più elevato dalla Seconda Guerra Mondiale.
59360	64760	Viviamo cioè in un mondo profondamente diverso da quello in cui sono nate le Nazioni Unite,
64840	72440	quando nel 1945 51 nazioni, che oggi sono diventate la quasi totalità, decidero di
72440	79160	unirsi per fondare un'organizzazione internazionale che avesse come scopo principale quello di
79160	79900	evitare la guerra.
79900	90460	La domanda che dobbiamo farci 80 anni dopo e guardandoci attorno è ci siamo riusciti.
92120	97320	La risposta la conoscete tutti perché è nella cronaca ed è impietosa.
98220	106140	Pace, dialogo, diplomazia sembra non riuscire più a convincere e a vincere.
106740	111760	L'uso della forza prevale in troppe occasioni e lo scenario che ci troviamo di fronte è
111760	119720	quello che Papa Francesco descriisse con rara efficacia, una terza guerra mondiale combattuta
119720	120620	a pezzi.
121920	127300	Ovviamente tra i principali conflitti in corso c'è la guerra d'aggressione su larga scala
127300	129420	della Federazione Russa contro l'Ucraina.
130380	135780	Tre anni e mezzo fa, il 24 febbraio del 2022, Mosca ha deciso di attaccare Kiev.
136800	142620	E io penso che non si sia riflettuto abbastanza sulle conseguenze di quella scelta e su un
142620	145120	punto che considero fondamentale.
145760	151800	La Federazione Russa, membro permanente del Consiglio di Sicurezza, ha deliberatamente
151800	157740	calpestato l'articolo 2 dello Statuto dell'ONU, violando l'integrità e l'indipendenza politica
157740	163380	di un altro Stato sovrano con la volontà di annetterne il territorio e ancora oggi
163380	169700	non si mostra disponibile ad accogliere seriamente alcun invito a sedersi al tavolo della pace.
171020	177860	Questa ferita profonda inferta al diritto internazionale, come era prevedibile, ha scatenato
177860	182580	effetti destabilizzanti molto oltre i confini nei quali si consuma quella guerra.
183540	190360	Il conflitto in Ucraina ha riacceso e fatto detonare diversi altri focolai di crisi, mentre
190360	194100	le Nazioni Unite si sono ulteriormente disunite.
194940	201760	Non è un caso che Hamas abbia approfittato dell'indebolirsi di questa architettura per
201760	205800	sferrare il 7 ottobre del 2023 il suo attacco contro Israele.
206520	213700	La ferocia e la brutalità di quell'attacco, la caccia ai civili inermi, hanno spinto Israele
213700	218960	a una reazione in principio legittima, perché ogni Stato e ogni popolo ha il diritto di
218960	225780	difendersi, ma la reazione a una aggressione deve sempre rispettare il principio di proporzionalità,
226060	231060	vale per gli individui, vale a maggior ragione per gli Stati, e Israele ha superato quel limite
231060	237300	con una guerra su larga scala che sta coinvolgendo oltre misura la popolazione civile palestinese
237900	244160	ed è su questo limite che lo Stato ebraico ha finito per infrangere le norme umanitarie
244160	249880	causando una strage tra i civili, una scelta che l'Italia ha più volte definito inaccettabile
249880	254860	che porterà al nostro voto favorevole su alcune delle sanzioni proposte dalla Commissione
254860	255860	Europea verso Israele.
256840	261480	Però non ci accodiamo a chi scarica su Israele tutta la responsabilità di quello che accade
261480	268120	a Gaza, perché è Hamas ad aver scatenato la guerra, è Hamas che potrebbe far cessare
268120	274460	le sofferenze dei palestinesi liberando subito tutti gli ostaggi, è Hamas che sembra voler
274460	280220	prosperare sulla sofferenza del popolo che dice di rappresentare. Israele deve uscire
280220	284980	dalla trappola di questa guerra, lo deve fare per la storia del popolo ebraico, per la sua
284980	289700	democrazia, per gli innocenti, per i valori universali del mondo libero di cui fa parte.
290920	295900	E per chiudere una guerra servono soluzioni concrete, perché la pace non si costruisce
295900	302720	solo con gli appelli o con i proclami ideologici accolti da chi la pace non la vuole, la pace
302720	308440	si costruisce con pazienza, con coraggio, con ragionevolezza. I bambini di Gaza, come quelli
308440	314000	che l'Italia sta orgogliosamente accogliendo e curando nei propri ospedali, chiedono risposte
314000	320280	che possano migliorare la loro condizione e su quello siamo impegnati. L'Italia c'è
320280	327040	e ci sarà per chiunque sia disposto a lavorare a un piano serio per il rilascio degli ostaggi,
