start	end	text
0	1880	Grazie, signor Presidente.
2160	7440	Dio colleghi, non c'è nessuno che può affrontare solo i problemi globali
7440	11760	come il cambiamento climatico e la vulnerabilità dei sistemi di cibo.
12760	18840	Come membri della G20, abbiamo le responsabilità di trovare un modo per avvicinare a questo.
20120	25920	Ma sappiamo anche che il modo per avvicinare deve essere basato sul senso comune.
25920	33060	In mia opinione, dobbiamo abbandonare una volta e per tutto l'ideologico dogmatismo
33060	36300	che è causato più di male che di buono.
36600	39540	In Europa, ad esempio, le scelte sono state fatte nel passato,
39600	43540	che hanno portato tutto il settore produttivo ai suoi piedi
43540	48320	senza produrre alcun beneficio reale in termini di emissioni globali.
48640	52920	E in Africa, le approcce dogmatiche impostate da partner foreign
52920	58880	che non prendono into account the specificities of African nations,
59880	64660	paradoxically risk reinforcing all patterns of dependency.
65760	67420	This is a losing strategy.
68580	72960	So a pragmatic balance must be found between the need to limit emissions
72960	77980	and the risk of compromising the most advanced productive systems
77980	83800	and preventing the weaker ones from establishing themselves.
84600	89260	In our opinion, the challenge is to affirm the principle of technological neutrality
89260	94220	because there is no single solution capable of quickly building
94220	96700	a solid alternative to fossil fuel supplies,
97240	102920	but also because dispersed research, innovation and virtuous competition.
102920	107920	The energy mix must be balanced and must combine all available technologies,
108860	113240	renewable gas, hydrogen, biofuels, CO2 capture systems,
113700	116920	as well as research into nuclear fusion
117560	122820	which would change history by producing clean, safe and unlimited energy.
123620	125760	This is the approach that inspires Italy
125760	131780	and to which we contribute with industrial expertise, technological capabilities,
131780	135300	new financial instruments and cooperation with other nations.
135880	142020	For example, we've launched investments in Africa worth a total of almost 2.5 billion euros,
142480	147720	financing projects ranging from the construction of large renewable energy plants
147720	151380	to innovative solutions for production and storage.
152560	156960	And also on food systems, Italy continues to do its part.
156960	161520	We co-organize the last United Nations Summit on Food Systems with Ethiopia.
162060	166860	We are making our agri-food know-how available to our African partners
166860	173240	and we are building public-private partnerships with them that guarantee concrete results.
173860	178300	We are successfully working on this, for example in Algeria,
178600	184360	where we are working together to reclaim over 36,000 hectares of desert
184360	189940	to produce up of 45,000 tons more cereals and legumes per year,
190380	194840	generating benefits for over 600,000 people.
195400	201340	And we are now replying this experiment in Senegal, Ghana and Congo
201340	204300	and aim to involve other nations on the continent.
204360	208760	But I want to be clear while closing my remarks.
209540	211900	Our goal is not to create dependency.
211900	215800	Our goal is to support self-sufficiency
215800	221020	because we believe in dignity of people, we believe in the freedom of nations
221020	224520	and we believe in the strength of genuine partnerships.
224940	226020	Thank you, Mr. President.
