start	end	text
0	3140	Voglio darvi una buona notizia che riguarda un settore economico e
3140	6720	produttivo estremamente importante per la nostra nazione che è l'agricoltura.
7460	10340	Quando due anni e mezzo fa abbiamo assunto la responsabilità di governare
10340	14620	l'Italia abbiamo fatto una scelta politica molto precisa, ovvero restituire
14620	18660	all'agricoltura la centralità che merita mettere i nostri agricoltori nelle
18660	21640	condizioni di fare sempre di più e sempre meglio.
22060	26860	Abbiamo mantenuto quell'impegno con scelte concrete, costruite con la precisa
26860	31180	e la collaborazione delle organizzazioni e delle associazioni di categoria.
31300	35360	Lo abbiamo fatto prevedendo stanziamenti e investimenti record, come mai era
35360	41220	stato fatto prima oltre 11 miliardi di euro destinati all'agricoltura, destinati
41220	45020	alla pesca. Lo abbiamo fatto puntando sulla competitività, aumentando
45020	49980	nell'ambito della revisione del PNRR da 5 fino a 8 miliardi gli euro di
49980	55080	investimenti per i contratti di filiera e aumentare l'indipendenza energetica dei
55080	59040	produttori agricoli. Lo abbiamo fatto difendendo le nostre eccellenze agrialimentari,
59260	62960	contrastando la contraffazione, contrastando la concorrenza sleale nei
62960	67320	confronti dei nostri prodotti. Lo abbiamo fatto puntando sull'innovazione, sulle
67320	71440	giovani generazioni, perché è dai nostri ragazzi che passa il futuro di
71440	76140	un'agricoltura di qualità e sostenibile. Un'azione di sistema che ha contribuito
76140	80460	a raggiungere un record storico. Nel 2024 l'Italia è diventata la prima
80460	85380	nazione dell'Unione Europea con il più alto valore aggiunto agricolo con oltre
85380	90900	42,4 miliardi di euro. Un traguardo eccezionale, frutto del lavoro, della
90900	94620	dedizione, della determinazione delle imprese e dei lavoratori del comparto
94620	98780	che voglio ringraziare. Oggi il Governo aggiunge un altro mattone a questa
98780	103140	strategia e lo fa con un provvedimento che abbiamo chiamato Coltiva Italia.
103660	108640	Investiamo un miliardo di euro in più per sostenere le produzioni nazionali
108640	114060	strategiche, diminuire così la nostra dipendenza dall'estero, migliorare l'accesso
114060	117700	al credito delle nuove imprese, facilitare l'imprenditoria giovanile anche
117700	122840	attraverso il recupero di oltre 8.000 ettari di terreni abbandonati o silenti.
123080	127200	Puntare sull'innovazione e sulla ricerca che sono le chiavi per un'agricoltura
127200	131420	sempre più moderna e competitiva. Insomma un pacchetto molto corposo nel
131420	135580	quale abbiamo voluto inserire anche un focus specifico sulle semplificazioni,
135580	140000	perché tra gli obiettivi che ci siamo dati non solo in agricoltura ma in tutti
140000	144220	gli ambiti produttivi c'è anche quello di ridurre la burocrazia a carico delle
144220	148020	imprese, mettere chi vuole lavorare nelle condizioni di farlo nel modo più
148740	153720	semplice possibile. Ovviamente il nostro lavoro non si ferma qui, il Governo
153720	157660	continuerà a difendere anche e soprattutto in Europa le istanze dei
157660	161400	nostri agricoltori, dei nostri produttori, con lo stesso spirito, la stessa tenacia
161400	165520	con cui è al fianco di tutti coloro che ogni giorno si rimboccano le maniche e
165520	168320	danno il loro contributo per fare di nuovo grande questa nazione.
