start	end	text
0	3520	Oggi il Governo ha approvato un provvedimento molto significativo che
3520	7500	tocca una delle priorità che ci eravamo dati dall'inizio e cioè fare il
7500	10880	possibile per ridurre il peso delle bollette su famiglie e imprese.
11400	15700	È un decreto che avrà un impatto rilevante che garantirà risparmi e
15700	20060	benefici diretti per le famiglie e le imprese nell'ordine di oltre 5 miliardi
20060	23820	di euro. Il primo capitolo del decreto legge varato oggi al Consiglio dei
23820	27140	Ministri riguarda il sostegno alle famiglie che sono maggiormente in
28380	32320	Interveniamo ancora sul bonus sociale che in questi anni abbiamo di volta in
32320	37480	volta potenziato che oggi raggiunge 2 milioni e 700 mila famiglie vulnerabili.
37760	42480	A loro viene garantito uno sconto ulteriore sulla bolletta elettrica di 115
42480	46660	euro l'anno che si aggiunge a quello di 200 euro che avevamo già previsto
46660	50900	portando il sostegno totale a 315 euro. Inoltre abbiamo previsto un
50900	55580	riconoscimento in termini di visibilità alle aziende energetiche che decidono di
55580	60120	ridurre la bolletta con uno sconto volontario di almeno 60 euro all'anno
60120	64500	per le famiglie con un iso e fino a 25 mila euro e che non accedono al bonus
64500	69200	sociale. Il secondo pilastro del decreto interessa invece il nostro tessuto
69200	73140	produttivo. Come avevamo promesso ci siamo occupati di ridurre gli oneri
73140	78200	generali di sistema, voce che grava in maniera molto significativa sul costo
78200	83620	delle bollette. Sono molte le misure previste nel decreto, due le principali.
83620	87480	La prima è il taglio dei tempi di pagamento degli oneri di sistema che le
87480	91080	aziende energetiche sono tenute a versare allo Stato e la seconda è
91080	95840	l'aumento dell'IRAP del 2% sulle aziende che producono, distribuiscono e
95840	102240	forniscono energia e prodotti energetici. Utilizziamo le risorse ricavate per
102240	106140	abbattere gli oneri di sistema che gravano sulle bollette di oltre 4
106140	110100	milioni di imprese. Aiutiamo anche le aziende che consumano gas per le loro
110100	114700	produzioni, come ad esempio quelle della ceramica o del vetro, con l'abbattimento
114700	119500	degli oneri di trasporto e di altre componenti della tariffa. Il provvedimento
119500	122780	contiene poi un ulteriore pacchetto di norme che, incidendo sui costi del gas,
122940	127480	contribuiranno a ridurre il prezzo finale dell'energia elettrica per famiglie e
127480	131780	imprese. Il complesso di queste norme produrrà un taglio concreto sulle
131780	135900	bollette di luce e gas di tutte le aziende. Qualche esempio concreto, un
135900	140080	artigiano o un piccolo ristoratore avrà una riduzione media di oltre 5
140080	144100	euro l'anno sulla bolletta elettrica e di 200 su quella del gas. Per le piccole
144100	147940	e medie imprese di maggiori dimensioni il beneficio stimato cresce fino a
147940	152340	circa 9 mila euro l'anno per l'elettricità, 10 mila euro l'anno per il
152340	157160	gas. Arriviamo poi alle imprese più grandi, come sono ad esempio le imprese
157160	162480	gasivore, che potranno arrivare ad un taglio di oltre 220 mila euro l'anno sul
162480	167680	gas. Abbiamo costruito anche un meccanismo che introduce di fatto il
167680	171240	saccoppiamento del prezzo dell'energia elettrica da quello del gas.
171500	174700	Costruiamo una piattaforma pubblica che consente alle aziende, anche a quelle
174700	178740	più piccole, di aggregarsi per acquistare direttamente dai produttori
178740	183940	l'energia di cui hanno bisogno, svincolandosi dal mercato attuale e
183940	188760	quindi anche dalla speculazione. Questo consentirà, facendo leva sul mercato dei
188760	194200	cosiddetti PPA, di abbassare il prezzo dell'energia anche grazie alla garanzia
194200	200240	dello Stato attraverso il ruolo del GSE e di SACE. Siamo fiduciosi che questo
200240	204220	sistema possa generare benefici importanti e duraturi nel tempo per le
204220	209360	nostre imprese, perché volevamo risposte strutturali e non solamente di emergenza.
209760	213560	Infine, con questo decreto il Governo decide di fare anche un'altra scelta
213560	217120	strutturale che considero molto coraggiosa, perché avrà un impatto
217120	221040	decisivo sul costo delle bollette. La norma affronta infatti il tema
221040	226220	decisivo dei costi dei diritti ETS che oggi contribuisce a tenere alti i prezzi.
226260	232100	Gli ETS sono una tassa di fatto voluta dall'Europa che grava sulle modalità
232100	236320	più inquinanti di produzione di energia come quelle di origine fossile e questo
236320	240540	ha una sua logica. Il problema è che oggi si tiene conto anche degli ETS per
240540	244340	determinare il prezzo di tutte le forme di energia, anche quelle rinnovabili che
244340	249380	questa tassa non la pagano. Noi vogliamo scorporare il costo degli ETS dalla
249940	253140	determinazione del prezzo delle energie rinnovabili, come ad esempio il
253140	256320	litro elettrico o il solare, per abbassare i costi. È una norma che
256320	260680	chiaramente avrà bisogno dell'autorizzazione dell'Unione Europea e
260680	265120	che è coerente con l'impegno che stiamo portando avanti in Europa, perché anche
265120	269020	insieme ad altre nazioni stiamo cercando di rilanciare la competitività delle
269020	271960	nostre imprese. Continueremo ad andare avanti in questa
271960	275900	direzione, continueremo a lavorare per sostenere i nostri cittadini e per
275900	277260	difendere chi lavora e chi produce.
