start	end	text
1860	12940	Presidente, prime ministeri, autorità, signore e signore, è un grande onore per me di essere qui con voi oggi.
12940	22320	E mi piacerebbe dire di nuovo a Presidente Yusuf e a Presidente Lorenzo,
22320	29980	come a tutti voi, per questa opportunità storica offerta all'Italia.
30580	37360	L'invitazione di partecipare all'Assemblea del Presidente del Stato e del Governo dell'Unione Africana,
37360	43620	il forum in cui l'organizzazione discussa le sue scelte politiche fondamentali
43620	48360	e determina la direzione strategica del continente,
49480	53660	è una riconoscenza che può solo rendere l'Italia orgogosa
53660	60360	e che l'Italia accetterebbe con rispetto e un senso di responsabilità.
61240	65800	È una demonstrazione di fiducia che non ci farà dissapostare.
66800	75240	Ho l'onore di ledere una nazione che ha in selle delle caratteristiche
75240	80000	che storicamente la rende un partner rispettato e valido,
81120	89940	propensità per il dialogo, capacità per la discussione, rispetto per l'altro prima di tutto altro.
89940	96900	Una nazione che ha costruito parte della sua identità e della sua politica francesa
96900	100540	sul profondo significato di una guerra che, in volte,
100980	104240	non è stabila e non è in grado di essere in grado di essere nostra,
104720	108100	può essere la chiave per scegliere la cura.
108600	110500	E quella guerra è cooperazione.
111820	116080	La cooperazione di guerra viene dal latino, co-operare,
116080	119000	a lavorare con.
119720	126720	La vera cooperazione, cioè, non si vede mai un soggetto attivo e passivo,
127780	132300	ma esiste solo in una relazione tra i quali,
132600	138940	una relazione in cui le specificità di ogni uno sono indispensabili
138940	140540	per raggiungere un obiettivo comune.
141500	145980	Se guardi a qualcuno, non puoi cooperare con lui.
147060	151860	Se vuoi planificare le risorse, non puoi cooperare con lui.
152680	157560	Anche se vuoi dare una caratteristica, non puoi chiamarla cooperazione,
157720	159300	perché la cooperazione è un'altra cosa.
160300	163180	E cosa vuole l'Italia fare è cooperare.
164700	172080	Ieri, insieme a molti di voi,
172300	175100	abbiamo attenduto il secondo summit dell'Africa dell'Italia,
176060	179560	il primo a essere preso su questo continentale.
180300	184580	Voglio ringraziare il prime ministero etiopico, il mio amico Abiy Ahmed,
184980	188180	e i leader dell'Unione africa per la loro ospitalità
188760	192640	e cooperazione nell'organizzare l'evento.
192640	196360	In questo contesto, abbiamo discutato cosa possiamo fare
196360	203480	per migliorare e consolidare l'uno dei risultati più concreti di questa idea di cooperazione,
203780	206340	che è il plan Mattei per l'Africa.
206920	212800	Il plan di investimento che l'Italia ha implementato in diversi paesi del continente,
213020	216360	in area ranging from infrastructure to agriculture,
217120	218760	from health to training.
218760	222500	This is a strategy that we have built together,
223300	229020	because we do not conceive of the Mattei plan as an Italian plan for Africa,
230100	234680	but as Italy's contribution to your agenda,
235260	240760	with a particular focus this year on water-related projects.
242180	246040	It is an open platform for putting our know-how,
246040	251400	our technologies, our investments at the service of the objectives
251400	255320	that the African Union has set out in Agenda 2063,
256200	259260	starting with the creation of a continental free trade area
259260	262000	that is integrated and prosperous.
262940	267420	This is an ambitious goal which we support
267420	271000	and which will require efficient, secure,
271440	275120	and fast economic interconnections in order to be achieved.
275120	280720	Like the Lobito Corridor, the railway and infrastructure backbone
280720	283540	that will connect African markets to global ones
283540	287120	and bring people, ideas, and economies closer together,
288140	291880	a strategic project that sees Italy at the forefront,
292340	295060	together with the United States and the European Union.
296060	299120	In short, the Mattei plan is a comprehensive strategy
299680	303700	that generates concrete benefits for our peoples
303700	307360	and aims to continually expand its scope,
308240	315140	relying on the irreplaceable contribution of major United Nations agencies,
315440	319780	and I want to thank the Secretary General Antonio Guterres,
320120	324200	but also the World Bank, the African Development Bank,
324480	328580	and many other partners who increasingly share our vision.
329580	333900	Two years ago in Rome we set out the course together,
334860	340340	and in recent years we have followed it with consistency and determination,
341060	344780	adding a new piece to the mosaic each time
344780	348020	and bringing new nations on board every year.
348900	351480	We have done so on many fronts,
351840	354380	starting with what I consider to be crucial
354380	360840	for building a true free Africa capable of determining its own destiny,
361860	363940	addressing the issue of debt.
365160	369300	We wanted to chart a course on this issue as well.
369820	374420	Therefore, Italy has decided to launch a vast program
374420	377220	to convert the debt of African nations,
377840	379940	which includes, among its main points,
379940	384460	the complete transformation of the debt of the most fragile
384460	387560	and vulnerable countries into investments
387560	398560	and the strengthening of the contribution to the World Bank's AIDA funds.
399940	403940	Similarly, we have introduced specific debt suspensions
403940	408360	which our intention closes into our bilateral loans,
408780	412880	allowing African nations affected by extreme weather events
412880	416380	to free up fiscal space to help their population
416380	418980	and rebuild essential infrastructures.
420240	424260	These are choices based on justice and responsibility,
425240	429800	which are crucial for freeing up resources that are vital for development
429800	431880	and for assuring peace and prosperity,
431880	434780	including in those areas of the continent
434780	439740	that are currently more affected than others by instability,
440260	443580	insecurity and serious humanitarian crisis,
444020	448720	such as neighboring Sudan and Eastern Democratic Republic of Congo.
450100	457660	We also want our collaboration to be political at the multilateral level.
457660	464320	We want to help strengthen the valuable work carried out daily by the African Union,
464900	470960	ensuring greater consistency to the mediation activities carried out
470960	476180	by the UN and the European Union and key international partners.
477140	479780	We will continue to do our part,
480180	484300	because we are aware that the future of Italy and Europe
484300	490360	also depends on a secure, prosperous and peaceful Africa.
492140	502720	It is often said in the many analysis of the troubled and complex times we are living in
502720	506380	that history has started running again.
507540	513080	This is true, and my opinion is that today it is running here.
514060	518560	Africa is not a marginal chapter in this story, far from it.
519040	522560	And those who do not understand this scenario are being left behind.
523600	529780	But those who understand this scenario see the reality.
531100	535240	A continent with a thousand peculiarities and a thousand demands,
535580	538400	some of which are very different from each other.
538400	544560	A continent rich in resources, raw materials and arable land,
545160	550700	which can count on a decisive force in the age of knowledge, which is human capital.
551960	559560	This is why Italy has focused much of its energy on training projects for young people,
559820	562400	including in the field of artificial intelligence.
563400	569080	In short, our point of view is that Italy and Europe cannot think about the future
569080	573380	without taking Africa into proper consideration,
574020	577020	because our future also depends on yours.
577980	585140	Aware of this, Italy intends to continue to be a privileged bridge between Europe and Africa,
585660	590620	making available the strength of its institutions, its great tradition of dialogue
590620	592640	and the expertise of its companies.
594060	599940	We want to do this also to achieve another goal that we all consider momentous,
600480	608160	to guarantee the men and women of this continent a freedom that has often been denied them,
609080	612460	the freedom to choose to remain in their country,
613360	618620	to contribute to its growth without being forced to leave it,
618740	626740	often paying unscrupulous traffickers to risk their lives in an attempt to cross the Mediterranean.
628580	636460	Those who believe that migration is necessary and indispensable are in fact acting selfishly.
636460	643240	If young people leave their land and their people in pursuit of the promise of a better life,
643820	649560	what will become of the history, culture and existence of a country they have abandoned?
650280	654160	These words are not mine, nor those of a political leader,
655180	661460	but of a son who is proud of Africa and who holds Africa's future close to his heart,
661820	665240	which is the Guinean Cardinal Robert Sarrach.
667520	676240	Clearly, in order to guarantee the right not to have to emigrate,
677440	681760	it is necessary to offer concrete opportunities for training and work,
682540	687500	to enhance human capital and improve the quality of education,
687500	690500	invest in skills and educational systems,
691620	701100	and create industrial partnerships and joint ventures capable of generating stable quality employment in the territories.
701880	707940	This is our mission, which is being put into practice in the many initiatives that Italy is promoting,
708040	710160	including together with the African Union.
711940	724620	What I would like to see today is in this solemn place dedicated to another great son of a free and proud Africa, Nelson Mandela.
725480	733760	It is a great alliance between us to put training, research, university and innovation at the center of our common commitment.
733760	739760	An alliance aimed not at taking away talent,
741160	750140	but at multiplying it and building a model of development that respects people and values different identities.
751800	756760	Presidents, Prime Ministers, dear friends,
758200	764460	Pliny the Elder, one of the most famous historians of ancient Rome,
765540	770700	said that something new always arises from Africa.
772380	779080	So my wish for each of us is that something new may truly arise from today's meeting,
780080	786260	something that no one expects or that many consider impossible.
788460	794080	For impossible is usually the word that people without courage use,
796420	805740	something capable of astonishing the world and suddenly making everything we have seen so far seem trivial.
806140	807380	I thank you all.
809080	809680	Thank you.
