start	end	text
1020	6380	Allora, buonasera a tutti, grazie di essere qui. Penso che dobbiate sedervi, almeno le
6380	8720	prime file, altrimenti dietro non vedono nulla.
25660	33140	Ok, ci siamo? Allora, buonasera a tutti, grazie di essere qui, grazie di essere qui
33140	37920	così numerosi. So che ci sono delle persone che non sono riuscite ad entrare e le ringrazio
37920	45340	comunque per aver portato con la loro presenza l'attenzione a questo evento. Voglio ringraziare
46920	52380	ovviamente i capigruppo e i gruppi parlamentari di Camera e Senato di Fratelli d'Italia per
52380	64740	aver organizzato questa iniziativa. Sono, come capite, giornate di grande attenzione
64740	75400	di enorme lavoro, perché da una parte siamo concentratissimi ovviamente sulla crisi internazionale,
75680	81100	sulla diplomazia da mettere in campo per evitare un ulteriore allargamento di quella crisi,
81220	87780	sulle risposte che dobbiamo dare alle possibili ripercussioni per la nostra economia e quindi
87780	93480	ovviamente per i cittadini, ma dall'altra. Io non volevo rinunciare, noi non vogliamo
93480	101120	rinunciare a dedicare la giusta attenzione che merita il traguardo epocale di riuscire
101120	113540	finalmente a riformare in Italia anche la giustizia. Allora, grazie per questa occasione
113540	120960	e ovviamente grazie a chi prima di me e in molte occasioni come questa ha avuto il coraggio
120960	125540	di metterci la faccia, il coraggio di salire su questo palco, di raccontare la propria
125540	133000	storia, di spiegare perché abbia deciso di condividere con noi questo traguardo. So che
133000	140280	per molti non è stato facile e forse ci si dovrebbe interrogare sul perché in una democrazia
140280	147500	ci si debba ancora chiedere se sia il caso oppure no di esprimere pubblicamente in alcuni
147500	158220	casi il proprio pensiero, ma tante grazie per aver testimoniato con il vostro coraggio
158220	162680	l'importanza della scadenza del referendum confermativo della riforma della giustizia
162680	169780	che è previsto per il 22 e il 23 di marzo prossimi. Perché sì, qui è tutta una questione
169780	177840	di coraggio. Il coraggio di riformare quello che sembrava irriformabile, intoccabile,
178180	185380	indiscutibile. Il coraggio di maturare le proprie convinzioni andando nel merito delle
185380	192740	cose interrogandosi con la propria testa oltre la coltre fumogena degli allarmismi, delle
192740	199320	mistificazioni e perfino delle menzogne che abbiamo ascoltato in questi mesi. E soprattutto
199320	205580	il coraggio di voler cambiare per migliorare le cose. Perché in Italia tutte le volte
