start	end	text
0	7800	per tutti, soprattutto per i pesi più ricchi evidentemente, ma ci sono anche grandi opportunità
7800	14600	per tutti, sta a noi cogliere le opportunità ed evitare i rischi. Quale può essere il
14600	20740	nostro contributo, quale può essere il rapporto di ciascuno di noi? Innanzitutto noi dobbiamo
20740	27000	evitare un rischio, il rischio di gettare la spugna sulla base della costatazione che
27000	32220	i problemi che abbiamo di fronte non sono alla nostra portata, perché sono di portata
32220	37420	planetaria, ecco appunto il senso della globalizzazione, e quindi solo i grandi della terra possono
37960	42140	affrontarli, cioè solo i grandi del mondo possono mettere appunto gli strumenti per
42800	48460	conciliare la crescente competizione che ci aspetta con la solidarietà e con la tutela
48460	52240	di tutti coloro che non reggono il ritmo della competizione. Ecco, è un rischio questo che
52240	58140	non dobbiamo correre, non possiamo rinunciare all'impegno, è vero, in genere solo i grandi
58140	63280	della terra possono trasformare il mondo, e tuttavia in attesa delle grandi trasformazioni
63280	68940	che magari non verranno neppure, noi dobbiamo renderci conto che se sappiamo guardarci intorno
68940	76220	possiamo fare qualcosa di positivo, anche noi, tutti noi. Mi limito a pochissimi flash,
77280	82960	una prima riflessione, poi una costatazione, anche ad un osservatore disattento, appare
82960	87980	chiaro ad esempio che nel nostro Paese ci sono ancora tanti spazi per creare opportunità
87980	95840	di lavoro, soprattutto di lavoro improprio, come dice Giovanni Paolo II, per singoli e
95840	100400	per gruppi, per esempio nel campo dei servizi, nel campo dell'artigianato, occorre le norme
100400	105660	più coraggiosi, ma soprattutto occorre che la politica ponca al centro dell'attenzione
105660	110880	della persona e il lavoro, il tutto ovviamente nel rispetto di canone dell'economicità.
111980	117980	Una seconda riflessione, non occorre essere grandi esperti di cose aziendali per cogliere
117980	123680	come all'interno dell'impresa, e ci siano tanti spazi, direi tanti interstizi, per sviluppare
123680	128580	una visione umanista e personalista del lavoro, e si va di bene, tutto questo si può fare
128580	134540	senza oneri economici, senza grave di costi per le aziende, ma solo con un po' più di
134540	139480	l'attenzione all'uomo. Basterebbe considerare il lavoratore un uomo, una persona, e non
139480	146740	come si dice nel gerbo aziendale una risorsa. Sarebbe interessante aprire un dialogo per
146740	151540	esempio con i direttori del personale di imprese, di enti pubblici e privati per esplorare insieme
151540	156100	quel che si può fare. Sono convinto che avremo molte sorprese e tutte positive.
157460	163480	Un'ultima notazione di tipo, direi, più culturale. Nella scienza economica l'impresa è vista
163480	170300	come un organismo volto al profitto. Secondo l'ultima moda, l'impresa deve essere ordinata
170300	175960	alla massimizzazione del valore degli azionisti per gli azionisti. Come si vede nella teoria
175960	181740	dell'impresa si afferma di fatto il primato del capitale sul lavoro, l'opposto dunque
181740	186260	della dott. sociale della ciesa che afferma viceversa il primato del lavoro sul capitale.
187860	192880	Perché allora mi domando non avviare una rilettura dell'economia dell'impresa muovendo
193480	198620	se non proprio dalla priorità del lavoro, quantomeno dalla complementarietà tra lavoro
198620	205620	e capitale. Forse c'è un'utopia in tutto questo. Io non lo credo. Abbiamo il dovere
205620	210880	di tentare. Abbiamo il dovere di sfidare anche l'utopia perché sono convinto che comunque
210880	216900	alla fine raccogleremo qualcosa. Per concludere, una brevissima riflessione
216900	223320	rivolta essenzialmente a noi laici. La dott. della ciesa in campo sociale secondo me è
223320	229920	completa ed è limpidissima nei suoi principi. A noi tocca esplorare tutte le strade per
229920	236020	attuare questi principi e lo dobbiamo fare coniugando in noi la competenza tecnica che
236020	240860	deve essere sempre sicura e sempre aggiornata coniugando dicevo la competenza tecnica con
240860	247980	una vigile fantasia e con un pizzico di utopia. Il nostro compito è dunque esplorare, sperimentare
247980	252280	attenercemente ogni possibile strumento che aiute a raggiungere l'obiettivo descritto
