start	end	text
1260	7680	Allora, perché tutti gli ospiti li abbiamo messi da quell'altro. Grazie, grazie al Presidente.
9180	16420	Questa è la seconda edizione, lei era venuta anche alla prima, io mi riprometto di invitarla
16420	21440	anche alla terza. Lo dico subito qui per strappare immediatamente una promessa.
22300	27520	Direttore, ne riparliamo il prossimo anno? No, volentieri vengo sempre, quando posso
27520	28020	vengo sempre.
28020	32440	Ma perché solo il prossimo anno? Anche i prossimi, no? Cioè c'è tempo, la legislatura
32440	37360	va avanti, poi ci sarà una campagna elettorale, poi ci sarà un'altra legislatura, quindi
37360	38520	io l'aspetto qui.
39600	45140	Vediamo direttore, non diciamo mettiamo il carro davanti ai buoi, si dice dalle mie
45140	45580	parti.
46260	50740	Senta, partiamo subito alla questione che ha fatto discutere in questi giorni, cioè
50740	60460	della questione del vado ai seggi ma non ritiro la scheda. Cosa c'è di tanto strano?
60540	65420	Perché ha scelto di fare una cosa del genere? E si aspettava tutta questa polemica?
67500	72500	Ma guardi, la polemica ormai me l'aspetto su qualsiasi cosa. Dopodiché perché ho scelto
74540	83280	di dire che andrò al seggio ma non ritirerò la scheda. Ho scelto di dire che vado al seggio
83280	87500	banalmente perché sono il presidente del Consiglio dei Ministri, penso che sia giusto
87500	91360	dare un segnale di rispetto nei confronti delle urne, dare un segnale di rispetto nei confronti
91360	98740	dell'Istituto Referendario. Dopodiché con sfumature diverse non condivido i contenuti
98740	105940	dei referendum e, come sempre, nella storia di questa nazione, quando non si condividono
105940	114940	i contenuti di un referendum c'è anche l'opzione dell'astenzione. Perché, come ci insegna
114940	126640	un partito serio in Italia, non votare al referendum è un mio diritto, è un diritto
126640	131580	di tutto, è un diritto dei lavoratori e dei non lavoratori. Allora non ho capito,
131660	136180	è un diritto dei lavoratori e dei non lavoratori solo di sinistra o è un diritto dei lavoratori
136180	141360	e dei non lavoratori anche che non sono di sinistra? Allora, io penso che su queste
141360	149240	cose bisogna essere seri. Nella storia della Repubblica italiana tutti i partiti a fasi
149240	155600	alterne hanno fatto campagne per l'assenzione ai referendum quando non condividevano i referendum
155600	160720	e penso che i diritti valgano per tutti. Dopodiché aggiungo anche che secondo me
160720	169560	c'è un tema di metodo, diciamo così, perché molti di quelli che, diciamo, mi retarguiscono
169560	176040	ecco per questa scelta, sono stati al governo negli ultimi dieci anni. Ora qui parliamo
176040	180880	di referendum che tendenzialmente per la gran parte aboliscono delle leggi o parti di leggi
181030	185390	fatte dalla sinistra, che adesso la sinistra che sta all'opposizione chiede di abolire.
185470	190250	Quindi, diciamo, se la cantano e se la suonano, sempre a Roma si dice o comunque fanno e disfano,
190910	194730	ma io penso che se le materie che si pongono oggi all'attenzione degli italiani fossero
