start	end	text
0	9340	agricolo, signori delegati, signore e signore. Ho accolto con particolare piacere e con grande
9340	20620	interesse l'invito a rivoltermi dal Presidente dell'ITAD, il signor Cesari, ad aprire i lavori
20620	27320	dell'undicesima conferenza del consiglio dei governatori, che coincide quest'anno con il
27320	34120	decimo anniversario della Costituzione del fondo. Sono infatti profondamente convinto
34120	41880	della esigenza di riflettere insieme sui problemi dello sviluppo agricolo e di compiere congiuntamente
41880	50340	ogni sforzo per cercare di risolvere. Tale esigenza è purtroppo ancora attuale, in quanto
50340	57640	i problemi del sottosviluppo ed in particolare quelli della fame e della malnutrizione sono
57640	64660	ancora ben lontani dall'essere risolti e continuano a colpire milioni di esseri umani.
66460	73880	Non sarebbe tuttavia giusto tacere dei progressi significativi compiuti anche in ordine a questi
73880	81560	problemi. Desidero pertanto cogliere quest'occasione per rivolgere un tributo all'opera condotta
81560	89460	dal fondo che nei dieci anni della sua esistenza ha fornito un apporto di straordinario valore
89460	95600	al miglioramento delle condizioni di vita delle popolazioni rurali ed in particolare
95600	103080	a quelle più povere e bisognose, favorendo in tal modo nella sua globalità il processo
103080	110060	di sviluppo dei paesi emergenti. E quindi facendomi interpreti dei sentimenti di questa
110060	117420	assemblea che vorrei esprimere al fondo e al suo Presidente la riconoscenza della comunità
117420	125280	internazionale insieme all'auspicio che tale preziosa attività possa continuare con lo
125280	132180	stesso slancio, la stessa determinazione e la stessa intelligenza che hanno caratterizzato
132180	139820	questo primo decennio. Ritengo al presido veroso un riferimento all'organizzazione delle
139820	148220	Nazioni Unite di cui il fondo è parte. Accanto al ruolo che essi svolgono per la composizione
148220	154620	dei grandi conflitti politici che caratterizzano la nostra epoca, le Nazioni Unite sono venute
154620	161420	acquisendo nel corso degli anni un compito altrettanto rilevante e direi insostituibile.
162340	169880	Quello di centro propulsore della cooperazione allo sviluppo. All'interno della loro struttura
169880	178640	sono in parte maturanti le varie tappe di un processo non sempre facile, talvolta contraddittorio
178640	185720	che ha tuttavia consentito di richiamare all'attenzione della comunità internazionale il problema
185720	193940	dello sviluppo dei paesi emergenti. Si è andata così progressivamente affermando una più radicata
193940	201680	consapevolezza della reciproca interdipendenza tra crescita del mondo industrializzato e sviluppo
201680	209640	del mondo emergente e si è fatta strada la convinzione che di fronte alla gravità e alla
209640	217760	complessità dei problemi posti dalla gestione dell'economia mondiale nessun paese nemmeno il
217760	225900	più fortunato può pensare di poter fare da solo. Se si vuole che l'umanità avanzi sulla strada del
225900	232760	progresso della giustizia della libertà e della pace il nemico da battere è l'egoismo nazionale.
233120	243320	Il pontefice Giovanni Paolo II che sarà oggi presente tra noi ha più volte richiamato con
243320	250700	coraggio e determinazione all'attenzione dei governi l'esigenza della solidarietà internazionale
250700	258440	e di condizioni più equilibrate nella prosperità relativa dei popoli come pure la difesa degli strati
258440	265800	più poveri della popolazione nell'ambito di ciascun paese nel corso dei tanti pellegrinaggi
265800	273580	di pace che ha compiuto nel mondo intero. La sua convinzione per richiamare le parole di Paolo VI
273580	279960	che lo sviluppo è il nuovo nome della pace costituisce un insegnamento e un esempio che
280160	288460	tutti siamo chiamati a seguire. In tale contesto il recente accordo fra Stati Uniti e Unione
288460	297000	Sovietica per l'eliminazione di un'intera categoria di armi nucleari costituisce un evento che noi ci
297000	305260	auguriamo possa portare alla conclusione di nuove intese di disarmo sia nucleare che convenzionale
305260	311900	quindi alla progressiva instaurazione di un clima di sempre maggiore fiducia e cooperazione
311900	320460	fra le nazioni. Il governo italiano da parte sua continuerà ad operarsi per favorire il disarmo
320460	327180	e la cooperazione internazionale e per accrescere ulteriormente la propria partecipazione all'aiuto
327400	335340	sviluppo nonché agli organismi internazionali che ne sono lo strumento. Tra essi il fondo
335340	343660	internazionale per lo sviluppo agricolo occupa per noi una posizione di particolare rilievo in quanto
343660	350360	la sua filosofia corrisponde pienamente alla strategia della cooperazione italiana allo
351880	359680	Il fondo è infatti la prima istituzione finanziaria internazionale costituita per aiutare le
359680	367780	popolazioni più povere delle zone rurali circa un miliardo di esseri umani con redditi spesso
367780	374900	inferiori ai 100 dollari l'anno. Esso mira a promuovere uno sviluppo suscettibile ad essere
374900	381140	perseguito dalle popolazioni rurali più povere ed è proprio per tali popolazioni che esso
381820	389940	concepisce e gestisce i propri progatti. Per un contadino in condizione di estrema povertà
390620	397880	una buona zappa può essere più utile di un potente trattore così come per un pescatore
398480	406020	una rete robusta può essere più utile di un battello d'altura. Il fondo si sforza dunque
406020	411080	di mettere gli strumenti di produzione a disposizione di quanti ne hanno bisogno e
411080	417660	non sono in grado di procurarseli avendo cura che i beneficiari siano quanto più numerosi
417660	425760	possibili. Le specifiche finalità della strategia, la precisa individuazione dei destinatari dei
425760	433120	programmi, l'originale struttura tripartita su cui si basa la cooperazione fra 20 paesi
433120	440600	sviluppati, 12 paesi esportatori di petrolio e 110 paesi emergenti non esportatori di petrolio
441300	447920	costituiscono quella diversità che è l'essenza stessa del fondo e di cui questo va giustamente
448060	456540	orgoglioso. Mi sia consentito di aggiungere un altro elemento particolarmente significativo,
457340	464160	quel rigore nella gestione che il presidente Giasari ha dichiarato di voler perseguire al
464160	473420	momento della sua nomina nell'ottobre del 1984 e di cui vogliamo qui dargli altro. Ho rilevato
473560	479320	poc'anzi che la filosofia cui si ispira il fondo internazionale per lo sviluppo agricolo
480300	487120	risponde pienamente ai principi su cui si fonda la politica italiana di cooperazione allo sviluppo.
488320	496600	Anche sotto il profilo storico il parallelismo è interessante. Oggi celebriamo il decimo anniversario
496910	503930	del fondo e da parte sua l'Italia è entrata a far parte del gruppo dei paesi donatori alla
503930	511290	fine degli anni 70 in termini sostanziali agli inizi degli anni 80. Sia il fondo che
511290	518430	l'Italia hanno potuto pertanto avvalersi delle esperienze e talvolta anche degli errori compiuti
518430	526630	da altri. Ancora sino agli anni 70 l'orientamento prevalente non solo presso i paesi donatori ma
526630	533210	anche presso quelli beneficiari era teso a favorire in questi ultimi un processo di
533210	539710	intensa industrializzazione privilegiando la costruzione di grandi infrastrutture e
539710	546370	la rapida introduzione di tecnologie avanzate anziché il soddisfacimento delle esigenze
546370	554790	primarie. L'esperienza ha dimostrato che tale modello si assicurava nei casi più fortunati
554790	561670	una forse sempre modesta crescita del prodotto nazionale l'orzo provocava al tempo stesso
562310	570290	gravi conseguenze negativi. Fuga disordinata dalle campagne verso una troppo rapida e massiccia
570290	578110	urbanizzazione. Diminuzione della produzione agricola e conseguente necessaria importazione
578110	584370	di derrate alimentarie e spostamento della domanda verso beni di consumo tipici degli
584370	591930	abitanti delle città. Aumento dunque della dipendenza dall'estero attraverso il peggioramento
591930	599850	della bilancia dei pagamenti e inoltre un preoccupante degrado ambientale. Lo sviluppo
599850	612290	esistere fin dal 1985 con l'apparente indifferenza del segretariato dell'ifad ma in realtà l'obiettivo
