start	end	text
13780	22520	Cittadini di Salerno, amici repubblicani, rivolgo il mio saluto affettuoso al partito di Salerno,
22520	43900	che ha promosso, merce, l'impegno costante e appassionato dell'amico italico Santoro questa straordinaria festa dell'Edera che conferma ormai l'irradiazione nazionale del nostro partito e ci fa sentire qui in Campania come se fossimo in Romagna.
43900	66380	Tanto è stato impetuoso il processo di avanzamento del partito in questi 15-20 anni e voglio ricordare qui il primo apostolo dell'idea repubblicana in Parlamento, l'amico Biagio Pinto, cui rivolgo il mio affettuoso saluto per le varie legislature trascorse insieme a Palazzo Badama.
66380	83260	Un partito che ormai ha carattere nazionale, è un partito nazionale e non è più il partito a pelli di leopardo come lo chiamava Kissinger, nelle sue memorie forti in alcune zone e deboli in altre.
84000	107260	C'è una costante di espansione nazionale del partito repubblicano che coincide con l'avanzata dell'idea democratica, quell'idea democratica che ha ricevuto così straordinario conferme dalle vicende dell'est europeo che hanno visto il fallimento del comunismo e del socialismo reale e il trionfo dell'idea di democrazia,
107360	126540	cioè di quell'idea che nel secolo scorso fu alimentata e propugnata non solo in Italia, ma in Europa da Giuseppe Mazzini, la cui modernità è tornata a dominare anche queste giornate di Salerno.
127620	143400	Rivolgo il mio saluto e augurio più affettuoso al serretario del partito, a Giorgio La Malfa, che questa eredità continua rispetto a cresciute difficoltà, ma rispetto a prospettive col tempo.
143400	162400	Sono luminose per quello che è insieme il partito repubblicano e il partito della democrazia italiana, della democrazia integrale, non dirò soltanto la democrazia laica, della democrazia come sistema moderno di governo, dell'economia e della società.
163460	181460	Quello che è in corso nell'est è una partita fra l'idea socialista che si sta dissolvendo sia nel comunismo, sia nelle esperienze delle varie forme di socialismo reale e la democrazia che prevale nella partita storica aperta 150 anni fa.
183800	202440	Partita che va a vantaggio oggi di chi previde la vittoria della democrazia anche come strumento di giustizia sociale ed escluso da tutte le vie del collettivismo, dello statalismo soffocatore e tirannico.
203160	222060	Amici, noi siamo il partito della democrazia, ma siamo anche, e la conferma l'impetruosa avanzata in questa provincia, in questa regione, in tutta la campagna, il partito delle mani pulite, come io dissi nella campagna del 1983.
222980	241640	E come tale noi rappresentiamo la più forte esigenza di moralità nella vita pubblica. E diciamo la verità, una volta che l'Italia sia stata trasformata sul piano delle regole della moralità politica, solo allora la democrazia potrà dire aver vinto.
281360	281980	Sottotitoli a cura di QTSS
298580	299980	Sottotitoli a cura di QTSS
