start	end	text
5940	15280	Oh, dear colleagues, ladies and gentlemen, I'm honored to be here today to co-chair the
15280	20160	third United Nations Food Systems Summit with Prime Minister Abiy, thank you very much,
20780	26160	whom I thank once again for his hospitality and for his friendship.
26160	34740	This is the first time that this summit is being held in Africa. We choose to co-organize
34740	42200	this event in Addis Abeba with the Ethiopian government, not only because Italy has a special
42200	48380	relation with Ethiopia and a pragmatic cooperation based on concrete projects and initiatives,
49200	55860	but also because we believe it is essential to involve the African continent as a
55860	62920	protagonist in the choices and actions of the international community, starting, of course,
63080	69840	with the momentous challenge that is the subject of our work today, which is food security.
70940	78500	This is a top priority challenge as demonstrated by the broad and qualified participation in
78500	85960	the summit and the presence of UN Deputy Secretary General Mohammed, whom I greet and thank.
87140	94360	Although it has drastically decreased over the last 70 years, global food insecurity
94360	102760	still affects around 10% of the world's population, and this percentage is largely concentrated
102760	112000	here in Africa, where one in five people suffer from hunger and do not have access to sufficient,
112140	120720	safe and nutritious food to lead a healthy life. This situation, already complex, has
120720	128080	been exacerbated by the crisis the world is currently facing. While we were working to
128080	134320	overcome the shock of the pandemic, we had to deal with Russia's war of aggression against
134320	142720	Ukraine, which disrupted economic and trade flows and processes, destabilised energy markets
142720	149600	and fuelled waves of inflation that hit the most fragile nations, especially in the global
149600	158580	South and in Africa. And we know very well that when people do not have access to sufficient
158580	167500	food or lose the means to produce it, the consequences can be catastrophic. Poverty worsens,
167900	175320	conflicts intensify and communities become more vulnerable to violence, terrorism or
175400	182540	forced migration. Food insecurity is therefore in its every aspect a political issue, but
182540	189420	not only. It is also, above all, an economic issue. We would be making a serious mistake
189960	197160	if we limited ourselves to looking at food systems through the face of poverty, suffering
197160	204920	and hunger. Food systems are an engine of growth and development, both for the most
204920	211760	fragile nations and for those that are economically more solid. At the heart of our action there
211760	217960	must therefore be the development for the communities where we choose to focus our efforts
217960	226400	on. And it is not enough to help those communities to produce the food needed to feed the population,
227120	233640	but it is also necessary for that food to be marketed, to have access to markets with
233640	239500	solid and resilient production and distribution chance. This is the only way we can enable
239500	245640	a community to prosper with the resources it possesses, generating employment and stable
245640	252720	lasting growth. This is Italy's point of view, and it is the red line that links the initiatives
252720	258760	and projects of the Matei Plan for Africa, starting of course with the agri-food sector,
259320	266820	an area in which Italy can boast unique know-how that combines tradition and innovation.
267700	274880	We have made this heritage available for our African partners, and together with them we
274880	279860	have built public-private partnerships that attract investments and guarantee concrete
279860	286600	results. We are successfully testing this in Algeria, where we are working to reclaim
286600	297760	over 36,000 hectares of desert to produce up to 45,000 tons of additional cereals and
297760	305800	legumes per year, creating 6,000 jobs and generating benefits for over 600,000 people.
306600	314220	This endeavor is also underway in Senegal, Ghana and Congo, and aims to soon involve
314220	322320	Podiwar and Presidente Ruto Kenia. Our blueprint is also working in Tunisia, where we are strengthening
322320	328120	capacities and skills for the use of water, a resource around which there will be an increasing
328120	334920	geopolitical and sovereignty challenge. But we have chosen to apply this vision to other
334920	340960	projects as well, such as the one developed together with the European Union's Global
340960	347460	Gateway, which combines European financial resources and private capital to support the
347460	353600	development of coffee production chains in various African nations. And then there is,
353600	359620	of course, the centrality of the technical and scientific training, which is crucial to
359620	365500	make a difference and must be integrated into a supply chain approach, from seed to production
365500	372620	to product distribution. In this context, just a few days ago, we signed an agreement
372620	379280	for the establishment of a professional agricultural training center in Algeria, which will serve
379280	386140	as a reference point for the Sahel and the whole of Africa. Our goal, we have stated
386140	395480	this on many occasions, is not to create dependency, but to support self-reliance. This goal also
395500	403260	involves what we usually refer to as food sovereignty, the right of people to shape its
403260	411040	own production model based on their identity. Food sovereignty means not going along with
411040	418660	the standardization of food production, which lowers quality and concentrates wealth, but
418660	426400	instead investing in promoting local high-quality products. Small and medium-sized farmers and
426400	434320	their families are the backbone of agricultural and environmental systems. They are the primary
434320	441320	guardians of the land and must be given the means to live with dignity and with a fair
441320	447960	recognition of their work. And this is why Italy, with its network of institutions, businesses,
447960	455360	and protection consortia, is ready to do its part to promote the export of African geographical
456060	462900	indication to European and global markets by building promotion and distribution networks.
464220	473000	So dear Deputy Secretary Muhammad, dear Prime Minister, dear colleagues, Cicero, one of the
473000	481120	most important philosophers of ancient Rome, said that of all the arts from which some
481120	491080	profit is gained, none is better than agriculture, none more profitable, none sweeter, none more
491080	500020	worthy of a man and of a free man. Thousands of years later, this teaching is still valid
500020	509180	and shows us the way forward. Food is a right, a cultural expression, the pillar of a nation's
509180	516220	identity and sovereignty. But it is also the first step towards being truly free, independent,
516680	519760	and masters of our own destiny. I thank you.
