start	end	text
0	7340	Radio Radicale, abbiamo qui con noi Lamberto Tigni, già Presidente del Consiglio, già Ministro del Tessore degli Affari Estri, che viene dalla Banca d'Italia.
7780	15020	Presidente Dini, ma qual è la sua opinione su questo disegno di legge Borghi riguardante le riserve auree della Banca d'Italia?
15020	24240	Io spero che non vada avanti e che la Presidente del Senato, prima di metterlo in discussione,
24300	32420	chieda perlomeno il parere della Banca Centrale Europea per sapere qual è la normativa che riguarda queste cose.
32420	45420	Ma è pura follia, è pura follia, perché l'oro che costituiscono una parte delle riserve della Banca d'Italia
46080	56120	è stato comprato con emissione di valuta, cioè con emissione di lire, e quindi è la contropartita di un'emissione monetaria.
56120	66340	È chiaro che appartiene alla Banca d'Italia, se poi lo stato se ne vuole appropriare, benissimo, se lo compri, costa 90 miliardi,
66600	76500	e certamente non lo può comprare con l'emissione di BTP, perché quello sarebbe finanziamento monetario del tesoro.
77040	80880	E quindi, ma di cosa stai parlando? Capito?
81100	83800	Quindi il Presidente del Consiglio ha detto che con l'oro appartiene agli italiani.
83800	91480	Ma certo, certo che appartiene all'Italia, non necessariamente al governo dei Cinque Stelle. Questo è il punto.
91920	97520	Quindi lei dice, quelle riserve auree la Banca d'Italia li ha nei suoi cavoli?
98000	99820	Con emissione monetaria, certo.
100300	102000	E che cosa servono quelle riserve auree?
102560	108620	Servono a garantire stabilità e l'oro può essere utilizzato in situazioni di emergenza,
108620	117780	quando, per esempio, in una crisi mondiale non puoi comprare il grano se non lo paghi, i dollari non li vogliono, se non lo paghi in oro.
118060	123620	Serve per garantire eventualmente i rischi, per tutta oggi, a garantire stabilità.
124400	130240	Anche perché se non va del raro, quelle riserve auree un tempo servivano per mantenere il cambio della lira un tempo.
130920	134280	Esattamente, stabilità. Quindi, esattamente.
134780	140680	E anche per situazioni di grande emergenza, in caso di guerra, cose di questo genere qui.
141220	148240	In ogni caso, le regole sono fissate dalla Banca Centrale Europea e quindi, come dicevo...
149520	150440	Secondo lei questo di D?
150440	166240	Presidente Castellati, il presidente della Camera, dovrebbe sentire la Banca Centrale Europea qual è la normativa prima di metterlo in discussione. Tutto qui.
166560	170740	Chiarissimo. Ringraziamo come sempre il Presidente Lamberturini e come sempre un saluto dalla nostra emittente.
