start	end	text
16700	24720	Il Presidente della Repubblica ha ricevuto oggi al Quirinale il Senatore Giovanni Spadomini,
24720	27720	Presidente del Senato della Repubblica.
28420	38560	Il Presidente della Repubblica ha conferito al Senatore Spadomini il mandato di acquisire attraverso gli opportuni contatti
38560	49980	e di rappresentargli i necessari ulteriori elementi di conoscenza e di valutazione per la soluzione della crisi e la formazione del Governo.
49980	54640	Il Senatore Spadomini ha accettato il mandato con verito.
63020	70840	Il Presidente della Repubblica, al quale va il mio sincero ringraziamento per la fiducia dimostratana,
70840	82520	mi ha chiesto di verificare quale sia la mia migliore per superare le ragioni di questa crisi e riprendere il filo del discorso politico della legislatura.
83320	94720	È un discorso tutto dominato dalla necessità di portare l'Italia nell'Europa del 1992 in condizioni di risanamento finanziario e di efficienza istituzionale.
94720	100900	Quello che si deve esplorare non è già dunque la possibilità di una qualche soluzione provvisoria o di ribiego,
101860	112120	ma la sicura creazione delle forze politiche intorno ad un Governo stabile ed efficace e con un programma adeguato alle inevitabili scadenze.
113120	124120	La ricognizione Q5 sarà perciò attenta e meticolosa sia sulla piattaforma politica sia sulle linee programmatiche al centro del rivallo di questi messi.
125440	136120	I tempi italie politiche sono condizionati dai complessi impegni internazionali del Paese di tale difficoltà connesse allo svolgimento della campagna delle elezioni europee.
136120	145120	Di ogni sua fase terrò costantemente informato il Presidente della Repubblica al quale rimuovo il mio grado di perentra attenzione.
149780	157700	Prevedo i tempi necessari per l'apprettamento di un mandato volto a prontire i termini di stazione che si presentano.
166260	180000	...aprire poi con lui i collochi politici al momento del suo rientro da Brusseli che è evidente che i prossimi 3 giorni sono dominati appunto da quelle scadenze internazionali a cui facevo riferimento...
