start	end	text
1020	7500	Sono molto contenta dell'invito all'Italia a partecipare come ospite d'onore al Consiglio di Cooperazione del Golfo.
7600	12400	Una cosa che non era mai accaduta, l'ultimo europeo invitato risale credo al 2016.
13200	20940	Credo che sia anche un riconoscimento al lavoro e all'attenzione che l'Italia ha dimostrato nei confronti di questo quadrante del mondo
20940	24000	con il quale noi crediamo che ci siano molti interessi convergenti.
24000	29000	E penso che sia un tipo di cooperazione che guardando al Mediterraneo sempre,
30040	35080	diciamo come punto di riferimento alle rotte marittime del commercio internazionale,
35140	40340	alle interconnessioni che partendo dall'Asia arrivano fino potenzialmente agli Stati Uniti,
40400	44560	passando ovviamente per l'Europa e per l'Africa, vada strutturata di più.
44740	49960	Ho anche proposto al Consiglio di Cooperazione del Golfo di lavorare insieme su un summit,
49960	54960	su un nuovo formato che metta insieme i paesi del golfo, i paesi mediterranei,
55860	59360	quindi ovviamente Medio Oriente, Sud Europa, Nord Africa.
59540	64980	Penso che se guardate al Mediterraneo che occupa l'1% dei mari del mondo
64980	69340	e sul quale transita circa il 20% del commercio marittimo mondiale,
69420	76020	vi rendete conto di quanto questo spazio sia molto più grande dei suoi confini geografici.
76020	80260	Ho trovato chiaramente ragionando appunto sul tema del commercio,
80420	85020	sul tema della logistica, sul tema delle interconnessioni, sul tema dell'energia
85020	92440	e anche poi tutto quello che porta alla stabilità di quadranti che sono molto sensibili
92440	94920	e molto importanti in una fase come questa.
95040	101020	Ho trovato totale piena disponibilità, ma ripeto credo che l'invito fosse anche un riconoscimento
101900	108240	al lavoro che l'Italia ha fatto, è stato ricordato durante la sessione del Consiglio di Cooperazione
108240	115020	e stiamo lavorando anche come Italia e GCC per arrivare a una cooperazione più strutturata.
115900	122420	A margine ho avuto ovviamente la possibilità di parlare di persona con i leader dei due paesi del golfo
122420	126200	che non avevo ancora incontrato personalmente, quindi Oman e Kuwait.
127220	133600	In Oman spero di potermi recare perché sono stata invitata diverse volte quanto prima,
133720	137700	ma sono tutte nazioni con le quali abbiamo rapporti estremamente solidi.
137840	145200	In chiusura ho pensato che fosse bello passare in questa cattedrale dedicata alla nostra Signora d'Arabia
145400	153700	perché è il simbolo chiaramente anche di una segnale che Re Hamad, il re del Bahrain,
153940	160520	ha dato già diverso tempo fa in questo paese di attenzione al dialogo interreligioso.
160740	167140	Questo è un paese nel quale nella stessa quadrante coesistono una moschea, una sinagoga e una cattedrale
167140	174400	e penso che valesse la pena anche di sostenere e di sottolineare questo messaggio importante che Re Hamad ha voluto dare.
175900	179580	Presidente, il tema ucraniano, una situazione che sembra complicarse,
179620	183060	tanto ha cambiato tutto il disastro e quali ucce di questo?
183160	186380	E' un richiesto di confusione di un ammiraglio capo da gomma.
186440	192540	Ti chiede che la parte della natura del paese, in reazione di un approccio più inattivo nello difensivo,
192680	195420	cosa ritrova le parole dello stesso ammiraglio?
196580	200340	Allora guardi, io penso che siamo in una fase nella quale bisogna misurare molto bene le parole,
200520	204760	bisogna evitare tutto quello che può generare confusione, che può spaventare,
204760	207200	che può far surriscaldare gli animi.
207240	213280	Detto questo, però, diciamo, circoscriverei le parole all'ammiraglio capo dragone a quello di cui stava parlando,
213420	215560	perché stava parlando di cyber sicurezza, ok?
216140	221760	Quindi io l'ho letta nel senso di dire la NATO è un'organizzazione difensiva,
222420	225760	come poi stamattina è stato ribadito nuovamente,
226420	230740	chiaramente oltre a difenderci dobbiamo anche riuscire a fare meglio prevenzione,
230740	235660	perché stiamo parlando di cyber sicurezza, quindi comunque bisogna fare attenzione anche a come si leggono delle parole,
236580	240540	che in ogni caso bisogna essere molto attenti a pronunciare, mettiamola così.
242060	246880	Dopodiché la soluzione al conflitto in Ucraina abbiamo capito dall'inizio,
246880	252380	insomma, che non sarebbe stata una cosa facile, perché è una guerra che va avanti da ormai quasi 4 anni
252380	259600	e con oggettivamente una disponibilità da parte ucraina, da parte statunitense, da parte europea,
259600	263840	ma non ad oggi, diciamo, segnalata da parte russa.
264180	269060	Ciò non toglie che bisogna continuare a lavorarci, ciò non toglie che il nostro obiettivo, dal mio punto di vista,
269200	272920	deve essere quello di continuare a spingere per arrivare a una pace,
273080	278100	purché quella pace sia, come abbiamo detto mille volte, una pace giusta e sostenibile e duratura.
278320	280100	E è quello su cui siamo concentrati ora.
280100	285100	Si è tesoro dal decreto di toloca di inviare le armi a piedi,
285300	287800	ma questo non è tanto il tempo o in mezzo?
288340	292360	No, guardi, è una questione logistica adesso, sinceramente.
294620	299420	La possibilità di inviare aiuti all'Ucraina, come voi sapete, scada il 31 dicembre, ok?
299420	302140	Quindi noi faremo altri consigli dei ministri prima di quella data.
303580	306740	Il decreto ci sarà, nel senso che chiaramente noi lavoriamo per la pace,
306740	309940	ma finché ci sarà una guerra faremo quello che possiamo fare,
309940	312300	come abbiamo sempre fatto per aiutare l'Ucraina a difendersi.
312320	316180	Nel mentre, tra l'altro, siamo andando avanti e in buona sostanza
316180	323240	abbiamo già definito rispetto al sostegno all'Ucraina per i generatori di corrente.
323480	326920	Vi ricorderete che quando ho incontrato Zelensky in uno degli ultimi summit,
327080	330020	aveva chiesto aiuto da questo punto di vista, ci sono delle aziende italiane
330020	332720	che producono dei generatori di dimensione sufficiente,
332720	338180	perché noi sappiamo che la Russia predilige attaccare le infrastrutture strategiche
338180	339680	che servono alla popolazione civile.
