start	end	text
27840	29980	Sottotitoli creati dalla comunità Amara.org
50380	55760	Sottotitoli creati dalla comunità Amara.org
75120	83380	Sottotitoli creati dalla comunità Amara.org
119100	119180	Sottotitoli creati dalla comunità Amara.org
149740	149960	Sottotitoli creati dalla comunità Amara.org
175820	177260	Sottotitoli creati dalla comunità Amara.org
208000	208380	Sottotitoli creati dalla comunità Amara.org
234400	235800	Sottotitoli creati dalla comunità Amara.org
268100	269620	Sottotitoli creati dalla comunità Amara.org
298280	299680	Sottotitoli creati dalla comunità Amara.org
312420	313820	Sottotitoli creati dalla comunità Amara.org
315220	316620	Sottotitoli creati dalla comunità Amara.org
316620	322180	Sottotitoli creati dalla comunità Amara.org
