start	end	text
2040	10600	No, per carità, il sindacato è formato di operai senza stabilità del lavoro, di operai
10600	23360	che sudano, che non riescono ad andare a quadrare il bilancio massile, è un'offesa agli operai
23360	29980	e tecnici che questo GIP si paragone a lui e paragone all'associazione azionale magistratta
30000	38200	che potrebbe essere benissimo un ramo della confindustria e non certo della CGL con i sindacati
38200	42540	veri e io difendo gli operai con un signore come questo.
43000	48360	Presidente Costiga, lei ha parlato di separazione delle carriere e ha detto, però bisogna fare
48360	52160	un discorso chiaro, non ovviamente sintetizzo, mi permetto di sintetizzare un momento, bisogna
52160	56920	fare però un discorso chiaro, bisogna chiarire il rapporto tra pubblici ministeri e sistema
56920	58580	politico perché sennò si rischia di creare...
58580	65580	Per carità, ma l'idea che aveva Forza Italia di separazione delle carriere è disastrosa,
68320	77380	significherebbe fare un corpo separato dei pubblici ministeri, un corpo armato dello Stato,
77920	86960	con le truppe, con le truppe perché tra poco i ragazzi GIP, i ragazzi pubblici ministeri
86960	93820	avvalendosi la norma del coscio bruciolo penale, chiederanno l'intervento dei reparti
94960	102240	corazzati delle forze armate. La divisione, la distinzione, la creazione
102240	109960	di un corpo come si chiama il Ministerio Fiscal in Spagna o come si chiama lo Stato San Valti
109980	118460	di Germania o come si chiama il Crown Prosecutor's Service in Gran Bretagna, ha senso quando
118460	126820	vi è un'appice che non è, che è o un membro del governo come l'Inghilterra, l'Attorno
126820	138140	General e Lord Advocate di Scozia o con l'Irlanda, l'Attorno General di Irlanda che o fanno
139780	147120	parte ma sono eletti dal Parlamento e rispondono verso il Parlamento dell'esercizio dell'azione
147120	154260	penale che come l'Ista sono da noi obbligatorie. Non principio questa dell'obbligatorietà
154260	159760	dell'azione penale che probabilmente quantomai diciamo così? No perché non esiste, perché
159760	165420	l'obbligatorietà dell'azione penale è lo schermo attraverso il quale i singoli sostituti
165420	173320	sono tratti ormai anche ad ogni disciplina nei confronti del loro capo, hanno la facoltà
173320	178660	di esercitare l'azione penale scegliendo loro le priorità mettendo un fascicolo sopra
178660	183360	e l'altro sotto. Presidente Cosiga, lei ha appunto attaccato il disegno del ministro
183360	188420	Guardasigilli di riforma dell'ordinamento giudiziale. Come attaccare? Lei così mi offende
188420	194480	un attacco, perché attaccare significa che io lo considero degno d'attacco, io posso
194480	203540	attaccare una tesi giuridica di violante, un disegno di legge scritto da Di Liberto,
204860	213840	ma non mi sottovaluti culturalmente e giudicamente a tal livello da dire che attacco un foglietto
213840	220400	di carta in oco scritto dal fisico a Custico Castelli, questo è un fadometro. Insomma
220400	230340	diciamo che ha abusato... Della cosa ancora più grave, perché trattandosi di acqua fresca,
230700	236760	questi stanno sciopperando contro l'acqua fresca, quindi lo scopo è un avvertimento,
236760	245120	non pensiate di fare niente di più. Il ministro Castelli oggi dice, no io non farò
245120	248780	mai la separazione delle carriere per altri in Unità. Ma lui non farà nulla, farebbe
248780	258580	meglio tornare. Il ministro Castelli, ma adesso è estate, vada a farsi bagni, vada a far
258580	263700	vela, ma lasci stare, non è cosa per lui. Come giudica le reazioni del centro-destra
263700	267900	del suo intervento? Perché a Enne la Lega mi paresse non stare piuttosto freddina. No,
268080	275620	la Lega no, a Enne è fedele, ha le sue radici storiche, ha la sua cultura idealista, ha
275620	282200	la sua cultura gettibiana, ha un passato, una storia culturale politica, non so, dal
282200	292920	28 ottobre del 22 al 25 luglio del 43, insomma, una storia che parte della storia d'Italia,
