start	end	text
25360	29280	Buongiorno a tutti e ovviamente grazie. Grazie al Presidente
30260	37200	Orsini per questo invito, per i molti spunti importanti che ha portato questa mattina.
37320	45360	Saluto ovviamente tutte le autorità, i ministri, il vicepremier Taiani, i parlamentari, le autorità
46120	52700	locali. Sarebbe lunghissimo citarle tutte e saluto e ringrazio anche per quello che ha appena detto
52700	64440	la Presidente del Parlamento europeo, la mia amica Roberta Mezzola. Il Parlamento europeo
64440	71140	è dalla vostra parte. Sarò onesta, Roberta, questo dipende dalle maggioranze che si formano
71140	76960	di volta in volta, ma sicuramente tu sei stata dalla nostra parte e sei dalla nostra parte.
79220	89920	E quindi grazie davvero. Dunque io nonostante la complessità dell'agenda di questi giorni sono
89920	98180	tra l'altro di nuovo in partenza, ci tenevo ad essere qui con voi. Prevalentemente perché
98180	104560	voglio che il confronto con le categorie produttive sia una cifra di questo governo,
104560	110780	ma anche perché penso che sia particolarmente importante in una fase come quella che noi
112460	117280	attraversiamo sottolineare la centralità del tessuto produttivo industriale italienese.
117560	125720	Ritura sano in una democrazia, però noi abbiamo tutti quanti fatto del nostro meglio per un
125720	132900	obiettivo che condividiamo da un punto di vista e dall'altro e cioè tutti vogliamo banalmente fare
132900	140600	il nostro lavoro. Su questo ci possiamo ovviamente trovare. Per quello che riguarda il lavoro del
140600	148260	governo il nostro impegno è stato rivolto soprattutto a restituire a questa nazione
149460	162880	la centralità che le è propria sullo scacchiere internazionale, sullo scenario globale, che a
162880	168080	portare avanti è una strategia economica basata sostanzialmente su tre pilastri che
168080	175960	sono la serietà, l'efficacia e una visione di sviluppo di lungo termine. Una strategia che
175960	184000	io mi sento di confermare oggi con voi atteso che alcuni importanti risultati stanno comunque
184800	191580	arrivando pur in un contesto complesso e pur ancora tra mille difficoltà che ovviamente
191580	199360	questa nazione ha. L'Italia però si presenta oggi credibile di fronte a un quadro economico
199360	207060	finanziario che è come sapete di straordinaria complessità, ce lo dicono i mercati, ce lo dicono
207060	212540	gli investitori, ce lo dicono i risparmiatori. Penso che lo testimoni il livello dello spread
213200	219620	più che dimezzato rispetto a quando ci siamo insediati, la borsa che ha registrato performance
