start	end	text
0	6280	Dunque buongiorno a tutti, grazie, grazie davvero per l'accoglienza, grazie per l'invito,
6880	13600	grazie al presidente Banna Bobocca, Bobo Bocca, voglio dire che siamo stati tutti molto in
13600	23680	ansia per questa sua elezione, al cardiopalma, diciamo fino all'ultimo voto, assolutamente
24360	34780	inaspettata, poi vi fai un corso di formazione nei ritagli di tempo che però davvero è anche
34780	40860	sintomatica del lavoro che il presidente Bocca ha fatto in questi anni, ringrazio lui, ringrazio
40860	46300	tutta Federalberghi per questo invito, grazie alla giunta esecutiva, ai delegati, agli iscritti,
46560	51500	ovviamente saluto anche io tutte le autorità presenti, i colleghi di governo, i parlamentari,
52140	57680	le istituzioni, i rappresentanti delle altre categorie presenti e consentite anche a me di
57680	69780	rivolgere un saluto particolare a Gianmarco Mazzi, cioè al ministro del Turismo, Mazzi che è al
69780	77780	debutto in questa assemblea, voglio confessare al ministro Mazzi che io ho un po' sofferto a dover
79140	85980	delega, sono stata probabilmente il ministro del Turismo meno longevo della storia d'Italia,
86800	92020	però l'incarico non mi dispiaceva affatto, io penso e lo penso sinceramente che occuparsi di
92020	98020	turismo in Italia sia una delle cose più belle, più stimolanti che si possano fare, perché il
98020	105140	turismo è in buona sostanza un pezzo di noi, un pezzo molto significativo di noi, è molto più
105140	113860	di un settore strategico per la nostra economia e il valore che genera va ben oltre il 13% di
113860	122660	prodotto interno lordo, il turismo è il comparto che ci identifica e ci caratterizza e che in
122660	128700	qualche maniera racconta al mondo meglio di qualsiasi altra cosa, cosa significa essere
128700	134340	italiani, il turismo parla di quello che siamo stati ovviamente, ma parla anche di quello che
134340	140260	sappiamo fare meglio, di quello che abbiamo costruito, di come abbiamo saputo difendere
141240	147640	il nostro territorio, proteggere l'ambiente, il paesaggio, le opere che erano state realizzate
147640	154300	da chi ci ha preceduto e per questo e per molto altro il turismo promuove i nostri valori,
154740	163820	racconta il nostro stile di vita e chi sceglie l'Italia lo fa perché sa che può vivere
163820	173320	qualcosa di più, di un bel viaggio, di una bella vacanza, chi arriva in Italia alla fine non si limita
173320	183460	a visitarla, entra in un modo di vivere, entra nel nostro modo di vivere e quel modo di vivere
183460	192480	difficilmente si lascia ridurre a delle fotografie o a un semplice itinerario, è un'esperienza che
192480	198660	mette insieme bellezza, che mette insieme memoria, quotidianità e finisce per restare addosso molto
198660	204860	più a lungo del viaggio stesso e noi questo certo lo dobbiamo alla nostra storia, lo dobbiamo alla
204860	210780	nostra identità, lo dobbiamo al nostro popolo però non avremmo saputo sfruttarlo a pieno se
210780	217500	non fosse stato per il ruolo delle imprese che operano nel settore e segnatamente per il ruolo
217500	224080	dei nostri albergatori che con discrezione, con eccellenza, con creatività costruiscono questo
224080	231740	ponte tra viaggiatore e territorio e poiché non smettete di sperimentare, di fare sintesi tra
232600	238400	tradizione e innovazione, di cercare quello che è sempre necessario per fare la differenza e
238400	245760	lasciare un segno nella mente, nei cuori delle persone, io ho pensato che fosse giusto essere
245760	251440	qui non solamente perché lo avevo promesso al Presidente Bocca ma ho pensato che fosse
251440	263520	giusto venire qui a dirvi grazie per la vostra professionalità. Grazie per amare questa nazione
264260	275740	bella e difficile così tanto da voler rendere indimenticabile l'esperienza di chi viene a
275740	281800	dedizione a questo richiede e sono consapevole che senza di voi l'Italia non potrebbe ottenere
281800	288080	i risultati che ottiene nel turismo perché quello che funziona da noi non è mai il prodotto del
288080	295100	singolo, è il prodotto di una filiera che in questo caso deve partire dalle istituzioni per
298120	305660	arrivare ai lavoratori e questa continuità tra visione politica, iniziativa privata e
305660	312080	professionalità diffusa che trasforma il potenziale del turismo tricolore in un'esperienza
312080	318700	concreta, sempre più competitiva e capace di distinguersi nel panorama internazionale e voglio
318700	325360	ringraziarvi anche, lo ricordava velocemente il Presidente Bocca, per la straordinaria capacità
325360	330820	di resilienza che questo settore che voi avete dimostrato nei momenti di maggiore difficoltà
330820	340540	sembra ormai trascorsa una eternità dalla pandemia però io ricordo bene e credo che occorra
340540	346400	continuare a ricordare il contributo che questo settore ha assicurato alla nazione quando c'è
346400	352740	stato bisogno di avere le strutture che servivano agli italiani che si trovavano in quarantena,
352740	365700	è stato dimostrato da qui, è stato dimostrato in quell'occasione come in tante altre la capacità
366360	371380	di rappresentare non solo un settore importante dell'economia ma un pezzo importante dalla
371380	381200	comunità e questo che fa la differenza credo valga la pena ricordarlo anche perché raccontava
381200	388600	come ha raccontato la ripresa post covid della capacità non solo di resistere ma di rialzarsi
388600	393740	di ricominciare a correre quando magari si viene dati per spacciati questa è una specialità
393740	399720	tutta italiana Bobo e è stata dimostrata molto bene da questo settore però ovviamente
399720	406560	essendo io il Presidente del Consiglio il mio compito non è dire grazie a parole chiaramente
407380	412520	cercare di dimostrare con i fatti che credo nel vostro lavoro e cercare di dimostrarlo
412520	417780	con i fatti che questo governo sta cercando di portare avanti perché noi ci siamo insediati
