start	end	text
0	3520	Positivamente il fatto che si sia raggiunto un accordo, io ho sempre pensato, continuo
3520	9240	a pensare, che una escalation commerciale tra Europa e Stati Uniti avrebbe avuto conseguenze
9240	18560	imprevedibili, potenzialmente devastanti. Dopodiché la base di tazzi al 15%, se ricomprende
18560	29620	i tazzi precedenti, che di media erano intorno al 5%, 4,8%, differentemente da quello che
29620	34800	secondo me è una base sostenibile, dopodiché ovviamente bisogna andare nei dettagli e per
34800	39840	andare nei dettagli intendo essere certi, ma mi pare che su questo Presidente della
39840	45720	Commissione sia stata chiara, che ci siano alcuni settori che erano diciamo particolarmente
45720	51960	sensibili, penso alla farmaceutica per esempio, le auto, che siano all'interno del 15%, bisogna
51960	56660	verificare quali sono le possibili esenzioni, particolarmente su alcuni prodotti agricoli,
56660	60660	quindi ci sono una serie di elementi che mancano, così come io non so esattamente a che cosa
60660	66260	ci si riferisca quando si parla di investimenti, acquisto di gas e compagnia, questo non sono
66260	72180	in grado di valutarlo finché non ho i dati chiari. Ovviamente bisognerà studiare i dettagli
72180	77740	dell'accordo, bisognerà lavorare ancora sull'accordo perché quello che è stato sottoscritto ieri
77740	82020	è un accordo giudicamente non vincolante di massima, quindi nei dettagli su alcune
82100	87320	cose bisogna ancora andare, quindi c'è ancora diciamo così da battersi e all'esito di questo
87320	92740	lavoro bisognerà anche a livello nazionale, a livello europeo, lavorare per aiutare quei
92740	99900	settori che dovessero essere particolarmente coinvolti da questa decisione e quindi è
99900	103860	il lavoro che faremo ovviamente nelle prossime ore anche parlando con le nostre associazioni
103860	110380	degli imprenditori, con il nostro mondo industriale, non ho avuto ancora modo perché sono qui
112780	119400	L'Italia e l'Europa adesso devono sedersi, ovviamente devono, ripeto, valutare, lavorare
119400	125600	per definire tutti i dettagli, continuare a lavorare per ottenere un accordo che sia
125600	130780	il migliore possibile, dopodiché sedersi e interrocarsi su come si faccia a sostenere
130780	135120	eventuali settori che dovessero essere particolarmente colpiti. Questo a livello nazionale credo che
135120	139980	anche il livello europeo sia importante, non tanto non solo in termini di aiuti verso quei
140660	144700	settori che possono avere maggiori difficoltà, ma anche rispetto a quello che noi possiamo
144700	149320	fare per noi stessi, ripeto, il tema delle semplificazioni, il tema del mercato unico,
149400	153720	insomma c'è tutto un lavoro su cui l'Unione Europea non può più perdere tempo, bisogna
154680	162380	accelerare e diciamo così cercare di compensare quelli che possono essere i possibili limiti,
162480	165360	ma questo è tutto quello che vi posso dire finché non ho tutti i dettagli, grazie.
