start	end	text
5960	18360	Presidente, vogliamo chiedere la situazione, l'intervento italiano, se c'è una mediazione
18360	20340	in corso, qual è la situazione?
21260	25980	Dunque guardi, intanto chiaramente la mia condanna di quello che è accaduto stanotte
25980	34200	è totale e ovviamente stiamo facendo le nostre indagini per avere certezze sulle responsabilità,
34300	42320	dopodiché come avete visto ministro Crozetto ha autorizzato Navefasana ad avvicinarsi per
42320	47560	chiaramente garantire se fosse necessario soccorso, assistenza alle persone che dovessero
47560	56280	essere in pericolo, anche se non è previsto l'uso della forza militare, dopodiché però
57720	62460	io voglio ribadire quello che penso di questa vicenda, perché tutto questo è gratuito,
64260	70820	pericoloso, irresponsabile, non c'è bisogno di rischiare la propria incolomità, non c'è
70820	76260	bisogno di infilarsi in un teatro di guerra per consegnare degli aiuti a Gaza, che il governo
76260	83180	italiano e le autorità preposte avrebbero potuto consegnare in poche ore, quindi penso
83180	89280	anche che vada fatto un richiamo a tutti alla responsabilità, particolarmente quando si
89280	93400	tratta di parlamentari della Repubblica Italiana, perché ricordo che i parlamentari della Repubblica
93400	97960	Italiana sono pagati per lavorare nelle istituzioni, non per costringere le istituzioni a lavorare
97960	104160	per loro, allora se il tema è gli aiuti, gli aiuti si possono consegnare in sicurezza,
104160	109200	abbiamo dato tutta la nostra disponibilità perché gli aiuti si potessero consegnare in
109200	115120	sicurezza, dopodiché il governo israeliano ha fatto una proposta, se il tema sono gli
115120	121160	aiuti, di consegnare gli aiuti al porto di Ashkelon, la risposta è stata negativa. Adesso
121160	126700	ministro Tajani, che è qui se volete eventualmente altri approfondimenti, sta lavorando a un'altra
126700	134180	proposta di mediazione, che è consegnare questi aiuti a Cipro, al patriarcato latino
134180	139780	di Gerusalemme, che si assume la responsabilità di consegnarli, è una proposta sulla quale
139780	145580	mi pare ci sia il consenso del governo cipriota, del governo israeliano, ovviamente del governo
145580	151180	italiano, stiamo aspettando una risposta dalla flottiglia e io qui davvero faccio un appello
151180	158280	alla responsabilità di tutti signori, perché non si può rischiare l'incolumità delle persone
158280	164000	per fare iniziative che diciamoci la verità sembrano prevalentemente fatte non per consegnare
164000	169360	gli aiuti ma per creare problemi al governo, perché qual è l'alternativa se non si accetta
169360	174020	questa proposta? Forzare il blocco navale di Israele? E poi che cosa dovrebbe fare il
174020	178420	governo italiano? Mandare le navi della marina militare e dichiarare guerra a Israele? Mi
178420	183640	pare che si stia un po' esagerando quindi faccio appello alla responsabilità di tutti
183640	190160	anche le forze politiche, a noi loro parlamentari, adesso bisogna difendere l'incolumità delle
190160	196320	persone e bisogna aiutare le istituzioni della repubblica italiana a trovare delle soluzioni
196320	203080	che stiamo trovando sulle quali abbiamo una disponibilità perché non si corrano altri
