start	end	text
0	5760	Radio Radical, abbiamo qui con noi Lamberto Dini, già Presidente del Consiglio e già Ministro del Tesoro.
5960	12780	Presidente Dini, la vittoria di Macron in Francia, può davvero stabilizzare il nostro continente, l'Unione Europea o no?
13980	22340	Io credo che sia veramente l'ultima speranza di poter salvare l'Unione Europea e l'Euro,
22340	31340	poiché la sconfitta delle penne, quindi delle forze populiste antisisteme, è stata molto grande.
32800	40340	Bisogna però che Macron riesca, sia sul piano interno, di raddrizzare l'economia...
40900	43560	Quindi riforme, dici lei, il mercato del lavoro?
43760	51340	Sì, e dare anche però soddisfazione ai cittadini, ai lavoratori in qualche modo, quindi l'agenda interna...
51680	55800	Quindi il mercato del lavoro con un tempo di ammortizzatori sociali come il minimo?
55840	64680	Per esempio. E poi, naturalmente, convincere la Merkel che dei cambiamenti nella gestione dell'Euro sono indispensabili.
65780	75880	Altrimenti, se fallisce Macron, fallisce l'Euro e fallisce anche la Germania, la Germania che ritiene che l'Europa sia imprescindibile
75880	80880	e quindi che non si possa pensare neppure alla Germania senza l'Europa.
81780	86900	E come se Macron farà davvero alcune riforme economiche interne, si presenta, diciamo, con le credenziali giuste,
87000	91180	essendo poi Presidente della Francia, che non è proprio una nazione di serebbi con la Germania.
91520	99140	Esattamente, tutti sanno che senza la presenza di Germania in Francia non c'è Unione Europea.
99200	102720	E che cosa dice? Mendo fare delle previsioni, avrà successo o no?
102720	109220	È abbastanza ottimista, se si pensa a come è venuto fuori e come ha vinto.
109740	112760	Lei lo conosce? No, mai incontrato.
113320	118920	Però ha avuto voti trasversali, perché è così che oggi si vincono le elezioni.
120040	125220	Quindi l'appartenenza a partito, della destra o della sinistra, non è più sufficiente.
125460	129660	Il Macron italiano, visto che c'è questo sport nazionale, non faceva quel sorrisetto.
130980	134660	Il Marcon italiano non c'è, perché... Non è Matteo Renzi.
135260	136760	Come? Non è Matteo Renzi.
136920	142660	No, assolutamente, sarebbe stato eventualmente Mario Monti,
143960	150940	se avesse avuto maggior successo nell'azione di governo e quindi anche poi nella politica.
151440	152780	Ecco, a questo punto lei che cosa pensa?
153040	155840	Perché, insomma, la Francia potrebbe rimettersi in carreggiare,
155840	159100	per avere un nuovamente un rapporto forte con la Germania.
159100	163220	La Spagna, peraltro, in qualche modo si sta rimettendo in carreggiata,
163240	167940	lo stesso forse il Bergio e il Portugal e sicuramente l'Irlanda.
168060	173300	E va a finire che poi viene fuori che il Paese preoccupante per l'Unione Europea, per l'Euro, è l'Italia?
173920	180520	Assolutamente lo è, perché siamo seduti su una bomba d'orangeria che è il livello del debito pubblico,
180520	185940	che anche gli ultimi governi non hanno fatto politiche capaci di ridurlo.
186220	195380	E quindi oggi l'anello debole, dopo questo inevitabile, mi sembra, rinsaldamento delle relazioni fra Francia e Inghilterra,
195400	200460	fra Francia e Germania, e quindi l'anello debole rimane l'Italia.
200460	202480	E cosa dobbiamo fare in Italia a questo punto, secondo lei?
202540	207520	Andare su per le elezioni anticipate, fare una agenda di governo, una manovra di bilancio forte e seria?
207520	214020	Assolutamente dobbiamo fare una manovra di bilancio forte e seria, fatta fare dal governo uscente,
214260	219640	che è il governo Berlusconi, il governo Gentiloni, che si prenderà tutte le responsabilità,
220060	228720	ma che dà veramente una bella sterzata, in particolare a quelle che erano state le politiche, i bonus del governo Renzi.
228760	236880	E ma è credibile che il governo Gentiloni possa fare una manovra del genere avendosi dietro la segreteria Renzi del PD?
236880	245540	Bisogna che Renzi la smetta di cercare di governare da essere segretario del partito e dettare l'agenda a tutti,
245780	256420	compresa a Gentiloni, a Calenda e a Padovan, che hanno le responsabilità di fare qualcosa di serio
256420	266020	per arrivare alle elezioni del 2018 con una situazione un po' risanata e che ridi a fiducia.
266020	277020	Quindi bisogna in particolare lavorare a favore di una riduzione del costo del lavoro e quindi per dar facilitare gli investimenti e l'occupazione.
277780	285740	Ultimissima cosa Presidente Dini, che idea si è fatta dell'affare Bosch, Fair Bosch, Petruria, Unicredit, mi scusi, insomma la sintesi?
285740	299060	Io sono molto sorpreso di questo, perché in effetti Arianna Boschi non era ministro in carica di questioni bancari o di questioni economiche
299060	305540	e quindi che abbia potuto prendere questa iniziativa è veramente sorprendente.
305540	318260	Però è difficile che un giornalista del calibro dell'autorevolezza della serietà di De Bortoli abbia scritto qualcosa che non risponda a verità.
