start	end	text
9480	16540	Grazie, grazie davvero all'ambasciatore Fertitta per l'invito, thank you very much Tillman,
16580	24340	thank you for hosting us, thank you for the kind words you had for every one of us, maybe
24340	29980	we didn't deserve them, but one thing I will tell you is that we are grateful too to the
29980	36000	President of the United States Donald Trump for appointing you as ambassador, American ambassador
36000	43560	to Italy. E ovviamente voglio ringraziare l'ambasciatore Fertitta appunto per questa
43560	50940	accoglienza ma anche per il rapporto straordinario che abbiamo costruito fin dall'inizio. Tillman
50940	58560	Fertitta è un amico dell'Italia, non solo un amico dell'Italia avendo come altri milioni di
59740	65920	americani origini italiane e penso davvero che insieme si possa fare un lavoro molto
65920	71420	importante per entrambe le nostre nazioni e sono contenta, sono onorata di essere qui
71420	77800	stasera a festeggiare insieme all'ambasciatore Fertitta e a tutti voi il giorno dell'indipendenza.
78860	88520	Confesso che ho sempre guardato con un pizzico di ammirazione al modo con il quale il popolo
88520	94640	dell'adozione della dichiarazione di indipendenza, cioè l'atto di nascita degli Stati Uniti.
95340	102960	Per il popolo americano il 4 luglio è qualcosa di più di una semplice festa nazionale che
102960	112300	pure è importante, è qualcosa che ogni cittadino degli Stati Uniti porta nel cuore ogni giorno
112300	117840	riassume l'identità stessa della nazione americana, i valori di uguaglianza, di libertà,
117840	124520	di democrazia che ne costituiscono il fondamento che la rendono forte, ma ogni 4 luglio gli
124520	129880	americani celebrano soprattutto quello che li tiene uniti e lo fanno con amore, lo fanno
129880	137440	con entusiasmo, sentimenti che animano una nazione, che fortificano un popolo, soprattutto
137440	144280	quando arrivano i momenti difficili. Molti di voi sanno che io sono molto affezionata
144280	150920	alla definizione che il filosofo francese Ernest Renan dava al concetto di nazione.
151220	158760	Diceva Ernest Renan che la nazione è una grande solidarietà costituita dal sentimento
158760	163780	dei sacrifici compiuti, ma ancora di più da quelli che si è ancora disposti a compiere
163780	169840	insieme e quindi presuppone certo un passato, ma si riassume nel presente attraverso un
170190	177750	che è il consenso, il desiderio chiaramente espresso di continuare a vivere insieme e
177750	184850	quindi l'esistenza di una nazione è un plebiscito che si rinnova ogni giorno. Il senso di appartenenza,
185570	191930	l'orgoglio di appartenere alla propria comunità, che si traduce soprattutto nella disponibilità
191930	199210	verso quella comunità, nel rifiuto, cioè di un approccio egoistico alla vita, è la precondizione
200610	206730	per antonomasia in qualsiasi nazione che voglia crescere e prosperare. Il popolo americano
206730	211290	sente e celebra questo senso di appartenenza, lo fa particolarmente il 4 luglio, non lo fa
211290	216690	come vuota celebrazione, ma come se in quel giorno si rinnovasse una dichiarazione d'amore
216810	223890	verso la propria nazione. E mi piace pensare che sia quello che accade il 17 marzo per
223890	230610	gli italiani, quando il popolo italiano celebra il percorso che ha forgiato l'Italia attraverso
230610	234890	la grande epopea risorgimentale che l'ha resa una nazione libera, sovrana e indipendente,
235310	241910	i valori che ci uniscono, i simboli che incarnano quei valori, la Costituzione, l'Inno, la Bandiera.
242950	251650	Quindi sono contenta di celebrare questa giornata con voi, ma sono ovviamente qui anche per ribadire
251650	259250	la forza, la solidità dei rapporti tra Italia e Stati Uniti. Sono nazioni sorelle unite
259790	264610	da una relazione privilegiata che si alimenta giorno dopo giorno e che chiaramente deve
265290	272330	moltissimo agli oltre 20 milioni di italo-americani che hanno contribuito per generazioni alla
272330	277590	prosperità degli Stati Uniti. Con il Presidente Trump, quando ci siamo visti alla Casa Bianca,
277730	282430	ma anche nelle altre occasioni di confronto che abbiamo avuto in questi mesi, siamo sempre
282430	291370	partiti ricordando questo legame straordinario, unico. Non lo abbiamo considerato che un punto
291370	297270	di partenza per ragionare di come rafforzare le nostre relazioni, rendere quel legame ancora
297270	304890	più forte. Chiaramente non intendo tediarvi sulla mole, diciamo, degli ambiti sui quali
304890	310250	abbiamo lavorato, lavoriamo e lavoreremo ancora meglio con l'amministrazione americana,
310790	316710	ma ci tengo a ribadire una cosa che io considero importante. Oggi Italia e Stati Uniti su tanti
318060	325260	questioni parlano la stessa lingua ed è un elemento molto positivo, soprattutto nel
325260	330260	complesso quadro internazionale che stiamo affrontando. È un bene certo per i nostri
330260	335840	rapporti che possono crescere e prosperare ancora, ma è un bene anche per la forza,
335940	342560	l'unità e la compattezza dell'Occidente, perché la compattezza dell'Occidente è una condizione
343380	350900	imprescindibile per affrontare tutte le grandi sfide del nostro tempo. Lo è anche, o lo
350900	356600	è forse a maggior ragione, quando il nostro punto di vista dovesse non essere perfettamente
356600	362240	coincidente, perché noi siamo alleate storici e i nostri legami si fondano sulla lealtà,
362420	371260	sul rispetto reciproco, sulla voglia, la consapevolezza che la forza di uno è anche automaticamente
371260	378060	la forza dell'altro. Come ha detto il Presidente Ronald Reagan nel corso della sua visita in Italia
378060	384860	nel 1982, parafrasando dei versi che erano di Cicerone,
401380	407080	sono e saranno amici. God bless America, viva l'Italia!
