start	end	text
0	3860	Buon pomeriggio a tutti, grazie al Presidente Mutti per l'invito. Mi spiace
3860	8080	ovviamente molto di non essere riuscita a essere con voi oggi a Milano per
8080	13180	partecipare in presenza all'assemblea 2025 di Centromarca, però ci tenevo
13180	16920	comunque a inviare il saluto e il contributo del Governo ai vostri lavori.
17060	20460	Voglio prima di tutto ringraziare tutti gli associati, le imprese presenti per
20460	24920	l'impegno e per la passione che da 60 anni a questa parte contraddistinguono
24920	28860	il lavoro dell'industria di Marca in Italia e per il contributo che il
28860	33260	Parto ovviamente assicura alla nostra economia e alla solidità del nostro
33260	37420	sistema produttivo. Voi siete una componente chiave dell'industria
37420	41560	nazionale, assicurate un contributo significativo in termini occupazionali e
41560	45220	quello che fate quotidianamente è sinonimo di qualità, di affidabilità, di
45220	49760	identità italiana, non solo a livello nazionale ma chiaramente anche all'estero.
49860	54980	La Marca non è solo un simbolo commerciale, ma è soprattutto uno
54980	58800	strumento che crea valore aggiunto e che contribuisce a consolidare il fascino
58800	63500	del Made in Italy, rafforzando quelle filiere produttive fatte in gran parte da
63500	67440	piccola e media impresa e garantendo anche ai prodotti tipici di eccellenza
67440	72920	dei territori la vetrina che meritano. La filiera del largo consumo è un settore
72920	77240	strategico che ha nel suo DNA l'attenzione per la persona e l'attenzione
77240	81300	per il benessere della società. Il Governo ha ovviamente potuto contare
81300	84940	sulla vostra collaborazione per aiutare le famiglie italiane ad affrontare il
84940	90100	prezzo, difendere il loro potere d'acquisto in tempi di alta inflazione.
90440	94560	Chiaramente mi riferisco all'iniziativa del carrello tricolore che ha visto tutti
94560	97220	gli attori delle filiere dell'agroalimentare e dei beni di largo
97220	102000	consumo ritrovarsi uniti per sostenere i consumatori in un momento che era molto
102000	106340	complesso. Iniziativa che ci ha ricordato qualcosa di straordinario che va al di
106340	109500	là degli indicatori economici e cioè che noi facciamo parte di una grande
109500	114240	comunità che non lascia indietro nessuno e che sa occuparsi di difendere i
114240	117800	più fragili. Spirito che si ritrova anche in altri interventi che abbiamo
117800	122140	portato avanti insieme come ad esempio la carta dedicata a te, una misura che vale
122140	126300	500 milioni di euro per l'acquisto di generi alimentari di prima necessità e
126300	130620	che è stata rafforzata dall'impegno della grande distribuzione organizzata a
130620	135280	offrire ai titolari della carta una ulteriore scontistica del 15%. Però mi
135280	139660	piace ricordare anche il lavoro che ci riunisce, che ci unisce per garantire
139660	144220	massima trasparenza nei confronti dei cittadini anche attraverso l'obbligo di
144220	147280	indicazione in etichetta dell'origine della materia prima per i prodotti
147280	154040	simbolo del Made in Italy, tanti tasselli di un'azione comune che contribuisce a
154040	158340	fondare il nostro tessuto produttivo sul profitto ma anche e soprattutto sulla
158340	163300	capacità di creare valore sociale, di essere attenti ai bisogni
163300	166880	delle famiglie e dei lavoratori, di valorizzare il capitale umano, di portare
166880	170880	ricchezza nei territori dove opera, di guardare allo sviluppo della nazione a
171480	176320	E' un tesoro di cui dobbiamo essere consapevoli, di cui dobbiamo essere
176320	181040	orgogliosi, che dobbiamo essere in grado di accrescere e di valorizzare perché
181040	185500	solo se ci teniamo, diciamo così, per mano, solo se remiamo tutti nella stessa
185500	189180	direzione possiamo difendere il bene comune e costruire un'Italia più coesa,
189240	194800	più forte, più giusta. Noi ci siamo e siamo convinti che anche voi sarete
194800	198160	sempre al nostro fianco e quindi grazie ancora a tutti, buon assemblé.
