start	end	text
0	3680	grazie a tutti. Dunque, buongiorno a
3680	11000	tutti, ovviamente grazie ad Antonio, al quale voglio
11000	18380	è bello della diretta. Dicevo grazie
18380	22260	ovviamente Antonio al quale voglio rinnovare il mio in
22260	26380	bocca all'uvo per questa insomma avventura e grazie
26380	29240	ovviamente a Lorenzo per questo invito grazie a tutti voi. Ci
29940	30420	tenevo
33200	37160	ci tenevo a essere qui seppure insomma un po' fatto impazzire
37160	41460	l'organizzazione con gli orari seppure insomma per un breve
41460	48420	saluto perché pochi più di me sono consapevoli di quanto sia
48420	51440	importante per una forza politica celebrare momenti
51440	53700	come quello che voi state celebrando in questi due giorni.
53700	57540	Una festa nazionale, un congresso, un'assemblea
58440	65180	programmatica, non sono diciamo così riti del passato, no? Una
65180	69940	specie di anticalia da gettare al macero in un tempo dominato
69940	75420	dalla realtà virtuale ma sono al contrario un bene da
75420	82860	proteggere con dedizione sono le occasioni che rendono un
86720	92340	po' più profondo capace di interrogarci quanto basta per
92340	96160	saper rispondere a problemi complessi. Noi viviamo in un
96160	99200	tempo nel quale vorrebbero convincerci che tutto questo
99200	103720	dovrebbe essere rottamato, che in fondo non serve, che la
103720	106820	partecipazione e la vita democratica di un partito
106820	112720	possono essere esauriti, possono essere sostituiti con un più
112720	112840	semplice modo di rispondere a problemi complessi.
112860	116580	E' un semplice voto online con una diretta streaming però
116580	120120	chi crede davvero nella democrazia, chi crede nel valore
120120	124240	della politica sa che niente potrà mai sostituire il
124240	128620	confronto tra le persone in carne e ossa, il guardarsi negli
128620	132520	occhi, l'emozione di sentirsi parte di qualcosa più grande, di
132520	135720	sentirsi parte di una comunità che si batte con te per i
135720	140300	stessi valori nei quali credi tu e allora voglio ringraziarvi
140300	146720	per questa due giorni che ancora racconta che i partiti
146720	150320	sono reali e ci tenevo a essere qui ovviamente anche per
150320	155080	ringraziare l'UDC del lavoro serio, propositivo che porta
155080	159260	avanti ogni giorno in Parlamento e fuori, sui territori, su
