start	end	text
0	4660	individuali prima che di comportamenti collettivi e soprattutto una politica
4660	9420	che dedica un po' meno tempo al parlare e finalmente un po' più di tempo al fare.
20100	25220	Grazie Dario, dunque adesso vi dico come pensiamo di procedere, facciamo fare
25220	29900	ancora tre interventi prima del frugale pasto che spero non ci faccia
29900	34940	vergognare dell'Italia, ma questo ve la prenderete con taormina in questo caso.
36280	40600	I tre interventi sono Renzi, Tocci e Monari. Il pomeriggio ripieghiamo
40600	45180	puntualmente all'ore 15, come sapete il pomeriggio sarà sicuramente il momento
45180	49300	in cui potremo far parlare più gente. Il pomeriggio sarà dedicato ovviamente in
49300	53400	maniera privilegiata a discutere poi anche proprio dei temi, degli argomenti,
53620	57540	dei contenuti. La relazione iniziale sarà quella di Bonomi che per l'appunto ci
57710	62690	offrirà uno sguardo sui talenti del nostro Paese e di questo parleremo anche
62690	68470	con tanti amici che appartengono a varie categorie. Matteo Renzi per chi non lo
69050	71930	conoscesse, ma credo anche lui sia abbastanza noto a coloro che hanno
71930	74930	frequentato questi appuntamenti, è il presidente della provincia di Firenze, ha
74930	80830	una certa età ma insomma non lo dimostra. Diciamo che è stato eletto come il
80830	86530	presidente di provincia più giovane d'Italia e questo gli merita anche un
86530	91030	complemento di applauso, di attenzione e di amicizie.
91130	94610	Spero di non essere anche il meno capace. Poi sono un po' nella parte dell'amante
94610	99710	tradito da Hermete, non per una qualche affinità con i Dico, ma perché per la
99710	104010	prima volta lascia Firenze, la provincia di Firenze, dopo l'Impruneta e Fiesole
104010	108610	viene in questo straordinario posto di Sant'Arcangelo, dove peraltro è molto
108610	113870	bello essere e per tre sms, uno sulla parola cercasi, uno sulla parola Italia
113870	118370	e una sulla parola disperatamente. Io credo che il titolo, al di là dei
120210	123930	riferimenti filmografici degli anni 80, è molto stimolante. La prima
123930	129710	considerazione è la parola ricerca. Io credo che oggi forse il compito
129710	133230	fondamentale del partito democratico dovrebbe essere quello di porsi in una
133230	139650	condizione di ricerca. Mi ha colpito un fatto, l'unico dibattito aperto tra
139650	143150	candidati, credo che Veltrone abbia fatto bene a evitare a tenere un taglio basso,
143150	147530	ma l'unico dibattito aperto sui candidati è stato sugli anni 80, cioè
147530	152530	ricoletta posto il problema degli anni 80 e la Rosi Bindi è intervenuta con una
152530	159010	qualche asprezza in attesa, diciamo, su questo aspetto.
159450	163590	A me piacerebbe un partito democratico che fosse in grado di non stare a
163590	167810	discutere sugli anni 80, se erano gli anni della Rinascita, erano gli anni del
167810	173130	declino, ma di come noi vogliamo immaginare gli anni del futuro e da
173130	176210	se giocassimo finalmente all'attacco, a mio giudizio troveremo delle cose
176750	181090	straordinarie. Ci stiamo facendo attaccare sulla politica quando, vedete
181090	184570	quello che sta accadendo sull'università italiana in questi momenti,
184690	188210	aprendo un qualsiasi giornale, una vergogna, chiamiamola con il proprio nome,
188690	193610	ci stiamo facendo dire che il problema di questo Paese è la politica quando la
193610	197030	crisi del sindacato e di rappresentatività del sindacato,
197410	200630	vi schiacco tanto tanto via Presidente Marini per cui non si arrabbierà e comunque penso
200630	206070	che lo pensi anche lui, è arrivata un punto tale talmente imbarazzante da
206070	211830	essere in qualche misura un ostacolo, un conservatorismo di sinistra.
212830	216090	Stiamo in ritardo sul tema infrastrutturale. Presidente siamo arrivati
216090	219470	dal Muraglione stamattina, che è la strada che collega Firenze a Forlì,
219650	223750	i Lorena ci hanno messo tre anni a fare il passo del Muraglione, sono 70-80
223750	227670	chilometri. Noi siamo su un ritardo infrastrutturale devastante e non siamo
227670	231250	nelle condizioni di poter dire che la parola ricerca per noi deve essere
231250	236210	capacità di affrontare i temi del futuro. Ecco, io credo che questo debba essere il
236210	240930	cercasi, non un andare con l'anterrino a cercare chissà cosa, ma mettersi noi in
240930	245710	una condizione di ricerca e in questo un SMS davvero al volo rispetto alla
245710	249750	questione dei cattolici democratici. Ha detto una cosa molto bella Marinetto, non
250250	254990	preoccupatevi, non entriremo come ex-DS, ex-PP, io credo che sia una cosa o
