start	end	text
0	6680	Buongiorno a tutti, cari Santiago, cari amici di Vox, felicità per questa nuova edizione di Europa Viva,
6900	12580	una manifestazione piena di evasione per la politica dove si trovano uomini e donne valenti,
13060	16720	orgogliosi della loro storia e desideri di costruire un futuro migliore.
17020	24840	E parlando di storia e di un futuro migliore, voglio rendere un sentito o un messaggio a Charlie Kirk,
24840	31840	un giovane, un padre valente che pagò con la sua vita il prezzo della sua libertà.
32700	39260	Il suo sacrificio ci ricorda una volta di quale lato si trova la violenza e l'intoleranza.
39580	42840	E voglio dire alto e chiaro a tutti questi odiatori,
43860	48840	agli estremisti che vediamo nelle strade e anche a questi falsi maestri
50980	54260	che si escondono nei saloni.
54860	64220	Non si tratteremo, non giocheremo il gioco di chi vuole arrastare la nostra nazione a una spirale di violenza.
65040	69940	Ma voglio anche dirvi che non ci intimideremo,
70300	77460	che continueremo avanti e che batteremo senza resto per la libertà dei nostri paesi.
77460	82340	E anche il futuro dell'Europa necessita esattamente decisioni valenti
82340	86240	per affrontare gli enormi sfondamenti che abbiamo davanti.
87000	93460	La recente foto di Pekin ci insegna chiaramente la volontà di alcuni grandi attori della politica internazionale
94100	101540	di redisegnare l'Orden mondiale, usando il potere economico come fa la Cina o la guerra di aggressione come fa la Russia.
102980	108920	Non sembra che il Presidente Trump sia interessato nella pazienza.
108920	114680	Dobbiamo continuare a portare a Kiev tutta l'aiuta necessaria per raggiungere una pazienza giusta e durata,
114720	118540	così come una solida garantia di sicurezza per l'Ukraine e per l'Europa.
119340	124980	Per raggiungere questo risultato e essere a livello dei risultati del nostro tempo,
125240	128580	l'unità dell'Occidente è fondamentale.
128580	130740	Il mondo necessita l'Occidente.
131220	136580	E vi saluto tutti i patrioti presenti che combattono per la libertà in America Latina.
137620	139560	E l'Occidente necessita l'Europa.
139860	144960	Un'Europa capace di assumere completamente le sue responsabilità, anche in materia di difesa,
145320	149320	e di essere un attore influente in altri scenari di crisi.
149320	155580	Pienso, ovviamente, in Gaza e nella necessità di arrivare lì anche al cessare gli attacchi,
155780	160280	alla liberazione di tutti i regioni, ancora in mano di Hamas,
160400	166300	e alla costruzione di una prospettiva di pazza che riconosce il diritto dei palestini a avere un Stato suo
166300	170700	e a Israele a vivere sicuro, senza la menazza del terrorismo.
171160	174800	Ma per tornare a essere protagonista nel scenario globale,
174800	180220	l'Europa deve anche tornare a investire in la competitività delle sue imprese,
181040	188280	sfiseate dalla burocrasia, dell'ideologia ultra-ambientalista e dell'indipendenza strategica della Cina.
188640	192760	Archivare definitivamente l'epoca dell'Europa ideologica della Luce
192760	197220	significa anche combattere l'immigrazione irregolare senza traccia.
197580	202660	Abbiamo dimostrato che si può fare con idee chiare e tenacità.
202660	206660	In Italia abbiamo ridotto in un 60% i fluori di immigrati illegali
207600	213460	grazie a accordi con i terzi paesi, a norme più dure contro i traficanti di persone
213460	217040	e all'aumento del numero delle patriazioni irregolari.
217080	218660	E abbiamo portato questa linea all'Europa,
219520	224040	dove finalmente inizia a essere condivisa da molti governi nazionali.
224380	230600	Indipendentemente dalla Luce giudizialista che continua a costruire la nostra politica di fronte segure.
230600	234600	In Italia abbiamo dimostrato che la direzione non solo è capace di vincere elezioni,
235640	238600	ma che soprattutto può governare con grande efficacia.
239880	243400	Sono orgoglioso di presidere quello che sta a punto di convertirsi
243400	247600	nel terzo governo più durato della nostra storia repubblicana.
248240	253640	Junto ai nostri alliati, che in Europa formano pari di tre gruppi diversi, alternativi alla Luce,
254260	257380	abbiamo raggiunto il record assoluto di lavoro,
257380	259140	abbiamo riducito l'inflazione,
259560	262340	abbiamo raggiunto il record delle nostre exportazioni commerciali,
262480	265540	abbiamo aumentato la fiabilità dei nostri titoli di Stato,
265840	267760	abbiamo migliorato la sicurezza civile,
268160	269640	abbiamo iniziato la riforma fiscale,
270260	271720	abbiamo supportato la famiglia e la natalità,
271880	272820	e molto più.
273020	278460	E soprattutto, abbiamo incrementato il peso di Italia a livello europeo e internazionale.
278580	282280	Da il primo giorno, il governo italiano che ho l'onore di dirigere
282280	286720	ha battuto per un'Europa che non intende decidere per tutto,
287520	293120	ma che sia pragmatica e realista per difendere i nostri produttori e i cittadini.
293320	295100	Per costruire questa Europa,
295740	298200	abbiamo bisogno di un numero cada vez maggiore di governi
298200	303900	dove i conservatori e tutte le forze alternative alla Luce siano i protagonisti,
304080	306800	per offrire agli elettori una scelta elezione.
306800	310800	Ora non è tempo di accordi antinaturali,
311820	313300	di mediazioni alla bassa,
313560	315500	ora è tempo di lavorare insieme.
315700	319660	Questo assicura che in questo cammino ci troveremo lontano a lontano.
319980	321980	Grazie amici per il vostro affetto,
322360	324020	grazie Santiago per la vostra amistà,
324220	325120	viva Spagna,
325760	326560	viva Italia,
327560	330060	viva l'Europa dei popoli della libertà!
