start	end	text
0	8020	La Commissione oggi ha dettato il quadro giuridico per l'introduzione dell'Eurodigitale.
9360	20300	Il messaggio è semplice, non possiamo immaginare in un futuro digitale la moneta dominata soltanto
20300	31040	da privati, da criptovalute e l'assenza di un ruolo per gli Stati, per la sovranità monetaria.
31420	38960	E quindi anche in un mondo completamente diverso come il mondo digitale abbiamo bisogno di una
38960	47440	moneta basata sulla sovranità e sulle banche centrali. Questo sarà l'Eurodigitale quando
47440	54180	nascerà, intanto si avvia una discussione in Parlamento con i vari Stati membri e nel
54180	62280	frattempo confermiamo l'importanza del contante, perché nessuno deve avere l'idea che l'introduzione
62280	68360	di un Eurodigitale comporti la cancellazione del contante. Noi possiamo limitare il contante
68360	77300	per evitare frodi e utilizzi di riciclaggio, utilizzi criminali, ma un conto è mettere dei
77300	85160	limiti alla quantità, un conto è immaginare di ridurre l'uso del contante e quindi oggi diamo
85160	92880	anche questo secondo messaggio, rafforziamo l'uso del contante in Euro. Comissario, i commercianti,
92880	100500	i tassisti, le imprese saranno obbligati ad accettare l'Eurodigitale? Questa che in gergo
103760	111600	chiamiamo la condizione legale che riguarda oggi il contante, riguarderà anche l'Eurodigitale,
112660	122860	quindi ci sarà come c'è oggi per l'Euro in contanti anche per l'Eurodigitale un obbligo
122860	131540	salvo eccezioni di utilizzo e questa è una garanzia per tutti, perché ripeto non credo
131540	139400	che nessuno voglia vivere in un mondo in cui la moneta è appannaggio di privati o di valute più
139400	147880	o meno affidabili e più o meno segrete che hanno dimostrato tra l'altro negli ultimi anni di essere
147880	154580	anche molto pericolose per gli risparmiatori e di essere uno strumento anche per organizzazioni
154580	163280	fraudolente talvolta criminali. In un paese dove il post, per esempio, sponta delle resistenze
163280	170640	diciamo anche popolari, quanto sarà difficile convincere la condizione dell'efficienza dell'Eurodigitale?
171440	177920	Io penso che l'Italia ha fatto molti passi in avanti, sia nella fatturazione elettronica,
179060	188240	nell'uso dei pagamenti digitali negli ultimi anni, anche in ruoli diversi me ne sono occupato e mi
188240	195460	sono impegnato molto da questo punto di vista. Abbiamo giustamente messo dei limiti alla quantità
195460	201180	di contanti che si possono usare, penso che il nostro paese sia un paese in evoluzione verso i
201180	209060	pagamenti digitali, anche in Italia deve essere chiaro che si continua a utilizzare comunque il
209060	216060	contante ma deve essere anche chiaro che in un mondo digitale serve una moneta ancorata allo
216060	222820	Stato, alla sovranità e alle banche centrali. Commissario, questa mattina il presidente dell'Eurogruppo
222820	226700	ha scritto una lettera al Presidente del Consiglio europeo in vista del vertice i domani,
227420	233680	sottolineando quanto importante la ratifica da parte dell'Italia del MES. Al contempo la Presidente
233680	239540	del Consiglio, Giorgia Meloni, ha detto che non intende ratificare subito perché vuole
239540	251240	legarla alla riforma del patto di stabilità nella logica del pacchetto. Cosa ne pensa? Io
251240	260320	le istituzioni europee a cominciare dall'Eurogruppo spingono perché l'accordo che è stato raggiunto
260320	266140	due anni fa tra tutti i paesi all'unanimità venga ratificato da tutti i parlamenti, incluso
266140	273620	il Parlamento italiano che non l'ha ancora fatto e al tempo stesso sono tutti consapevoli che
273620	279300	questa decisione comunque spetta alle autorità italiane e al Parlamento italiano. Voglio solo
280040	286560	raggiungere una cosa molto semplice, cioè che è legittimo discutere su quale può essere la
286560	294540	funzione del meccanismo europeo di stabilità nei prossimi anni, se può essere utilizzata questo
294540	301260	meccanismo in diverse direzioni, ma qui abbiamo già un ulteriore utilizzo che è quello di fornire
301260	307980	un paracadute aggiuntivo in caso di crisi bancarie e quindi penso che discutere di
