start	end	text
0	3920	Seguo costantemente con i ministri competenti degli sviluppi della crisi in
3920	7720	Medio Oriente. Il governo è al lavoro senza sosta per tutelare la sicurezza
7720	11340	dei nostri cittadini, per tutelare gli interessi dell'Italia. In queste ore
11340	16220	abbiamo promosso un confronto stretto tra Italia, Francia, Germania, Regno Unito,
16460	19620	avviando un coordinamento tra quattro grandi Stati Europei per affrontare
19620	24020	insieme questa crisi e per rafforzare l'azione diplomatica. Con il presidente
24020	28480	Francese Macron, il cancelliere tedesco Mertz, il primo ministro britannico
28480	31420	e il presidente dello Starmere abbiamo condiviso la necessità di lavorare
31420	35960	insieme per evitare il più possibile un ulteriore escalation e contribuire alla
35960	39320	stabilità internazionale. Per garantire la sicurezza dei confini
39320	42280	dell'Unione Europea abbiamo anche disposto il dispiegamento di una
42280	47220	fregata italiana a Cipro, un atto che è di solidarietà europea ma soprattutto di
47220	51880	prevenzione. Ma la nostra linea è molto chiara, l'Italia non è parte del conflitto
51880	54500	e non intende diventare parte del conflitto.
54640	58300	Noi lavoriamo per quanto possibile all'obiettivo di ridurre le tensioni e
58300	62160	verificare se vi sia ancora una possibilità di riprendere negoziati.
62580	66220	Intanto continuiamo a dialogare con tutti i paesi della regione e ad
66220	69720	assistere i nostri connazionali ancora presenti nell'area, ma siamo anche al
69720	73780	lavoro per mitigare il più possibile le conseguenze del conflitto per i
73780	77560	cittadini, per la nostra nazione, con task force attivate per monitorare
77560	82000	l'andamento dei prezzi dell'energia, della benzina, dei generi alimentari e per
82000	85400	combattere la speculazione. In particolare sulla benzina stiamo
85400	88480	valutando anche di attivare il meccanismo delle cosiddette accese
88480	92060	mobili che questo governo ha reso più efficace con il provvedimento sui
92060	96500	carburanti del 2023 nel caso in cui i prezzi aumentassero in modo stabile.
96820	101460	Il meccanismo la cui attivazione viene anche chiesta da parte di alcuni
101460	106340	partiti dell'opposizione consente di utilizzare la parte di maggiore IVA che
106340	110800	arriva dall'aumento dei prezzi per ridurre le accese. È lo strumento della
110800	115080	sterilizzazione che avevamo scritto nel programma di governo del centrodestra e
115080	119040	la sua attivazione è già allo studio da qualche giorno da parte del ministero
119040	123520	dell'economia. Insomma è certamente una fase difficile, però il governo è
123520	127040	impegnato, impegnato a proteggere la sicurezza dell'Italia, impegnato a
127040	130360	proteggere la sicurezza dei suoi cittadini, impegnato a sostenere ogni
130360	132160	iniziativa a volta alla ricerca della pace.
