start	end	text
540	4380	Sul caro Energia sono preoccupata, sull'andamento dell'economia in generale
4380	11540	sono preoccupata, molto preoccupata se non si riesce a riprendere e mandare avanti
11540	15460	il round dei negoziati, se non si riesce a riaprire lo stretto di Hormuz, ma come
15460	19880	lei ha visto dall'inizio della crisi noi siamo stati tempestivi nel dare le
19880	24420	risposte e continueremo a essere tempestivi nel dare le risposte. Per fare
24420	29260	questo c'è bisogno certamente di un impegno del governo italiano, c'è bisogno
29260	32820	dell'Europa, c'è bisogno che l'Europa non arrivi troppo tardi, c'è bisogno che
32820	39360	l'Europa abbia coraggio, c'è bisogno che l'Europa ridiscuta il Cibam per parlare
39360	44540	di un settore come questo, che discuta la sospensione degli ETS e che prenda
44540	50320	in considerazione l'ipotesi di una escape clause, cioè di una sospensione
50320	52860	generalizzata delle regole del patto di stabilità.
55100	59100	Ho sentito alcuni esponenti europei dire troppo presto, quando ci si muove
59100	62880	troppo tardi su queste questioni, si rischia di avere un impatto che non è lo
62880	67940	stesso che si avrebbe se ci si muovesse immediatamente, quindi dovremmo, penso che
67940	73280	dovremmo cercare di ragionare non semplicemente di gestione di una crisi,
73420	76440	ma di prevenzione di una crisi, che è quello che sta chiedendo il governo
76440	80620	italiano insieme, tra l'altro, ad altri partner anche europei.
