start	end	text
12480	17860	Dunque buongiorno a tutti, grazie di essere qui, grazie della vostra presenza, ovviamente
18700	24060	ringrazio chi mi ha preceduto, ringrazio il presidente Acquaroli anche per le belle parole
25520	32120	che ha detto, ringrazio il sindaco Feliciotti, il commissario Soccodato, l'amministratore
32120	38360	delegato di Anas Gemme, ringrazio le tante autorità, i tanti sindaci che vedo qui, ringrazio
38360	42460	il presidente Pecoraro, il commissario Castelli, l'assessore Baldelli, il presidente Parcaroli,
43060	49520	prefetto Signer, credo che anche questa presenza istituzionale racconti qualcosa di questa
49520	54940	giornata. Diceva il presidente Acquaroli che questa è una giornata storica per le Marche,
56040	62740	noi utilizziamo spesso il termine storico e confesso, in politica viene utilizzato spesso,
62940	69580	e confesso che delle volte forse è anche utilizzato a sproposto, non è questo il caso. Il caso della
69580	77160	giornata di oggi è il caso di una giornata storica, è il caso banalmente di una giornata
77160	81820	che può cambiare il destino di questo territorio, di questa regione del centro Italia nel suo
81820	90720	complesso, con un'infrastruttura che è fondamentale, che è sempre stata attesa da questo territorio.
91920	99080	E io confesso che quando il presidente Acquaroli per la prima volta mi ha parlato del progetto
99080	108320	della Piedmontana, mi ha mostrato le mappe, mi ha raccontato anche più nel dettaglio i problemi,
108420	113560	le carenze infrastrutturali di questa regione, che è sempre stata per me qualcosa di incredibile.
114160	119220	È incredibile che una regione che si trova esattamente al centro d'Italia abbia i problemi
119220	127080	di isolamento che le Marche hanno avuto per decenni, ma a questo si aggiunge anche un sistema
127080	134540	di viabilità, un sistema infrastrutturale che ha condizionato la vita delle imprese,
134640	140440	la vita dei lavoratori, la vita dei cittadini, il sistema viario regionale, questa regione
140440	147220	lo sapete meglio di me, no, costruito su quella sistema a pettine che parte dall'autostrada
147220	154620	A14 sulla costa adriatica, si sviluppa verso l'entroterre seguendo le direttrici delle
154620	161700	quattro superstrate che attraversano le Marche, ha caratterizzato moltissimo lo sviluppo di
161700	168900	questa regione, le sue potenzialità, cioè ha creato un sistema a compartimenti stagni,
169140	176800	un sistema nel quale c'era difficoltà tra le valli dell'entroterra marchigiano che
176800	184600	non riuscivano a dialogare come avrebbero potuto dal punto di vista economico, dal punto
184600	193240	di vista sanitario, perché non esisteva, non esiste un'infrastruttura dell'entroterra che
193240	201640	potesse collegarle longitudinalmente le une con le altre come invece fa l'adriatica per le città
201640	207280	che si trovano sulla costa marchigiana. Da questa necessità, da questa consapevolezza
207280	216540	nasce l'idea della pedemontana delle Marche, diceva il presidente Acquarooli che è stata
216540	223880	un'opera quasi visionaria, che non era facile convincere qualcuno a realizzarla. Guardate,
223960	227600	le cose di buon senso secondo me sono cose di buon senso, punto primo, punto secondo,
227880	233260	questa nazione deve capire che deve tornare a pensare in grande e quello di grande che va
233260	239620	fatto per consentire a questa nazione di tornare dove merita di stare, si cerca di fare del
239620	248920	proprio meglio per realizzarla. Quindi chiaramente parliamo di un progetto
248920	255980	estremamente strategico, del quale si è a lungo parlato, nel quale noi abbiamo creduto,
256120	260580	Regione Marche, Governo nazionale, abbiamo lavorato insieme per costruire una visione
261230	267550	comunitaria, anche con i sindaci, con i comuni, con le comunità territoriali, che chiaramente
267550	274010	bisogna continuare ad ascoltare. Ovviamente abbiamo lavorato per individuare le risorse
274010	278530	necessarie che non sono secondarie su un progetto di questo tipo e per avviare i cantieri, come
278530	283670	quello che prende il via oggi che segna l'avvio della realizzazione del tratto meridionale,
284790	290610	del tratto sud della pedemontana, cioè il tratto che in futuro collegherà da nord a sud le
290610	296490	province di Macerata, Fermo e Ascoli Piceno, con la possibilità anche di connettersi a
296490	301390	Teramo, quindi all'Abruzzo oltre che a Roma oltre che a Spoleto. Quindi capite quanto
301390	307890	l'infrastruttura metta al centro questo territorio. E gli obiettivi che noi vogliamo raggiungere
307890	312610	sono fondamentalmente due. Il primo è chiaramente continuare a lavorare per tirare fuori le
312610	317830	marche da un isolamento infrastrutturale che è totalmente insensato per la sua collocazione
317830	324470	geografica e che, come dicevo, ha a lungo condizionato le potenzialità di una regione
324470	330790	abituata ad essere operosa, abituata ad avere persone che si rimboccano le maniche, nonostante
330790	336650	gli ostacoli lavorare, andare avanti, costruire, raccontavo ad Ancona che semplicemente il
336650	340430	made in Italy italiano non esisterebbe se non ci fosse la regione Marche, ci dobbiamo
340430	346110	dire la verità. Quindi parliamo di un territorio che sa fare, che sa fare tanto, che sa difendere
346110	352370	l'identità italiana nella sua capacità di costruire e quindi, ovviamente, noi vogliamo
352370	357050	accorciare le distanze, ridurre il traffico, ridurre i tempi di percorrenza, unire territori,
357210	362590	persone, economia, offrire opportunità. L'opportunità di base è quella di poter competere avendo
362590	368410	tutti gli strumenti necessari per farlo. Non si tratta di dare risorse alle aziende perché
368410	372370	possano sopravvivere, si tratta di consentire alle aziende che fanno dei prodotti straordinari
372370	377850	di poter facilmente trasportare quei prodotti, di poterli più facilmente esportare, cioè
377850	384910	di avere le condizioni di base per dimostrare il loro vantaggio e il loro valore e chiaramente
384910	391610	dare a ognuno, a ogni marchigiano, ovunque abiti pariopportunità di mobilità, pariopportunità
391610	396190	di lavoro, pariopportunità di servizi. Il secondo obiettivo è, ovviamente, è stato
397190	404410	in diversi interventi, contribuire alla rinascita economica e sociale di tutto l'Appennino centrale,
404510	411670	devastato dalla terribile sequenza sismica che è iniziata alle 3.36 del mattino del
411670	426170	24 agosto 2016, che si è protratta poi nei mesi successivi. Un terremoto, lo sapete meglio
426170	431050	infatti, è anche uno dei tasselli di una strategia che il Governo ha messo in campo
431050	437230	che è molto più ampia della infrastruttura in sé per imprimere un cambio di passo deciso
437230	443590	nella ricostruzione dei territori colpiti dal sisma del 2016. Uno dei pilastri di quest'azione
443590	449470	è stato citato dal comissario Soccodato, se non vado errata, è, e voglio ringraziare
449470	454490	il comissario Castelli per l'impegno, per la determinazione con la quale si sta dedicando
454490	464670	a questo lavoro. Dicevo, il programma rivita, cioè il piano disegnato dal Governo per ammodernare,
464730	468910	per potenziare l'intero sistema infrastrutturale delle aree appennidiche interne, del cratere
468910	476450	sismico, è un intervento imponente che coinvolge le quattro regioni del cratere, prevede complessivamente
476450	484290	come si diceva 40 interventi, mobilita investimenti per oltre 3 miliardi di euro e si somma al
484290	490390	piano da oltre 2 miliardi e 200 milioni di euro che è specificamente dedicato al potenziamento
490390	496330	della salaria del quale si occupa invece il comissario Soccodato. Chiaramente, senza infrastrutture
496330	501910	non c'è sviluppo, non c'è crescita economica, non c'è rigenerazione sociale, per questo
501910	509330	grande attenzione abbiamo rivolto al tema delle infrastrutture per dare risposte ai
509330	514970	territori che, come diceva correttamente il Presidente Acquaroli, già prima del terremoto
514970	522850	avevano i problemi che sono tipicamente legati alle aree interne, crisi demografica, fragilità
523630	531570	idrogeologica. Oggi il cratere sismico è il cantiere più grande d'Europa, 8 mila
531850	537790	metri quadrati di superficie, 28 miliardi di euro di danni da ripristinare e in questo
537790	543810	cantiere noi non vogliamo semplicemente ricostruire le case, gli edifici pubblici, le chiese,
543910	548670	le fabbriche, chiaramente è importantissimo, si deve ricostruire la vita di una intera
548670	558510	comunità, si deve ricostruire il tessuto sociale. Anche qui cerchiamo di fare la nostra parte,
558510	563630	voi conoscete la strategia Next Appennino, che è coordinata dalla struttura commissariale
563630	568270	Sisma 2016, ma siamo tutti consapevoli che è un cammino che richiede tempo e energie,
568310	574390	purtroppo non sempre coincidenti con le legittime aspettative di chi nove anni fa ha perso tutte,
575250	580070	però io penso che si possa dire con un pizzico di soddisfazione che dopo molti rinvii, dopo
580070	587470	molte farse e partenze, la ricostruzione ha finalmente subito una decisa accelerazione,
587470	594690	molto è stato fatto, moltissimo rimane da fare per rispondere al desiderio di chi è nato e
594690	603130	cresciuto in questi luoghi, di chi è rimasto qui, e sposo totalmente le parole del Presidente della
603130	610930	Regione Acquaroli, per tanti è stata davvero una scelta d'amore, una scelta solo d'amore,
610930	620690	contro ogni interesse, contro ogni se vogliamo diciamo razionalità, però è anche lo spirito
621430	628010	della gente che vive questa regione, è anche lo spirito di una regione che come dicevo è
628010	633750	capace, operosa, abituata a rimboccarsi le mani, che oggi a queste persone che sono rimaste non
633750	639750	basta dire grazie, bisogna dire grazie a confatti concreti, bisogna dire grazie aiutando con tutti
639750	647030	gli strumenti che noi abbiamo a ricostruire il tessuto culturale, sociale di questi territori e
647030	651610	anche per dare una speranza a chi invece si è allontanato ma in fin dei conti vuole tornare
651610	656450	indietro e noi faremo tutto quello che possiamo per riportare indietro anche queste persone a
656450	668790	vivere, operare, lavorare, creare ricchezza in questo territorio. E dimostreremo anche così,
668790	676610	dimostreremo così l'attenzione che abbiamo per questa regione, una regione molto particolare che
676610	683770	tanto ha dato a questa nazione, che tanto può ancora dare. Per quello che riguarda noi, come
683770	689190	dicevo, la sfida per una regione come questa a maggior ragione non è una sfida legata
689190	696710	all'assistenza, è una sfida legata alla capacità di mettere questo territorio nella condizione di
697910	701050	avendo gli strumenti dei quali ha bisogno. Stamattina abbiamo portato un altro strumento
702050	706770	che non vale solamente per questo territorio, vale per tutta la regione Marche. Abbiamo annunciato
706770	712350	che nel Consiglio dei ministri di oggi noi approveremo una norma che consente anche a
712350	716810	tutta la regione Marche, alle sue aziende, di utilizzare la zona economica speciale.
728250	735010	Varrà per le Marche, varrà anche per l'Umbria, cioè stiamo lavorando sulle regioni in transizione,
735290	741210	abbiamo combattuto anche, come sapete, a livello europeo, ma quello che abbiamo visto nel
741210	746730	Mezzogiorno d'Italia con l'attivazione della zona economica speciale è stato straordinario.
746870	752430	Qualche giorno fa gli European House Ambrosetti, il presidente di Confindustria, raccontavano dei
752430	757310	dal punto di vista delle aziende che raccontano come nel Mezzogiorno d'Italia, grazie alla
757310	764150	ZES, dal 1 gennaio del 2024 siano stati creati circa 35.000 posti di lavoro, ogni euro investito
764150	773050	con la ZES produce un altro euro virgola 6 di indotto. E oggi siamo in grado di allargare
773050	777390	questo strumento anche a questo territorio e io so, l'ho già detto ad Ancona, lo ripeto
777390	784510	anche qui, sono certa che i marchigiani sapranno utilizzare molto bene questo strumento, grazie.
