start	end	text
7860	15160	Io sono stato chiamato a presidere al posto dell'onorevole Scotty questo nostro incontro
15160	21580	che ha per tema il cammino dell'Europa da De Gasperi alla Unità Politica.
22120	27680	Vorrei dire due breve parole, alcune parole introduttive, lasciando poi ovviamente la
27960	33360	parola all'arrelatore che è l'amico Ministro degli Esteri, onorevole Giulio Andreotti.
38720	47780	Ecco, io comincio col dire che sono persuaso che se il disegno di De Gasperi non fosse
47780	58560	stato bloccato nel 1954, lo sviluppo democratico del Parlamento sovranazionale previsto dalla
58560	66780	CECA e la creazione della CED avrebbe certamente creato le condizioni per una economia integrata
66780	75780	e per una politica estracomune. De Gasperi non era un utopista, era un creatore di storia
75780	82600	ed aveva capito che il bisogno dell'Europa era incomprimibile, tant'è vero che pochi mesi dopo
82600	90820	la caduta della CED avvenne l'incontro, l'accordo di Messina, sia pure per tappe assai più lente
90820	97940	e su un cammino assai più accidentato, per la creazione della CE. E lo conferma il fatto che
97940	107220	alla comunità hanno aderito altri paesi, al punto che essa ha raddoppiato il numero dei partner comunitari.
126660	132980	Giustamente mi pare che Andreotti abbia detto che le parole che si spendono per l'Europa
133160	143000	soverchiano il peso degli acquisti comunitari, è giusto, ma qualcuno ce n'è pur stato, nonostante
144280	152780	la chiusura degli interessi nazionali, le orgogliose e estere separatezze e la resistenza
152780	163140	soprattutto nei confronti dell'idea di una Europa sovranazionale ed unionista. Siamo giunti così
163140	172880	e faccio un salto trentennale all'atto unico sul quale il governo italiano, attraverso il ministro
172880	182960	Andreotti, ha posto giustamente delle dure riserve sulle carenze e sulle reticenze che hanno
182960	188980	ridimensionato il disegno storico che era stato immaginato al Consiglio europeo di Milano.
189910	199730	In effetti, a prescindere dai modesti risultati sul piano istituzionale, basti ricordare che
199730	204630	l'attuazione dell'atto unico è fidato, se non erro prevalentemente alla buona volontà
204630	211990	di partner piuttosto che a degli impegni giuridici vincolanti, persino la data finale per la creazione
211990	221030	dello spazio unico europeo, dice il testo dell'atto finale, non determina vinco effetti
221030	226230	giuridici automatici. Ma ha detto questo nelle sue intenzioni, l'atto unico si muove nella
226230	237050	direzione giusta, quella della creazione dell'Europa, e quindi ha fatto molto bene l'Italia riservandosi
238050	244470	ha fatto Andriotti una lettra inviata al Presidente di turno della Comunità, riservandosi ogni
244470	251010	iniziativa di promozione e di acceleramento, ha fatto molto bene ad impegnarsi a impostare
251010	257730	per conto proprio la sua politica istituzionale ed economica in vista della scadenza della
260610	268830	1992. Nell'atto unico penso che l'amico Andriotti e gli altri parleranno ampiamente di quello
268830	275490	che è lo snodo centrale a mio avviso, e cioè appunto la creazione di uno spazio senza frontiere
275490	282970	interne per la circolazione di merci, persone, capitali e servizi. Mi permetterai di sottolineare
282970	292030	tre punti, il primo il capitolo che riguarda la coesione economica e sociale, il secondo
292030	298750	che è quello che riguarda la ricerca e lo sviluppo tecnologico comune, e il terzo quello
298750	308410	che riguarda la cooperazione in materia di politica estera. Il primo della coesione economica
308530	314790	mi pare indispensabile perché io ritengo che la realizzazione dello spazio senza frontiere
314790	324370	rischia di diventare utopistico se non si creano prima le condizioni per un progrediente
324370	332070	equilibrio tra le economie dei paesi comunitari che sono certe volte proporzionate in modo
332070	340870	eccessivo. Per un mercato comune la politica della coesione è la premessa indispensabile.
341570	347990	D'altra parte, la ricerca e lo sviluppo tecnologico comune è la condizione perché l'Europa
347990	356510	esprima le sue straordinarie capacità in materia tecnologica, mentre nei confronti
356510	364030	questo problema, l'accrescimento della tecnologia, noi vediamo che esso investe non soltanto
364030	374110	le grandi potenze ma anche paesi un tempo depressi e marginali. Un'Europa equa con
374110	381470	se stessa ed avanzata rende anche più credibile quel titolo terzo sulla cooperazione della
381470	387510	politica estera, ripresa anche questa in termini estremamente cautica, ma è comunque
388810	397250	importante che essa sia inserita in un atto che formalmente unifica il processo economico
397250	403630	e quello politico nella direzione della unità europea. Mi pare degno di rilievo, lo dico
403870	414910	in parentesi, che nel trattato, nel capitolo di parentesi, alla politica estera abbia assunto
414910	420590	diritto di cittadinanza, sia pure nei termini della formazione, della costituzione della
420590	429510	comunità, il problema della sicurezza e che si sia creata un'apertura per quanto riguarda
429510	438430	per la collaborazione con l'UEO e con l'Alleanza Atlantica formalmente indicata nel trattato
438430	444910	stesso. Certo non è stato fatto il salto di qualità previsto a Milano, ma nell'atto
444910	454050	unico mi pare di intravedere i due poli essenziali di una posizione, di un avvio verso la unificazione
454050	462930	europea. Ecco, il coinvolgimento dei cittadini e dei popoli della comunità in politiche
