start	end	text
2480	13480	Noi ne parleremo domani al Consiglio dei Ministri, devo ricordare che l'Italia è con la Francia
13480	24600	il secondo Paese che sostiene Frontex, secondo che l'Italia ha dimostrato di mandare in giro
24860	34880	per il Mediterraneo le sue navi alla ricerca di immigrati in difficoltà in qualunque circostanza
34880	41260	e a prescindere da qualunque missione. La questione di Nautilus è una questione chiara.
42420	50540	Noi e i Maltesi chiedemmo fin dall'anno scorso alla Commissione e agli altri Paesi
50540	60860	di poter organizzare le operazioni di Frontex nel Mediterraneo sotto la responsabilità preminente
60860	68120	di Malta e dell'Italia, con la collaborazione della Germania che già dall'anno scorso metteva
68120	75680	a disposizione i suoi elicotteri e con la partecipazione della Libia, perché la
75680	84380	partecipazione della Libia è cruciale allo scopo di portare la missione laddove serve di più
84380	95180	in modo da impedire l'uscita dai porti delle navi. Questi elementi non sono stati ancora chiariti.
95360	103980	L'utilità delle operazioni nel Mediterraneo è secondo noi legata al rispetto di queste condizioni.
104540	114760	La Libia parteciperà, ma occorre organizzare le operazioni promuovendo la loro partecipazione.
115440	125920	Ministro, sul Kosovo si sta profilando una nuova crisi della politica estera comune europea?
126880	137100	Non direi al momento. Mi preoccupa che si possa fare avanti l'ipotesi di riconoscimenti unilaterali
137100	150040	che ricreano un clima balcani anni 90 e che noi vogliamo evitare. L'Europa ha nell'insieme una posizione comune.
150040	163020	Occorre che la Serbia, che ha fatto le elezioni da pochi mesi, che ha avuto dall'impegno all'apertura
163020	175640	del negoziato in questi giorni, faccia l'esame di coscienza. I fatti cambiano in un modo solo
175640	185400	se gli altri modi possibili stanno tutti fermi. La Serbia deve rifletterci. La Serbia sa che questo problema va risolto.
185580	192960	Se non lo affronta con il coraggio necessario un governo appena eletto, non lo affronta nessuno.
193220	198860	E se non lo affronta nessuno, viene affrontato in modi anche non corretti da altri.
202580	208200	David Carretta di Radio Radicale, invece qui è stato un importante esponente al socialismo europeo.
208400	213020	Oggi i socialisti europei lo è ancora, evidentemente. Oggi i socialisti europei non festeggiano.
213020	223280	Non festeggiano né in Belgio, né in Francia. No, chiaramente c'è un problema che non possiamo neanche dire
223280	234100	che è il problema del chi governa paga. Perché questa io la posso utilizzare come ragione per la sconfitta subita in Belgio.
234260	243760	Non la posso utilizzare per la sconfitta subita in Francia. Il che significa che noi abbiamo almeno due problemi a sinistra.
243780	258120	Sono i problemi della capacità di esprimere una politica chiara ed univoca. Cosa che né in Francia, né in Italia raggiunge livelli esaltanti.
258840	267520	E la capacità di sintonizzarci effettivamente con le domande degli elettori del XXI secolo.
267520	274000	Dobbiamo dimostrare che la nostra è una forza politica, non soltanto dirlo, ma dimostrarlo.
274720	281940	Che la nostra è una forza politica sintonizzata col secolo in cui viviamo e non soltanto con quello precedente.
283520	290180	Che vuole di più da me? Vuole di mite nudi? Contrario al comune senso del pudor.
290180	297760	Questo appello che hai lanciato sul Corriere della Sera, oggi, sembra non essere stato raccolto, vuol dire che non c'è...
297760	300420	A parte il fatto che sono le 3.12.
300820	302420	Beh, però sono già dichiarazioni...
302420	314900	No, le dichiarazioni, guardi, se c'è una cosa da non leggere sono le dichiarazioni che in genere servono alla letteratura umoristica del Paese.
314900	323680	Ma non necessariamente esprimono la sostanza di ciò che si muove davvero nella politica. Almeno questo spero.
