start	end	text
0	5640	E quindi se faremo così io credo che ci abitueremo anche a queste differenze, io non trovo che
7060	13380	siano preoccupanti o che dobbiamo spaventarci di questo, dobbiamo imparare che cosa vuol
13380	18120	dire stare dentro una grande casa, che è una grande casa che abbiamo deciso consapevolmente
18120	22660	di costruire e nella quale c'è gente che qualche volta la pensa su qualcosa, non su
22660	27380	tutto, diversamente da noi, va bene se ne parliamo, va bene anche se i nostri elettori
27380	30900	ci dicono che cosa preferiscono quella volta lì e se la volta dopo preferiscono
30900	33540	qualcos'altro non ci dobbiamo anche li preoccupare.
36220	44860	Enrico Letta, nel libro di Ivan, dopo magari entriamo anche nel dettaglio perché tu dici
44860	51240	sì è bello che ci siano differenze, è bello discutere però ci sono quegli temi sui quali
51240	56660	abbiamo assistito anche a degli scontri accesi proprio all'interno del Partito Democratico,
56660	64280	penso ai temi etici, a tutto quello che ruota intorno all'unione delle coppie omosessuali,
64780	71100	ci sono alcune situazioni che non sono semplici da affrontare o comunque da definire.
71560	80260	La linea dice è bello discutere Ivan, sono belle le primarie, a parte che ci avviciniamo
80260	86020	a un sabato infuocato mi dicono per quanto riguarda proprio l'assemblea del PD e queste
86020	93180	regole da definire con parecchio nervosismo, addirittura oggi c'è chi sostiene che non
93180	98640	si sa neanche se si faranno queste primarie perché è complesso il meccanismo dell'assemblea
98640	105860	e quindi del regolamento per cambiarlo, insomma tecnicismi poi che magari non sono conosciuti
105860	111880	ai più, però c'è una situazione che inevitabilmente porta a queste primarie delle persone e degli
112720	119260	che la pensano in maniera molto differente, Vendola, Bersani, Matteo Renzi, poi ci sono
119260	125940	anche degli altri, per citare i principali, con degli scontri anche molto duri a cui abbiamo
125940	134620	assistito fino a ieri sera fra Vendola e Casini e lo stesso Bersani. La domanda è questa,
135120	141140	sì è bello discutere, dibattere, avere più idee e più opinioni, ma alla fine la linea
141140	150760	chi la traccia in questo partito, chi la dà? Fammi cominciare facendo un complimento vero
150760	159200	a Ivan, io non so bene se al primo, al secondo, al terzo sms ti ho risposto, però l'ho fatto
160660	167680	molto convintamente sia per antica amicizia con Ivan, sia perché mi interessava molto
168500	177320	la sfida che lui lanciava e quindi l'approfondire punti di vista diversi e il progetto che aveva
177320	181980	dietro. Il prodotto è un prodotto che io consiglio caldamente, che secondo me è un
181980	188740	prodotto molto interessante per accompagnarci in questa lunga stagione, che sarà una stagione
188740	195580	di primarie, poi di elezioni, quindi un tempo abbastanza lungo, nel quale attraverso queste
195580	203700	conversazioni Ivan ci dà l'idea, il titolo è molto efficace, ci dà l'idea di che cos'è e del
203700	215980	perché il PD è, io alle volte sono incerto su quale aggettivo usare, se unico o ultimo,
217380	223100	se l'unico partito italiano o l'ultimo partito italiano, perché di fatto mi sentirei di dire
223100	230660	così, cioè il sistema politico italiano è fatto innanzitutto di soggetti che non si vogliono
230660	239560	chiamare partiti, nessuno, da una parte, dall'altra, anche il PDL non si chiama partito, ma oltre
239560	245100	a questo fatto, mentre il PD si chiama partito democratico, oltre a questo fatto c'è anche
245100	250660	l'altra considerazione che lo spappolamento del sistema dopo la caduta di Berlusconi e questa
250660	257580	transizione montiana è uno spappolamento del sistema che consegna oggi, basta vedere i sondaggi,
259240	269940	o cose virtuali, il sondaggio che dice se scende in campo Tizio allora gli elettori li darebbero il
269940	279460	10, 15, 20, 8%, ma dei soggetti che sono in campo è di fatto l'unico soggetto che esiste e che
279460	286500	solidamente ottiene un consenso nei sondaggi forte, non parlo dei partiti piccoli, diciamo per partiti
286500	293920	piccoli intendo i partiti attorno al 5, 7, 8%, ma parlo dei grandi partiti, cioè quelli da cui
293920	298440	viene espresso il candidato Premier e quindi il Primo Ministro, se guardiamo chi sono i primi
298440	303300	ministri in Europa, i primi ministri sono la Merkel che viene da un partito del 35%,
304180	311260	Rajoy viene da un partito del 35%, Cameron viene da un partito del forse 40% addirittura,
311780	317540	questi sono i primi ministri, quindi in Italia siamo in una condizione in cui frammentazione,
317640	323920	spappolamento è veramente l'unico partito LPD, mi verrebbe da dire l'ultimo partito LPD perché
323920	332460	nessuno poi nemmeno vuole e questo tema del fatto l'unico, l'ultimo partito è anche il motivo per
332460	339040	cui c'è tanta attenzione attorno al PD, tutti discutono attorno al PD, tutti vogliono, tutti si
339040	344540	mettono nei panni, sembra quasi un gioco di ruolo il PD alle volte, ho l'impressione che sia come un
344540	354340	gioco di ruolo in cui ognuno, anche se di destra, però comunque il PD è essendo di fatto ormai
354340	361200	un soggetto unico nella politica italiana, questo è L e attorno a questo tema secondo me la
361200	368100	riflessione sullo stato della politica italiana va fatta perché questo è quello che ci consegna
368100	375960	questo libro, se da questo libro emerge una cosa molto particolare, cioè questa è la mia gente,
376600	381200	un partito, un partito fatto di idee diverse, un partito fatto di un contenitore largo,
381940	388220	l'unico o l'ultimo partito italiano, ma l'uno si chiede ma e allora la democrazia italiana da
388220	394580	cosa è fatta e qui la domanda che io mi pongo è, che è sempre un po' la stessa che facciamo
394580	403760	sull'Italia, siamo noi avanti o siamo un'altra cosa rispetto agli altri paesi europei, cioè la
403760	411460	nostra democrazia sta anticipando ciò che accadrà dalle altre parti, cioè detto in sintesi la
411460	419640	democrazia rappresentativa non si baserà più sui partiti oppure noi siamo un caso a parte perché
419640	425240	noi siamo sempre, gli italiani sono sempre particolari, siamo sempre, mentre invece da
425240	431060	tutte le altre parti sono i partiti politici, giustamente facevi riferimento agli scontri,
431160	437900	le divisioni, le regole, in ognuno dei paesi che ho citato ci sono stati confronti, discussioni
437900	444840	sulle regole, penso a cosa è successo al congresso che ha eletto la Aubry, leader del
444840	452020	partito socialista francese contro Sego Lain-Royal, sono stati per settimane in un contenzioso legale
452020	460440	pesantissimo perché c'era uno scarto minimo e si accusava una vicenda sulle regole che
460440	465500	erano state usate, hanno votato decine di migliaia di persone, le regole che ovviamente sono
465500	470840	importantissime in democrazia, le regole sono molto molto importanti, con certe regole viene
470840	476420	un certo risultato, con altre regole viene un altro risultato, quindi le regole sono fondamentali e
477720	487600	io penso che la grandezza dell'esperienza che stiamo facendo che viene raccontata così bene
487600	497900	da Ivan sta proprio in questo, il PD è, non è soltanto questa è la mia gente, il PD è un'esperienza
497900	504280	che cambia le persone e forse questa è la cosa che accomuna di più, due esperienze come la mia
504280	511520	e quella di Ivan, nel senso che parlando e facendo questa conversazione ci siamo riconosciuti in
511520	517980	questa esperienza che secondo me è molto bella e mi rendo conto che facciamo fatica a comunicare,
518120	524320	se riuscissimo a comunicarla sarebbe una cosa molto positiva di questo partito dalla quale si parla
524320	531900	sempre per la litigiosità, i vecchi contro giovani, rotta mazioni e quant'altro, io posso dire di
531900	539720	aver sperimentato personalmente in questi cinque anni di vita perché il PD è nato nel 2007 esattamente
539720	547520	è la stessa cosa di cui Ivan parla nella sua introduzione, cioè il fatto che vivendoci io penso
547520	556220	di essere cambiato, poi ovviamente stanno a me giudicare che modo, ma io sono cambiato, Ivan è
558500	566160	cambiato e noi siamo cambiati perché stare in un grande partito ti consente una cosa che oggi
566160	571000	ancora più importante di quanto lo era prima e vengo così all'argomento che tu hai posto,
571300	578120	ma in un partito alla fine si decide, l'unità ci stai perché tutti la pensiamo allo stesso modo,
579880	587400	prima oggi la vita è una vita fatta di sollecitazioni e relazioni e secondo me oggi vince,
587480	594660	vince in senso positivo non vince la competizione, vince vuol dire cresce, chi sta dentro occasioni
594660	601600	di incontro, relazioni che diventano occasioni di crescita, il partito piccolo di tutti uguali di
601600	607740	tutti che la pensano allo stesso modo o il partito come oggi va tanto di moda in cui c'è un capo,
608420	616700	quel capo è il leader e chi sta attorno a lui è il suo staff, gli agitprop, i tesorieri, gli addetti
616700	623000	stampa, però il partito è quella roba lì è una cosa che io rifiuto alla luce dell'esperienza di
623840	630720	noi abbiamo costruito un contenitore molto largo molto complesso da vivere in cui alla fine però
630720	638160	si decide perché il pd ha deciso di fare in questi 10 mesi delle cose che insieme a Monti
638720	646820	hanno contribuito per l'italia a raggiungere dei risultati e il pd ha fatto e deciso preso delle
646820	657260	decisioni su cose che hanno consentito al governo di evitare alcuni errori o di edulcorare alcuni
657260	663500	passaggi che sarebbero stati più negativi, il pd ha deciso, non è che il pd non ha deciso, le ha
663500	669960	prese ma penso che la caratteristica più importante oggi sia esattamente questa, noi dobbiamo riuscire
669960	674760	a comunicare, le primarie saranno una grandissima occasione se la vogliamo cogliere per bene,
675640	684620	questa è un'esperienza che fa crescere le persone, che ti fa imparare, che ti fa incontrare persone
684620	692340	diverse, metterti nel loro punto di vista perché stiamo nella stessa avventura comune, quindi io
692340	699060	sono obbligato o comunque spinto alla curiosità a mettermi nei suoi panni e lui a mettersi nei
699060	705900	miei panni perché non siamo avversari, non siamo da parti diverse della barricata, siamo insieme e
705900	712540	nel capirci vicendevolmente si capiscono molti degli eventi di un fluire di questi tempi in cui
712540	717140	le cose sono cambiate e in cui la logica del partito fatto, ripeto, del leader col suo staff
717140	722500	attorno che lancia il verbo e gli altri li vanno dietro, la gente lo vota, è una logica che secondo
722500	728640	me è molto meno moderna di quanto si pensi, si pensa che questa sia la logica moderna, è sbagliata,
728640	735400	oggi il grande partito io usai per per le primarie del 2007, a quale mi candidai, un termine che ho
735400	740160	visto piace molto a Matteo perché l'ha riusato anche lui in queste primarie, al quale credo
740160	746100	molto, cioè il partito orizzontale e il wiki pd, cioè l'idea che è un'avventura comune in cui
746100	751400	siamo effettivamente in una logica orizzontale in cui non c'è qualcuno che indica la strada,
751580	758280	ma è lo scambio reciproco che ti porta poi a fare il passavanti, a conoscere, a capire, a capirsi,
758280	764500	a mettersi nei panni dell'altro, questa cosa soltanto un grande partito te la dà e aggiungo un grande
764500	772600	partito nella quale la si pensi in modo diverso, io, termino, ma rivendico questa come la nostra
772600	778760	forza, questa cosa che ci viene sempre rigettata attorno come voi siete un disastro perché non
778760	784960	ce n'è uno che la pensa uguale all'altro, accusate taffazzismo spesso no? Questo è giusto perché io
784960	790020	spero che sabato taffazzi sia da un'altra parte, non sia all'ergife, devo dire che l'ha scelta
790020	801060	l'ergife, non so chi l'ha fatta, porta malissimo, no lo so però comunque io ho ricordi molto brutti
801060	809020	sull'ergife, ma il tema di fondo è proprio questo, dobbiamo rovesciarla e la nostra vera missione è
809020	815800	far capire che questa è una grandissimo asset del nostro stare insieme, il fatto che quando
815800	822380	io vado a una riunione del PD, uso questo criterio che mi rendo conto vi potrà sembrare banale e un
822380	832180	po' empirico, il successo del PD ci sarà quando scatterà il meccanismo che io nella mia Pisa quando
832180	837980	vado la sera invece di andare al cinema o di vedermi Zenith Milan come in questo momento non
