start	end	text
0	0	
4120	7420	Dunque buongiorno a tutti.
9580	9640	Saluto
11720	14360	saluto le sue eminenze il
14360	19100	Cardinale Artime Cardinale
19100	22060	Simone ricordo che San Francesco
22060	24140	insegnava anche il rispetto
24140	27260	rispetto nell'ascolto, rispetto
27260	30140	nel comprendersi, rispetto nel
30140	32580	capire le ragioni degli altri.
33760	35400	Saluto Monsignor Sorrentino,
35820	38540	saluto Monsignor Cibotti, fra
38540	40100	Trovarelli, Ministri Generali e
40100	41120	Provinciali delle Famiglie
41120	43860	Francescane, il Custode del
43860	45340	Sacro Convento di Assisi, fra
45340	46700	Marco Moroni, la Presidente
46700	48680	Proietti, Presidente Marsilio,
49160	50300	sindaco Stoppini, sindaco
50300	52440	Biondi, tutti i sindaci, le
52440	53860	autorità presenti, le tante
53860	55980	persone che vedo in questa
56600	58300	piazza. Nella mia vita io sono
58300	59420	stata a Assisi in diverse
59420	61900	occasioni ma è la prima volta
61900	64160	che partecipo alle celebrazioni
64160	65620	di San Francesco come patrono
65620	68200	d'Italia ed è certo un onore per
68200	71000	me ma è soprattutto una
71000	73420	grandissima emozione perché so
73420	75480	quanto questa ricorrenza sia
76400	78000	radicata nel cuore del popolo
78000	80680	italiano. Una degozione forte,
81680	84080	autentica, viscerale, che si
84080	85640	legge chiaramente sui volti
85640	87260	delle tantissime persone, dei
87260	89660	feitelli che sono qui oggi, che
89660	92060	si fa solenne nei gonfaloni
92060	93900	innalzati in questa piazza, che
93900	95960	splende nella luce della
95960	97620	lampada votiva che è stata
97620	99440	accesa poco fa in Basilica, che
99440	102080	arde grazie all'olio donato
102080	103520	dall'Abruzzo al nome di tutti i
103520	107000	comuni d'Italia. Oggi il popolo
107000	109260	italiano rivolge lo sguardo qui
109260	111100	al poverello da Sisi, il più
111100	113980	amabile, il più poetico, il più
113980	115780	italiano dei nostri santi, come
115780	118060	lo ha definito un filosofo e un
118060	119240	patriota come Vincenzo
119900	121720	Gioberti. Perché San Francesco
122360	124380	è una delle figure fondative
124380	126180	dell'identità italiana, forse la
126180	129400	principale. Ha scritto il testo
129400	131020	poetico più antico della nostra
131020	132420	letteratura, il cantico delle
132420	134820	creature e quei versi hanno
134820	136340	aperto la strada che ha guidato
136340	138840	Dante, Petrarca, Boccaccio, che
138840	140160	ha reso grande e conosciuta in
140160	142200	tutto il mondo la nostra lingua,
142440	143880	una missione culturale che
143880	145760	svela ancora oggi la sua potenza,
145840	148580	la sua unicità. San Francesco ha
148580	150220	lasciato la sua impronta
150220	152060	indelebile sull'arte, sulla
152060	153360	poesia, sul teatro, sulla
153360	155920	cultura, sulla scienza e la sua
155920	158700	spiritualità ha attratto e
158700	160700	affascinato generazioni di
160700	163220	italiani, ispirando alcuni dei
163220	164880	più grandi uomini di cui la
165020	168380	nostra nazione può fregiarsi.
168820	170780	Tertiari franccescani sono stati
170780	172720	Giotto, Alessandro Manzoni,
172920	174160	Cristoforo Colombo, Alessandro
174160	176180	Volta, tanti altri insieme a
176180	179100	loro. San Francesco ha incarnato
179100	181540	la summa di quel genio che rende
181540	183620	il nostro popolo un unicum,
183900	185780	ammirato e apprezzato nel mondo.
186800	188040	Nel cuore della roccia ha dato
188040	190820	origine al presepe, la più dolce
190820	192280	e profonda rappresentazione
192280	194920	universale di un Dio che si è
194920	196640	creato bambino ed è venuto al
196640	199840	mondo, nel mondo, per insegnare
199840	201180	agli uomini ciò che gli uomini
201180	202900	non avevano conosciuto prima di
202900	206360	lui, il perdono, addirittura
206360	209500	l'amore per il nemico. Tuttavia
209500	211860	San Francesco non è stato un
211860	213320	trovatore sognante, ma un uomo
213320	216040	d'azione, rapido fin quasi a
216040	217460	essere precipitoso nei compiti
217460	218840	che assumeva o negli impegni
218840	221180	che prendeva, non amava i
221180	223760	compromessi, le mezze verità, i
223760	223760	
223760	224720	terfugio, il suo terfugi era
225440	227460	esigente, come sono esigenti i
227460	229640	Santi, uomini e donne tanto
229640	232600	normali quanto radicali nel
232600	234660	coraggio delle loro scelte.
235060	236500	San Francesco è stato un uomo
236500	239280	estremo ma non un estremista. Ha
239280	241060	dato l'esempio della povertà ma
241060	243060	non quello della miseria che lui
243060	244540	e i suoi fratelli hanno sempre
244540	246520	combattuto. E in nome di quella
246520	248480	povertà ha ricordato a tutti
248480	255040	che nulla in fondo è veramente nostro, nei figli, nelle persone a cui vogliamo bene,
255240	260800	nei nostri beni o nel nostro corpo, tutto è un dono, la preziosa eredità di un Dio
260800	266080	che ci ama nella nostra imperfezione. Ha ricordato all'uomo che è il custode del
266080	271820	creato e che la vita in tutte le sue forme è affidata in maniera speciale alla responsabilità
271820	277380	e alla cura degli uomini, perché come ci ha di recente ricordato Papa Leone, noi non
277380	284460	siamo altro che amministratori premurosi di quella casa affinché nessuno distrugga irresponsabilmente
284460	289700	i beni naturali che parlano della bontà e della bellezza del creatore, né tantomeno
289700	295920	si sottometta ad essi come schiavo o adoratore della natura. Nella lettera ai regitori dei
295920	305880	popoli, San Francesco esorta chi ha responsabilità di governo a non misurarsi soltanto con il
306480	314840	di senso. È un invito che scuote e che inquieta, che non dà indicazioni politiche ma agita
314840	320960	i cuori e non lascia indifferenti. San Francesco è stato un uomo di pace, di dialogo, di confronto.
321480	326900	Ha suscitato pace dentro e fuori i confini di Assisi portando il suo messaggio dove nessun
326900	333380	altro aveva osato. Disarmato di tutto, tranne che della sua fede e della sua ammitezza,
333980	338980	non esitò a mettere in discussione la sua stessa vita pur di incontrare il Sultano e
338980	344540	promuovere con lui quel dialogo nella verità e nel rispetto reciproco che ancora oggi rappresenta
344540	352140	un modello. San Francesco ci insegna che si deve tentare di parlare con tutti, anche con
352140	359320	chi può sembrare un avversario o addirittura un nemico, dove finisce il dialogo e si esaurisce
359320	366340	che la pazienza della relazione con chi è diverso non ti piace o non la pensa come te
366340	373780	è lì che germoglie il seme della violenza e il virus della guerra. Un messaggio oggi
374620	385020	attualissimo. San Francesco ha vissuto tempi tormentati come tormentati sono i nostri. La
385020	391980	terza guerra mondiale combattuta a pezzi, evocata da Papa Francesco, si sta consumando
391980	399980	in modo spaventoso. Sono 56 i conflitti in corso nel mondo, il numero più alto dalla
399980	405780	fine della seconda guerra mondiale. La pace, il dialogo, la diplomazia sembrano non riuscire
405780	412100	più a convincere e a vincere e l'uso della forza prevale in troppe occasioni sostituendosi
412100	418800	alla forza del diritto. Eppure questo scenario all'apparenza cupo irreversibile non può
418800	425660	e non deve spingerci alla resa, ad arrenderci cioè all'idea che non ci sia altra opzione
425660	432580	oltre la guerra. Solo che la pace ci ricorda sempre San Francesco. Non si materializza
433360	441180	quando la si invoca, ma quando la si costruisce con impegno, pazienza, coraggio ci si arriva
441180	446620	mettendo un mattone dopo l'altro con la forza della responsabilità e l'efficacia della
447660	452480	ragionevolezza. E quanto ci auguriamo stia accadendo in queste ore in Palestina, in quella
452480	457280	terra che San Francesco ha voluto conoscere e che lo ha profondamente segnato. Il piano
457280	462080	di pace statunitense già approvato da Israele, condiviso dagli Stati Europei, da molti Stati
462080	469280	Islamici, dall'autorità nazionale palestinese, grazie alla mediazione di alcuni paesi arabi,
469280	474560	particolarmente del Qatar, che penso tutti dobbiamo ringraziare, potrebbe essere accolto
474560	480400	anche da Hamas. Questo vorrebbe dire tornare finalmente alla pace in Medio Oriente, vedere
480400	485720	cessare le sofferenze della popolazione civile palestinese, vedere il rilascio degli ostaggi
485720	493020	israeliani trattenuti da ormai due lunghissimi anni. Una luce di pace squarcia la tenebra
493020	499160	della guerra e abbiamo tutti il dovere di fare quanto è nelle nostre possibilità
499160	506620	affinché questa preziosa e fragile opportunità abbia successo. E sono fiera del contributo
506620	512900	al dialogo che ha saputo dare l'Italia in prima linea nel sostegno umanitario alla popolazione
512900	518820	palestinese e al contempo interlocutore credibile per tutti gli attori coinvolti, senza cadere
518820	524200	nella trappola della contrapposizione frontale che pure molti, spesso più che per interesse
524200	530300	che per convinzione, invocavano. E' questa la visione che caratterizza da sempre l'identità
530300	535940	dell'Italia, la sua azione sullo scenario globale e che ci consente di essere riconosciuti
535940	541420	come interlocutori privilegiati e costruttori di pace, umanità, solidarietà. E' la nostra
541420	545420	tradizione e il solco in cui anche questo governo opera.
546340	551700	San Francesco è stato un ponte tra Occidente e Oriente, un uomo che facendosi piccolo ha
551700	558720	richiamato tutti alla vera grandezza. Assisi, l'Umbria e l'Italia, che si raccolgono oggi
558720	565960	nel suo nome, offrono l'immagine più vera di ciò che siamo. Uomini e donne dotati di
565960	574600	due fonti del sapere e dell'amore, la ragione e la fede. Perché se non sai chi sei, non
574600	580620	puoi dare nessun contributo al dialogo tra culture. Se non conosci e non riconosci te
580620	586560	stesso, non puoi amare l'altro e non puoi farti amare. Questa è la cultura del rispetto
586560	592640	in cui crediamo e che continuiamo a promuovere. Sono tutti questi insegnamenti e molti altri
592640	597240	che si potrebbero scitare ad aver fatto di San Francesco quell'esplosione di vita che
597240	604580	ha portato gli italiani a eleggerlo come loro padrono. Un anno fa, da questa loggia, il
604600	612060	poeta libero e senza potere, come si è definito lui stesso, ha rivolto un appello, lirico
612060	618440	e potente, come è nel suo meraviglioso stile. Davide Rondoni ha chiesto alla politica di
618440	623080	riflettere sulla figura di San Francesco, di recuperarne il senso più profondo, di
623080	628400	reintrodurre il 4 ottobre nel novero delle feste nazionali. Come sapete, quell'appello
628400	633660	non è caduto nel vuoto. Come non succedeva da molto tempo, le parole di un poeta sono
633660	638100	risuonate in Parlamento e il Parlamento ha trasformato quelle parole in una legge dello
638100	644080	Stato. Il legislatore ha scelto di restituire San Francesco, la sua eredità, il suo messaggio,
644220	650520	il suo carisma, alla dimensione pubblica e civile di questa nazione. Non un capriccio
650520	655980	o addirittura uno spreco di denaro, come pure da qualcuno è stato sostenuto, ma una scelta
655980	661540	di identità, un atto d'amore per l'Italia e per il suo popolo.
665980	677420	A me personalmente piace vedere questo voto del Parlamento come un omaggio anche al primo
677420	681960	pontefice che ha scelto il nome di Francesco nell'anno in cui è tornato alla casa del
681960	692700	padre. Il prossimo anno non torneremo a celebrare solo il 4 ottobre come festa nazionale, ma
692700	698960	celebraremo anche l'ottavo centenario della nascita al cielo del poverello d'Assisi. Lo
698960	703600	faremo potendo contare sul prezioso lavoro messo a punto dal Comitato nazionale per le
703600	709220	celebrazioni, anche con il sostegno del Governo, e abbiamo lavorato per costruire iniziative
709220	716840	innovative capaci di lasciare segni stabili nel tempo. Penso su tutti al progetto di digitalizzazione
716840	722620	della Biblioteca del Sacro Convento, all'intitolazione a San Francesco del nuovo ponte dell'industria
722620	727000	a Roma, alle attività rivolte ai più giovani che si svolgeranno in Egitto, in altre nazioni
727000	732280	africane e nell'ambito del Piano Mattei, fino al coinvolgimento della Rete degli Istituti
732280	739880	di Cultura all'estero per far conoscere ancora di più il nostro Santo nel mondo. Cari amici,
740200	746940	oggi celebriamo un uomo che ha lasciato tutto per trovare tutto, un Santo che ha insegnato
746940	752040	al mondo la gioiosa semplicità dell'amore, un italiano che ha forgiato l'identità di
752040	758220	un intero popolo. Ma non lo facciamo perché lui abbia bisogno di noi, lo facciamo perché
758220	763180	siamo noi ad avere bisogno di lui. Che San Francesco aiuti la nostra Italia. Buona fine.
