start	end	text
0	5320	Siamo nel luogo dell'1% del pillo italiano, in uno dei momenti più difficili, Travolwood,
5480	9500	Carlo Piccoli, tanti che mancano, in un momento difficile.
9880	18060	Siamo, diciamo, nella più straordinaria vetrina di una delle espressioni più incredibili
18060	23480	del nostro Made in Italy, settore che comunque continua a darci enormi soddisfazioni con
23480	30840	i suoi 14 miliardi l'anno di fatturato, in continua crescita anche nell'export.
30920	36540	Nel vino noi siamo, come lei sa meglio di me, primi produttori, primi esportatori per
36540	42660	quantità, secondi esportatori al mondo per valore, ed è un settore che anche lo scorso
42660	46620	anno, nonostante i tazzi, ha continuato a crescere.
47060	51060	Chiaramente è anche un settore che oggi ha bisogno di essere sostenuto, ha maggior ragione
51060	57600	per la situazione che lei ricordava, che è per noi molto complessa ma anche molto
57600	62460	attenzionata. Nell'ultimo decreto nel quale rinnovavamo
62460	71180	lo sconto dei 25 centesimi sulle accese del gasolio, abbiamo anche allargato una misura
71180	76620	al mondo dell'agricoltura che ci consente di riconoscere a questi produttori un credito
76620	82620	di imposta pari all'aumento che registrano esattamente come abbiamo di fatto imposto
85300	90580	una impossibilità di aumentare il costo del gasolio agricolo, cioè stiamo cercando di
90580	95600	dare risposte a questo settore, dopodiché è un settore che va anche ringraziato per
95600	99580	la capacità che ha di continuare a stare sul mercato e di continuare a reagire nonostante
99580	103160	le difficoltà. Chiaramente la situazione internazionale
103160	111800	è una situazione sulla quale bisogna continuare a lavorare per mandare avanti negoziati di
111800	117720	pace, fare ogni sforzo possibile per stabilizzare la situazione e riaprire lo stretto che per
117720	122880	noi è fondamentale, chiaramente non solo per i carburanti ma anche per i fertilizzanti,
123260	126660	altro elemento fondamentale per il settore a cui le parliamo oggi.
126660	133460	Il patto di stabilità potrebbe aiutare? Potrebbe aiutare, certamente. Chiaramente
133460	138000	bisogna vedere come va nei prossimi giorni ma penso che l'Europa non dovrebbe sottovalutare
138000	142780	l'impatto che questa crisi può avere nei prossimi mesi, penso che farebbe un enorme
142780	149780	errore di valutazione se considerasse di muoversi troppo tardi, quindi noi stiamo ponendo una
149780	155660	serie di questioni in Europa, il tema anche di prendere in considerazione una sospensione
155660	160800	del patto di stabilità, non intesa come misura che può essere fatta verso il singolo
160800	165760	Stato membro ma come misura generalizzata, esattamente come, sempre tornando a questo
165760	171620	settore stiamo chiedendo alcune cose che riguardano sia l'energia ets, sospensione ets, l'abbiamo
171620	177840	cominciato a discutere mesi fa ma anche il cibam, noi oggi parliamo di fertilizzanti
177840	183600	e sospendere oggi il cibam sarebbe oggettivamente una misura che potrebbe fare la differenza,
183600	188540	quindi su questo siamo molto determinati a dare battaglia in Europa ma per il bene
188540	194340	dell'Europa perché non si può rimanere sempre identici a se stessi mentre il mondo intorno
194340	199440	a noi cambia in maniera così vorticosa e quindi crediamo che chi oggi pone con serietà
199440	205800	queste questioni sia particolarmente responsabile, non un irresponsabile come alcuni vorrebbero.
207880	216780	Il rapporto dell'Italia con gli Stati Uniti è un rapporto che va avanti da qualche anno
216780	222100	e non riguarda il singolo governo, noi cerchiamo di fare il nostro meglio chiaramente a contesto
222100	229080	dato considerando gli Stati Uniti un nostro alleato strategico e prioritario però quando
229080	235780	si è amici e quando si ha degli alleati particolarmente se sono strategici bisogna anche avere il
235780	239120	meglio, faccio ogni giorno quando sono d'accordo, dico di essere d'accordo e quando non sono
239120	243160	d'accordo dico di non essere d'accordo perché credo che questo faccia bene all'Europa, gli
243160	251680	Stati Uniti e all'Occitane in generale. Penso che quello che ho detto è quello che penso,
252640	260120	che le dichiarazioni in particolare sul pontefice fossero inaccettabili, ho espresso e esprimo
260120	264820	la mia solidarietà a Papaleone, le dico di più, francamente io non mi sentirei a mio
264820	268640	raggio in una società nella quale i leader religiosi fanno quello che dicono i leader
269440	273940	politici, diciamo non in questa parte del mondo, ecco per cui non sono stato d'accordo
273940	274700	e ve l'ho detto.
276800	284220	Presidente, occorrebbe rivedere il bando sul gas russo o occorrebbe rivedere il bando sul
284220	286660	gas russo? Come ha anticipato De Scalzi?
287500	290640	Guardi ha anticipato De Scalzi, De Scalzi è un operatore del settore che chiaramente
290640	298140	ha il dovere di porre le questioni per come le vede. Io le posso dire questo, continuo
298140	303640	a sperare che quando il problema dovesse seriamente porsi, cioè il gennaio 27, noi saremo riusciti
304260	308640	a fare dei passi avanti, a portare la pace in Ucraina, però non dobbiamo dimenticare,
308720	312120	benché io ovviamente capisca il punto di vista di De Scalzi, che la pressione economica
312120	316900	che noi abbiamo esercitato sulla Russia in questi anni è alla fine l'arma più efficace
316900	322720	che abbiamo per costruire pace, per cui dobbiamo fare molto attenzione a come ci muoviamo da
322720	326880	questo punto di vista, però è presto per parlare questa dinamica che avviene da qualche
326880	331980	tempo. Il messaggio al mondo del vino l'ho appena dato, è un mondo che per noi è fondamentale,
332500	337040	che ha dato enorme e straordinaria prova di sé anche in un momento di grande difficoltà,
337200	341140	capiamo il momento di grande difficoltà, il governo sta dando delle risposte, come voi
341140	346520	avete visto l'ultimo decreto che riguardava le accese, ma riguardava anche il mercato
346520	353540	agricolo, purtroppo che riguardava anche il mondo agricolo, la questione dell'aumento
353540	358420	dei carburanti che riguardava il gasolio agricolo, insomma stiamo cercando di dare risposte per
358420	364700	cui la mia presenza oggi qui è un ringraziamento, un messaggio di solidarietà, ma anche un
364700	366100	segnale di presenza del governo.
374020	377800	Guardi questi sono titoli che piacciono a voi della stampa, la politica per me è una cosa
377800	378860	un po' più concreta.
