start	end	text
2480	9080	La democrazia cristiana è il fondamento dell'attuale vita politica e culturale dell'Europa, in particolar
9080	15760	modo i democratici italiani e i tedeschi sono la guida della politica europea, la sintesi
15760	22120	del pensiero politico, fede e cultura del popolo d'Europa. Per questo noi croati desideriamo
22120	26960	spallancare le porte della Croazia a tutti i livelli di collaborazione tra i due paesi
26960	32940	e popoli. Anche il nostro popolo è cristiano, è più precisamente catolico, è allo stesso
32940	37680	vostro livello di civilizzazione. Non dubitiamo che il frutto della collaborazione sarà la
37680	42800	via comune verso lo sviluppo della democrazia, del benessere e della pace in tutta Europa.
43300	48260	In nome di tutto questo vi auguro buon lavoro e successo del congresso che si sta svolgendo
48260	54340	nel tempo in cui la democrazia cristiana partecipa alla responsabilità europea e mondiale per
54340	59800	conservare la pace nell'Europa cristiana, augurandoci che questa possa varcare la soglia
59800	64040	del XX secolo nella pace e non in guerra e nelle barbarie.
87960	99560	Prima di dare la parola al segretario politico, Arnaldo Forlani, vorrei ringraziare brevemente
99560	113920	innanzitutto gli organizzatori di questa conferenza e ringraziare tutti voi che avete partecipato
113920	123140	con grande impegno e serietà. Ringrazio chi è intervenuto, ma soprattutto chi è ascoltato.
125260	134740	Dobbiamo considerare i lavori di questa assemblea come l'inizio di un impegno serio, non un
134740	142200	processo, ma un impegno serio di adeguamento del nostro modo di essere nella vita politica.
143200	153300	Le indicazioni che qua sono emerse saranno portate dal segretario del partito in Consiglio
153300	163100	nazionale, perché possano poi essere tradotte in norme e direttive di comportamento. Consiglio
163100	172180	nazionale sarà convocato combattibilmente con i lavori del Parlamento o nel Parlamento
172200	179320	nella settimana prima di Natale o immediatamente dopo la festa dell'Epifania.
