start	end	text
0	5600	Buongiorno a tutti, ovviamente grazie Presidente Macron al Primo Ministro Starmer per questa
5600	11720	iniziativa, iniziativa che io considero estremamente importante e alla ragione per la quale ci
11720	17080	ho ottenuto ad esserci personalmente. Chiaramente la libertà di navigazione nello stretto
17080	22980	di Hormuz è una questione assolutamente centrale per la nostra nazione, per l'Italia, per
22980	28160	l'Europa, per la comunità internazionale nel suo complesso. Si tratta ovviamente di
28160	33360	affermare un principio cardine del diritto internazionale, principio che vale per Hormuz
33360	38420	e chiaramente per qualsiasi altro passaggio dal quale dipendano le catene di approvvigionamento
38420	44700	mondiale. Ma si tratta ovviamente di una questione di enorme rilevanza economica dallo stretto
44700	50260	di Hormuz, come si sa transita circa il 20 per cento del consumo mondiale di petrolio
50260	56960	e gas naturale liquido, non solo, si citano spesso i fertilizzanti, altra questione fondamentale
56960	61880	da cui dipende la sicurezza alimentare di milioni di persone, soprattutto nei contesti
61880	67360	più fragili. Penso anche alle importazioni nelle nazioni del Golfo, che sono partner
67360	72620	strategici dell'Italia, dell'Europa, che vedono transitare per Hormuz il 60 per cento
72620	78720	dei loro consumi alimentari. E quindi si capisce facilmente come riaprire. Hormuz significhi
78720	86300	far fronte a queste criticità, ma significa anche costruire un elemento che è essenziale
86300	93320	per qualsiasi soluzione del conflitto medio orientale. E questo, chiaramente, si vede
93320	98160	bene in queste ore, cioè la centralità del tema della riapertura di Hormuz nel processo
98160	103520	negoziale è particolarmente chiaro sulla base degli sviluppi di queste ore, quando,
103520	110020	come ricordava Macron in risposta al cessate il fuoco in Libano è stato riaperto, almeno
110020	115860	da parte iraniana, il passaggio delle navi nello stretto per il periodo del cessate il
115860	125480	fuoco che è stato negoziato tra Stati Uniti, Iran e Israele. E quindi è parte, dicevo,
125580	133540	la riapertura di Hormuz di qualsiasi serio progetto di negoziato per la crisi in Medio
133540	139120	Oriente. Chiaramente non è l'unico, sappiamo che il tema della rinuncia da parte dell'Iran
139120	143840	alla corsa nucleare, così come costruire un quadro di sicurezza nel quale nessuna
143840	149560	nazione venga minacciata per il futuro saranno gli altri elementi fondamentali, ma è la ragione
149560	156120	per la quale siamo qui oggi. Tutti comprendiamo la portata di questa sfida. Io considero molto
156120	161960	significativa anche, voglio ringraziare ovviamente Kira e Emanuele, ma anche le tante nazioni
161960	166940	che hanno preso parte da contesti molto differenti tra loro alla riunione di questa mattina
166940	171360	dimostra che il lavoro che stiamo facendo non è un lavoro che è mosso da un interesse
171360	176820	di parte ma è mosso da un interesse generale. L'obiettivo ovviamente è la necessità di
176820	182120	uno sforzo che coinvolge diversi ambiti, quello diplomatico, quello sicuritario, anche quello
182120	186500	umanitario se si pensa ai marittimi che sono bloccati nel golfo e se si pensa alle nazioni
186500	192200	che vengono impattate direttamente dalla crisi. Su tutti questi ambiti l'Italia è pronta
192200	196800	a fare la sua parte. Ovviamente la tensione di tutti è concentrata soprattutto sulla
196800	203440	presenza navale a Hormuz, aspetto irrinunciabile per diversi motivi, per esigenze concrete
203440	209840	come quella di sminamento del tratto di mare intorno a Hormuz e più in generale come veniva
209840	214540	ricordato per rassicurare l'industria marittima, per fornire un quadro di sicurezza per le
214540	221080	navi in transito nello stretto. Ma è chiaro che una presenza navale internazionale a Hormuz
221080	226180	può essere avviata soltanto quando vi sarà una cessazione delle ostilità in coordinamento
226180	230960	con tutti gli attori regionali e internazionali e con una postura esclusivamente difensiva.
231080	236240	Mi pare che anche su questo ci fosse questa mattina pieno accordo. Stiamo portando avanti
236240	241740	una importante azione di pianificazione a livello nazionale. L'Italia offre nel quadro
241740	248220	chiaramente che ho appena disegnato la sua disponibilità a mettere a disposizione proprie
248220	252980	unità navali, chiaramente sulla base di una necessaria autorizzazione parlamentare per
252980	257900	quelle che sono le nostre regole costituzionali, ma è un impegno in linea con un lavoro che
257900	265120	abbiamo già fatto per la difesa della libertà di navigazione. Ricordo Aspides, ricordo Atalanta,
265240	270800	quindi le operazioni europee e particolarmente Aspides, che vanta una presenza importante
270800	275540	in un'area attigua a quella di Hormuz, dal mio punto di vista può rappresentare un'esperienza
275540	280960	preziosa anche per quello che stiamo cercando di fare ora. Quindi è stato un confronto
280960	286100	molto produttivo, dimostra come l'Europa sia pronta a fare la sua parte nel quadro
286100	291580	della sicurezza internazionale insieme ovviamente ai suoi partner ed è un'iniziativa che si
291580	298080	inserisce in uno sforzo più ampio che continuiamo a portare avanti, che vede costantemente impegnate
298080	303920	le nostre nazioni di fronte a un ciclo di conflittualità che si ripropone ormai costantemente
303920	309380	e che quindi non coinvolge solamente il Medio Oriente, ma l'Ucraina e tanti altri fronti
309380	313560	dei quali ormai siamo abituati. Per quello che ci riguarda faremo tutto il possibile
313560	321140	per aiutare a consolidare tanto il cessato del fuoco in Libano, preziosissimo, ottenuto
321140	324720	anche con la mediazione degli Stati Uniti, così come la prospettiva di una ripresa dei
325280	329360	negoziati per porre la fine al conflitto in Iran. Insomma, chiaramente i fronti aperti
329360	334840	sono molti, ma non rinunciamo a costruire soluzioni giuste, durature e pragmatiche con
334840	338840	determinazione e pazienza come l'Italia cerca di fare ogni giorno. Grazie mille Emanuele,
338840	339240	e grazie a tutti.
