start	end	text
0	6100	La questione medio-orientale, israelo-palestinese, sarà ancora una volta il principale argomento
6100	10160	che caratterizzerà le registrazioni d'archivio che riascolterete tra qualche estante.
10960	15840	Vi riproporremo innanzitutto un momento di vita parlamentare del gennaio 88, quando
15840	22340	al Senato si discuse sugli argomenti citati e intervennero tra gli altri il ministro degli
22340	26740	esteri Giulio Andreotti e l'ex parlamentare radicale Gianfranco Spadaccia.
26740	32400	Al termine riascolterete invece quanto disse al radio radicale nel dicembre 95 e Mabudino,
32500	38900	in quel momento commissaria europea, condelega tra l'altro ai aiuti umanitari dopo un incontro
38900	40040	con gli esteri a Rafat.
40700	46360	A seguire, riascolterete due interventi di Marco Pannella del gennaio 2001 e del marzo
46360	53300	2002 pronunciati al Parlamento Europeo e ad un convegno organizzato dagli europarlamentari
53300	58340	radicali a Brusella e da tema israele nella comunità europea.
60020	65740	Come è scritto nella dichiarazione dei 12 del 23 febbraio dello scorso anno, i paesi
65740	72700	europei che per legami storici e civiltà sono così vicini alla tormentata area medio orientale
73320	80460	hanno il dovere etico politico di svolgere il luolo che loro spetta nell'avvio e nello
80800	87500	gruppo dell'ausplicato processo di base. A tale ruolo nessuno e tantomeno l'Italia,
87700	94200	quale paesi in grado di dialogare con tutte le parti e più di altri coinvolto e interessato,
94460	95560	potrebbe sottrarsi.
96920	103540	Voci preoccupate si sono levate di recente per denunciare l'insorgere anche nel nostro
103540	110780	paese di focolai di antisemitismo, confondendosi la protesta per la situazione nei tempi di
110800	117060	territori occupati della Sistegiordania con un atteggiamento che vogliamo sia scomparso
117060	124400	per sempre dall'orizzonte nazionale. Si tratta di fenomeni isolati e marginali, ma in un
124400	131420	paese che ha sofferto 50 anni orsono l'amarezza della legislazione raziale occorre reagire
131420	139200	senza induggi, condannando ogni sintomo inquinante di questo tipo. A tal fine a me è sembrato
139200	145960	molto positivo il recente comunicato dell'Unione delle comunità israelitiche italiane, dove
145960	152280	si parla relativamente alla crisi medio orientale della necessità di arrivare ad una soluzione
152280	159580	politica negoziale con il coinvolgimento di tutte le parti interessate. Se infatti è
159580	165780	più che doverosa la solidarietà, peraltro non soltanto degli ebrei, per la salvaguardia
165780	172860	della sicurezza dello Stato di Israele, male servirebbe la causa dell'ebraismo chi manifestasse
172860	179400	indifferenza o addirittura intolleranza verso la sorte di un popolo come quello palestinese
179400	186480	che sta subendo sulla propria terra costrizioni, persecuzioni, disconoscimento delle libertà
186480	193540	fondamentali. E del resto nella scrittura ebraica l'espressione l'amore di Sion non
193540	200100	mi indurrà a tacere la verità. E quando è disatteso l'unanime monito del Consiglio
200100	206120	di Sicurezza delle Nazioni Unite, perché non si attuino o consentono misure in violazione
206120	212960	dell'ordine naturale o del diritto internazionale, si incrinano veramente quelle rigorose regole
212960	219700	di convivenza senza le quali i rapporti tra gli uomini si modulano soltanto con i freddi
219700	226700	meccanismi della prevaricazione. Per tutte queste ragioni credo che sia importante riconoscere
227400	234300	consenso di realismo, che le soluzioni possibili non possono più avere carattere parziale,
234560	241560	la soluzione per la quale siamo chiamati tutti ad operare è quella di una ipotesi globale
241560	248860	che ha al suo centro appunto il problema palestinese. Anche gli avvenimenti più recenti spingono
248860	254880	in questa direzione, che è una direzione logica, che non ha motivazioni contingenti
254880	262700	né dettate soltanto da partecipazioni emotive. Nel muoverci lungo queste linee dobbiamo avere
262700	268680	presente che il problema che è di fronte a noi non è unicamente un problema di frontiere,
269260	275580	è il rapporto fra due comunità che va affrontato, favorendo il riconoscimento e l'attuazione
275920	283660	di principi che hanno portato universale e che si concretano appunto nel diritto all'esistenza
283660	289560	e alla sicurezza dei paesi della regione, compreso naturalmente Israele, e nel riconoscere
289560	297280	al popolo palestinese i suoi diritti fondamentali ed il loro relativo esercizio. Soltanto così
297280	299980	attraverso una soluzione negoziale...
